headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,example_ru,synonyms,antonyms,word_family,common_mistake
dwell on,phrasal verb,B2,bir masala haqida uzoq o'ylamoq yoki gapirmoq,подробно останавливаться на,"To keep thinking or talking about something, especially something unpleasant.",,22001,phrasal,Try not to dwell on one small mistake.,Bitta kichik xato haqida uzoq o'ylamaslikka harakat qiling.,Постарайтесь не зацикливаться на одной небольшой ошибке.,focus on | linger over,,dwell on + noun/wh-clause,Keep the particle or preposition in 'dwell on'.
follow through on,phrasal verb,B2,va'da yoki rejani oxirigacha bajarmoq,довести обещание или план до конца,To do what you promised or complete an intended action.,,22003,phrasal,Good leaders follow through on their promises.,Yaxshi rahbarlar va'dalarini oxirigacha bajaradi.,Хорошие руководители выполняют свои обещания до конца.,carry out | complete,,follow through on + promise/plan/commitment,Keep the particle or preposition in 'follow through on'.
build on,phrasal verb,B2,mavjud asos yoki yutuqni rivojlantirmoq,развивать на основе достигнутого,"To use an existing idea, success, or foundation to make further progress.",,22005,phrasal,The next lesson builds on what you learned today.,Keyingi dars bugun o'rganganlaringiz asosida davom etadi.,"Следующий урок развивает то, что вы выучили сегодня.",develop | expand on,,build on + noun,Keep the particle or preposition in 'build on'.
carry over,phrasal verb,B2,keyingi vaqt yoki holatga o'tmoq,переноситься на следующий период,To continue to exist or be transferred into another time or situation.,,22007,phrasal,Unused points carry over to the next month.,Ishlatilmagan ballar keyingi oyga o'tadi.,Неиспользованные баллы переносятся на следующий месяц.,transfer | continue,,carry over / carry + noun + over,Keep the particle or preposition in 'carry over'.
drum up,phrasal verb,C1,faol ravishda qiziqish yoki yordam jalb qilmoq,активно привлекать интерес или поддержку,"To actively try to obtain support, interest, or business.",,22009,phrasal,The campaign aims to drum up support for local schools.,Kampaniya mahalliy maktablar uchun yordam jalb qilishni maqsad qiladi.,Кампания стремится заручиться поддержкой местных школ.,generate | attract,,drum up + support/interest/business,Keep the particle or preposition in 'drum up'.
pan out,phrasal verb,B2,kutilgandek natija bermoq,сложиться или завершиться удачно,"To develop or end in a particular way, especially successfully.",,22011,phrasal,The job offer did not pan out as expected.,Ish taklifi kutilganidek natija bermadi.,"Предложение о работе сложилось не так, как ожидалось.",work out | develop,,plan/situation + pan out,Keep the particle or preposition in 'pan out'.
tap into,phrasal verb,C1,mavjud manba yoki imkoniyatdan foydalanmoq,использовать ресурс или потенциал,"To make effective use of a source of knowledge, energy, or opportunity.",,22013,phrasal,The course helps learners tap into their creativity.,Kurs o'quvchilarga ijodkorligidan foydalanishga yordam beradi.,Курс помогает учащимся раскрыть свой творческий потенциал.,make use of | access,,tap into + resource/market/potential,Keep the particle or preposition in 'tap into'.
turn around,phrasal verb,B2,yomon vaziyatni keskin yaxshilamoq,переломить ситуацию к лучшему,To change a failing or difficult situation so that it becomes successful.,,22015,phrasal,The new manager turned the struggling business around.,Yangi menejer qiynalayotgan biznesni muvaffaqiyatli holatga keltirdi.,Новый руководитель вывел испытывающий трудности бизнес из кризиса.,transform | revive,,turn + situation/business + around,Keep the particle or preposition in 'turn around'.
work around,phrasal verb,B2,to'siqni chetlab amaliy yechim topmoq,найти обходное решение,To find a practical way to deal with a problem or limitation.,,22017,phrasal,We found a simple way to work around the technical limit.,Texnik cheklovni chetlab o'tishning oddiy yo'lini topdik.,Мы нашли простой способ обойти техническое ограничение.,circumvent | find a solution to,,work around + problem/limitation,Keep the particle or preposition in 'work around'.
write off,phrasal verb,B2,umidsiz yoki qiymatsiz deb hisoblamoq,списать со счетов,To decide that someone or something has no chance of success or value.,,22019,phrasal,Do not write off a learner after one poor result.,Bitta yomon natijadan keyin o'quvchini umidsiz deb hisoblamang.,Не списывайте ученика со счетов после одного плохого результата.,dismiss | abandon,,write off + noun/pronoun / write + noun + off,Keep the particle or preposition in 'write off'.
move the goalposts,idiom,C1,jarayon davomida talablarni o'zgartirmoq,менять правила по ходу дела,To unfairly change the rules or requirements after work has begun.,,22021,idioms,The client moved the goalposts after approving the design.,"Mijoz dizaynni tasdiqlagach, talablarni o'zgartirdi.",Клиент изменил требования после утверждения дизайна.,change the rules,,move the goalposts,Keep the wording fixed; do not translate this idiom word for word.
put your cards on the table,idiom,B2,niyat va fikrni ochiq aytmoq,раскрыть карты,"To state your intentions, opinions, or facts openly and honestly.",,22023,idioms,Let us put our cards on the table before we negotiate.,Muzokaradan oldin niyatlarimizni ochiq aytaylik.,Давайте раскроем карты до начала переговоров.,be frank | be transparent,,put your cards on the table,Keep the wording fixed; do not translate this idiom word for word.
throw someone under the bus,idiom,C1,o'zini saqlash uchun birovni aybdor qilib ko'rsatmoq,подставить кого-либо ради себя,To betray or blame someone else in order to protect yourself.,,22025,idioms,A good leader never throws the team under the bus.,Yaxshi rahbar hech qachon jamoani aybdor qilib ko'rsatmaydi.,Хороший руководитель никогда не подставляет команду.,betray | scapegoat,,throw + person + under the bus,Keep the wording fixed; do not translate this idiom word for word.
go down in flames,idiom,C1,shov-shuvli tarzda butunlay muvaffaqiyatsiz bo'lmoq,с треском провалиться,"To fail suddenly, completely, and often publicly.",,22027,idioms,The proposal went down in flames at the board meeting.,Taklif boshqaruv yig'ilishida butunlay muvaffaqiyatsiz bo'ldi.,Предложение с треском провалилось на заседании совета.,fail spectacularly,,plan/project + go down in flames,Keep the wording fixed; do not translate this idiom word for word.
keep your ear to the ground,idiom,C1,yangilik va o'zgarishlarni diqqat bilan kuzatmoq,держать руку на пульсе,"To stay alert for new information, trends, or opportunities.",,22029,idioms,Keep your ear to the ground for internship opportunities.,Amaliyot imkoniyatlari haqidagi yangiliklarni kuzatib boring.,Следите за новостями о возможностях стажировки.,stay informed | stay alert,,keep your ear to the ground,Keep the wording fixed; do not translate this idiom word for word.
pull the plug,idiom,B2,loyiha yoki faoliyatni butunlay to'xtatmoq,прекратить или закрыть проект,"To stop an activity, project, or source of support completely.",,22031,idioms,The company pulled the plug on the outdated service.,Kompaniya eskirgan xizmatni butunlay to'xtatdi.,Компания полностью закрыла устаревший сервис.,terminate | shut down,,pull the plug on + noun,Keep the wording fixed; do not translate this idiom word for word.
have a lot on your plate,idiom,B2,zimmasida juda ko'p ish va mas'uliyat bo'lmoq,иметь много дел и обязанностей,"To have many tasks, problems, or responsibilities to deal with.",,22033,idioms,I cannot join another project; I have a lot on my plate.,"Yana bir loyihaga qo'shila olmayman, zimmamda ish ko'p.",Я не могу взяться за ещё один проект — у меня и так много дел.,be very busy,,have a lot on your plate,Keep the wording fixed; do not translate this idiom word for word.
be on thin ice,idiom,B2,xatoga yo'l qo'ysa zarar ko'radigan xavfli vaziyatda bo'lmoq,находиться в рискованном положении,To be in a risky situation where one more mistake may cause serious trouble.,,22035,idioms,"After missing two deadlines, he is on thin ice.","Ikki muddatni o'tkazib yuborgach, u xavfli vaziyatda qoldi.",После двух сорванных сроков он оказался в рискованном положении.,be at risk,,be on thin ice with + person/organisation,Keep the wording fixed; do not translate this idiom word for word.
go against the grain,idiom,C1,odatdagi fikr yoki o'z tabiatiga qarshi bormoq,идти против течения или своих принципов,"To oppose what is usual, expected, or natural to you.",,22037,idioms,Her minimalist approach goes against the industry grain.,Uning minimalistik yondashuvi sohadagi odatiy yo'nalishga qarshi.,Её минималистичный подход идёт вразрез с нормами отрасли.,defy convention,,go against the grain,Keep the wording fixed; do not translate this idiom word for word.
get your ducks in a row,idiom,C1,ishlarni oldindan tartibga solib tayyorlamoq,заранее привести дела в порядок,To organise your tasks and preparations carefully before acting.,,22039,idioms,Get your ducks in a row before applying for the visa.,Viza uchun topshirishdan oldin barcha ishlarni tartibga soling.,Приведите все документы в порядок перед подачей на визу.,get organised | prepare carefully,,get your ducks in a row,Keep the wording fixed; do not translate this idiom word for word.
