headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
hitherto,adverb,C2,shu paytgacha,до сих пор,until this time,ˌhɪðəˈtuː,34279,describing,Hitherto unknown facts emerged during the trial.,Shu paytgacha noma'lum faktlar sudda yuzaga chiqdi.,previously | until now,henceforth
hyperbole,noun,C2,mubolag'a,гипербола,deliberate exaggeration for effect,haɪˈpɜːbəli,34280,describing,Her claim was obvious hyperbole.,Uning da'vosi aniq mubolag'a edi.,exaggeration | overstatement,understatement
iconoclastic,adjective,C2,an'analarni rad etuvchi,иконоборческий,challenging accepted beliefs or traditions,ˌaɪkənəˈklæstɪk,34281,describing,The artist had an iconoclastic style.,Rassomning uslubi an'analarni rad etuvchi edi.,radical | unconventional,traditional
idyllic,adjective,C2,juda go'zal va sokin,идиллический,extremely peaceful and beautiful,ɪˈdɪlɪk,34282,describing,They spent an idyllic summer by the lake.,Ular ko'l bo'yida juda go'zal va sokin yoz o'tkazdilar.,peaceful | perfect,unpleasant
immutable,adjective,C2,o'zgarmas,неизменный,unable to be changed,ɪˈmjuːtəbl,34283,describing,The rules are not immutable.,Qoidalar o'zgarmas emas.,fixed | permanent,changeable
impassive,adjective,C2,hislarini bildirmaydigan,невозмутимый,showing no emotion,ɪmˈpæsɪv,34284,describing,She remained impassive during the interview.,U suhbat davomida hislarini bildirmadi.,unemotional | calm,expressive
impeccable,adjective,C2,benuqson,безупречный,without any mistakes or faults,ɪmˈpekəbl,34285,describing,His manners were impeccable.,Uning odobi benuqson edi.,flawless | perfect,imperfect
impecunious,adjective,C2,pulsiz,безденежный,having little or no money,ˌɪmpɪˈkjuːniəs,34286,describing,The impecunious student needed support.,Pulsiz talaba yordamga muhtoj edi.,poor | penniless,wealthy
impetuous,adjective,C2,shoshqaloq,импульсивный,acting quickly without thinking enough,ɪmˈpetʃuəs,34287,describing,His impetuous decision caused problems.,Uning shoshqaloq qarori muammolar tug'dirdi.,rash | impulsive,cautious
implacable,adjective,C2,murosasiz,непримиримый,unable to be calmed or persuaded,ɪmˈplækəbl,34288,describing,They faced an implacable opponent.,Ular murosasiz raqibga duch kelishdi.,relentless | unforgiving,flexible
improvident,adjective,C2,kelajakni o'ylamaydigan,непредусмотрительный,not planning carefully for the future,ɪmˈprɒvɪdənt,34289,describing,His improvident spending caused debt.,Uning kelajakni o'ylamaydigan xarajati qarzga sabab bo'ldi.,wasteful | careless,prudent
inane,adjective,C2,mazmunsiz ahmoqona,бессмысленный,silly and without meaning,ɪˈneɪn,34290,describing,The discussion became inane quickly.,Muhokama tezda mazmunsiz ahmoqona bo'lib qoldi.,foolish | pointless,sensible
incisive,adjective,C2,o'tkir va aniq,проницательный,clear and intelligently analytical,ɪnˈsaɪsɪv,34291,describing,She made an incisive observation.,U o'tkir va aniq kuzatuv bildirdi.,sharp | perceptive,dull
incongruous,adjective,C2,mos kelmaydigan,несообразный,not matching the situation,ɪnˈkɒŋɡruəs,34292,describing,His laughter seemed incongruous at the funeral.,Uning kulgisi dafn marosimida mos kelmaydigandek edi.,inappropriate | incompatible,appropriate
incumbent,adjective,C2,zarur bo'lgan,обязательный,necessary as a duty or responsibility,ɪnˈkʌmbənt,34293,describing,It is incumbent on us to act fairly.,Adolatli harakat qilish biz uchun zarurdir.,obligatory | required,optional
indefatigable,adjective,C2,charchamas,неутомимый,able to work hard without tiring,ˌɪndɪˈfætɪɡəbl,34294,describing,Her indefatigable energy inspired everyone.,Uning charchamas quvvati hammani ilhomlantirdi.,tireless | persistent,exhausted
