headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
fucking,adjective,C2,iflos la'nati,чертов,A word used to add strong emphasis or express extreme anger and frustration.,ˈfʌkɪŋ,21000,describing,"This is a fucking nightmare, I have no idea what to do.","Bu la'nati tush kabi, nima qilishni umuman bilmayapman.",bloody damned,
jane,noun,B2,jinsi mato,джинсовая ткань,A sturdy twilled cotton fabric used for making pants or clothes.,d͡ʒeɪn,21004,clothes,The jacket is made from a high quality blue jane fabric.,Kurtka sifatli moviy rangli jinsi matosidan tikilgan.,denim jeans,
dumb,adjective,B1,ahmoq nodon,глупый,Lacking intelligence or showing a lack of good sense.,dʌm,21006,describing,It was a dumb mistake to leave the keys in the car.,Mashinada kalitni unutib qoldirish juda ahmoqona xato bo'ldi.,stupid foolish,smart
fucked,adjective,C1,o'ta nochor ayanchli,в безнадежном положении,"In a very difficult, bad, or hopeless situation.",fʌkt,21008,feelings,"If we do not finish this report by tonight, we are totally fucked.","Agar biz bu hisobotni kechgacha tugatmasak, ahvolimiz judayam og'ir bo'ladi.",doomed ruined,
suck,verb,A2,shimmoq so'rmoq,сосать,To hold something in the mouth and pull it with your lips.,sʌk,21010,body-health,The baby began to suck on her bottle to drink the milk.,Chaqaloq sut ichish uchun butilkasini so‘ra boshladi.,absorb pull,blow
mustn,verb,A2,mumkin emas taqiqlanadi,нельзя,Used to say that someone is not allowed to do something or it is prohibited.,mʌsnt,21012,basics,"You mustn't talk during the exam, please keep your silence now.","Imtihon paytida gaplashish mumkin emas, iltimos, jim turing.",cannot forbidden,can
nothin,pronoun,A2,hech narsa,ничего,A casual way to say that something does not exist or has no amount.,ˈnʌθɪn,21014,basics,There is nothin in the fridge so we should go buy some food.,"Muzlatgichda hech narsa qolmadi, shuning uchun oziq-ovqat olib kelishimiz kerak.",nothing nil,something
molly,noun,C2,moli,молли,"A small, colorful freshwater fish often kept in home aquariums.",ˈmɒli,21016,animals,The bright orange molly swims quickly around the small glass aquarium tank.,Yorqin toʻq sariq rangli moli kichik akvarium ichida tez suzib yuribdi.,,
damned,adjective,B2,la'nati sho'rlik,проклятый,Used to express strong annoyance or anger towards a person or a thing.,dæmd,21018,feelings,I cannot get this damned car to start no matter what I try.,"Qancha urinmayin, bu la'nati mashinani oʻtqiza olmayapman.",cursed annoying,blessed
betty,noun,B2,eskich klyuch o'g'ri moslamasi,отмычка,A special tool used by criminals to open locks without a key.,ˈbɛti,21028,home,The thief used a betty to open the locked warehouse door.,O'g'ri omborxona eshigini ochish uchun maxsus moslamadan foydalandi.,picklock jimmy,
frankie,noun,B1,Frankenshteyn,Франкенштейн,A common informal nickname used to refer to a famous fictional monster.,ˈfræŋki,21034,ielts,Many people mistakenly call the monster Frankie instead of the doctor.,Ko'pchilik odamlar xatoyon qilib maxluqni doktor emas balki Frankie deb ataydi.,Frankenstein,
digging,verb,A2,qazish kovlash,копание,To make a hole in the ground or move earth using your hands or a tool.,ˈdɪɡɪŋ(ɡ),21036,actions,The children are digging a large hole in the sand at beach.,Bolalar sohil qumida katta chuqur qazishyapti.,excavating shoveling,
drank,verb,A1,ichdi ichimlik,выпил,"Past tense of drink; to swallow a liquid, such as water, into your body.",ˈdɹæŋk,21038,food-drink,He drank a glass of cold water after the long hot run.,U uzoq yugurishdan keyin bir stakan sovuq suv ichdi.,consumed swallowed,
comin,verb,A1,kelayotgan kelmoqda,идущий,"A casual way to say coming, usually used in speech or informal text messages.",ˈkʌmɪn,21040,actions,"I am just comin home now, so I will be there soon.",Hozir uyga kelyapman shuning uchun tez orada yetib boraman.,arriving,leaving
caroline,noun,C2,qadimiy kumush tanga,старинная серебряная монета,A historical silver coin that was once used in Italy.,ˈkæ.ɹəˌlaɪn,21044,ielts,The museum collection includes a rare caroline from the eighteenth century.,Muzey kolleksiyasida o'n sakkizinchi asrga oid noyob kumush tanga saqlanadi.,coin,
sammy,noun,B2,sendvich,сэндвич,"An informal term for a sandwich, often used in casual conversation.",ˈsæmi,21048,food-drink,I am going to the kitchen to make a quick ham sammy now.,"Men hozir oshxonaga borib, tezda bir sendvich tayyorlab olaman.",sandwich,
fingerprints,noun,B1,barmoq izlari,отпечатки пальцев,The unique patterns of lines left by the tips of your fingers on a surface.,ˈfɪŋɡəprɪnts,21052,body-health,The police found his fingerprints all over the scene of the crime.,Politsiya jinoyat joyida uning barmoq izlarini topib oldi.,fingerprints,
sonny,noun,B1,bolakay o'g'ilcha,сынок,A familiar or affectionate term used to address a young boy.,ˈsʌni,21056,people-family,"Listen here, sonny, you need to be careful when crossing the street.",Quloq sol bolakay ko'chani kesib o'tayotganda juda ehtiyot bo'lishing kerak.,boy lad,
logan,noun,C2,muvozanatli tosh,балансирующий камень,A large stone that is balanced in such a way that it can be rocked easily.,ˈloʊɡən,21058,nature,The hiker stopped to look at the massive logan on the cliff.,Sayohatchi qoyadagi ulkan muvozanatli toshni tomosha qilish uchun to‘xtadi.,rocking-stone,
ivan,noun,C2,ayvon,айван,A vaulted space or hall which is open on one side and walled on three sides.,ˈaɪwɑːn,21062,places,The old madrasa featured a grand central ivan decorated with blue tiles.,Qadimiy madrasa ko‘k koshinlar bilan bezatilgan ulug‘vor markaziy ayvonga ega edi.,iwan,
caesar,noun,B2,imperator hukmdor,цезарь,A title given to an emperor or a powerful ruler of a country.,ˈsizɚ,21066,ielts,The Caesar commanded his large army to march towards the distant city.,Imperator o‘zining katta qo‘shiniga uzoq shaharga qarab yurishni buyurdi.,emperor ruler,subject
fucker,noun,C1,iflos pastkash,мудак,A very offensive and rude way to describe a person who is disliked.,ˈfʌk.ə(ɹ),21068,ielts,"You fucker, you have completely destroyed my car in this accident!","Iflos, sen bu avariyada mashinamni butunlay yaroqsiz holga keltirding!",asshole bastard,
mitch,verb,B2,darsdan qochmoq,прогуливать уроки,To stay away from school or work without permission.,mɪt͡ʃ,21070,school,Did you ever mitch school when you were a teenager?,O'smirligingizda darsdan qochib yurganmisiz?,truant skive,attend
chanting,noun,B2,xorshox qo'shiq aytish,скандирование,"The act of singing or shouting words repeatedly, often in a religious or protest context.",ˈtʃɑːntɪŋ,21072,actions,I remember hearing loud chanting coming from the nearby church.,Yaqin-atrofdagi cherkovdan eshitilgan baland ovozdagi xorshox qo'shiqlar hamon esimda.,singing intonation,
dana,noun,C2,saxovat ehson,пожертвование,The practice of giving or being generous to others as a virtuous act.,ˈdɑːnə,21074,ielts,The monk spoke about the importance of dana in daily life.,Ruhoniy kundalik hayotda saxovat va ehsonning ahamiyati haqida gapirdi.,generosity charity,greed
forgetting,verb,A2,unutish yoddan chiqarish,забывание,The act of failing to remember information or a person you once knew.,fəˈɡɛtɪŋ,21076,actions,I am forgetting where I put my keys every single morning.,Har kuni ertalab kalitlarimni qayerga qo'yganimni unutib qo'yyapman.,omission,remembering
sarge,noun,B2,serjant,сержант,An informal way to address or refer to a sergeant in the military.,sɑːd͡ʒ,21078,work,The soldiers stood at attention when Sarge walked into the room.,Serjant xonaga kirganda askarlar tik turib hurmat bajo keltirishdi.,sergeant,
spoil,noun,C1,o'lja g'animat,трофей,Valuable goods or money taken from an enemy after winning a war or fight.,spɔɪl,21080,ielts,The soldiers returned home with the spoils of their successful long campaign.,Askarlar g'alabali harbiy yurishdan o'lja bilan qaytishdi.,plunder booty,
benny,noun,C1,imtiyoz naf,выгода,An advantage or positive result gained from a specific situation or choice.,ˈbɛni,21082,work,One of the main bennies of this job is the free lunch.,Bu ishning asosiy imtiyozlaridan biri bepul tushlik berilishidir.,advantage perk,drawback
barney,verb,C1,janjallashmoq tortishmoq,спорить,To engage in a noisy argument or disagreement with someone.,ˈbɑːni,21086,actions,The two neighbors often barney over the noise late at night.,Qo'shnilar ko'pincha tunda shovqin solgani uchun janjallashib qolishadi.,argue quarrel,agree
darn,verb,B2,yamamo yamoq,штопать,To mend a hole in a piece of clothing by sewing across it.,dɑɹn,21088,clothes,My mother used to darn my socks when they had holes.,Onam paypoqlarim teshilganda ularni yamab berardilar.,mend sew,
satan,noun,B2,shayton,сатана,The main evil spirit in many religions who is the enemy of all good.,ˈseɪ.tən,21090,ielts,They believe that Satan is the source of all evil in the world.,Ular dunyodagi barcha yovuzliklarning manbasi shayton deb ishonishadi.,devil demon,God
arse,noun,B2,dumbula kalta,задница,A vulgar word for a person's buttocks or bottom area.,ɑːs,21098,body-health,He fell down and landed right on his arse in public.,U yiqilib tushdi va hammayoqda dumbasi bilan yerga urildi.,buttocks backside,
sucker,noun,C1,tekinxo'r yalmavuz,паразит,A person who unfairly lives off others and does not give anything back.,ˈsʌk.ə,21116,ielts,I am tired of paying for that lazy sucker every single time.,Har safar o'sha dangasa tekinxo'r uchun pul to'lashdan charchadim.,freeloader sponger,provider
sobs,verb,B2,hiqillab yig'lamoq,рыдать,"To cry noisily, taking sudden, sharp breaths.",sɑbz,21118,feelings,She sits in her room and sobs when she feels very lonely.,U o'zini yolg'iz his qilganda xonasida o'tirib hiqillab yig'laydi.,weeps cries,laughs
stella,noun,C2,yulduzsimon shakl,звездообразная структура,A structure that has the shape of a star.,ˈstɛl.ə,21120,nature,The artist painted a large stella on the wall of the house.,Rassom uyning devoriga katta yulduzsimon shakl chizdi.,star,
alison,noun,C2,alissum,алиссум,A type of small garden plant that often has clusters of tiny white flowers.,ˈælɪsən,21122,nature,The white alison flowers look beautiful in the front garden border.,Oq alissum gullari bog'ning old qismida juda chiroyli ko'rinadi.,alyssum,
cunt,noun,C2,jinsiy a'zo iflos odam,пизда,A highly offensive term for female genitalia or a very unpleasant and rude person.,kʌnt,21124,feelings,I try to avoid him because everyone says he is a total cunt.,"U bilan gaplashmaslikka harakat qilaman, chunki hamon uni juda yomon odam deyishadi.",bitch jerk,
asses,noun,B2,eshaklar axmoqlar,ослы дураки,"The plural form of ass, meaning either a donkey or a very foolish person.",ˈæsɪz,21126,animals,You are acting like absolute asses by arguing over such small things.,"Bunday mayda narsalar uchun tortishib, xuddi axmoqlardek ish tutyapsizlar.",donkeys fools,
phoebe,noun,C2,febe qushi,феба,A small songbird found in America that belongs to the flycatcher family.,ˈfiːbi,21130,nature,The phoebe sat on the branch waiting for a small insect to fly.,"Febe qushi shoxda o'tirib, o'tib qoladigan mayda hasharotni poylab turdi.",,
sniffs,verb,B1,hidlamoq ishidamoq,нюхать,To breathe air into the nose in short sounds to smell something.,snɪfs,21132,actions,The dog sniffs the ground to track where the rabbit went.,It quyon qayerga qochganini bilish uchun yerni hidlab ko'radi.,smells,
wang,verb,C1,uloqtirmoq otmoq,швырять,To throw an object with a lot of force or speed.,ˈwæŋ,21134,actions,He decided to wang the old rock as far as he could.,U eski toshni qo'lidan kelganicha uzoqroqqa uloqtirib tashlashga qaror qildi.,throw hurl,
prostitute,noun,B2,fohisha qo‘shmachi,проститутка,A person who engages in sexual activity for money as a way of living.,ˈpɹɒstɪˌtjuːt,21136,ielts,The law works to protect individuals who are forced to become prostitutes.,Qonun majburan fohishalikka itilgan shaxslarni himoya qilish uchun xizmat qiladi.,sex-worker,
erica,noun,C1,erika qo‘ng‘iroqgul,эрика,A small plant or shrub with tiny bell-shaped flowers often grown in gardens.,ˈɛrɪkə,21138,nature,We planted some erica bushes along the edge of our flower garden.,Biz gulzorimizning chetiga bir nechta erika butalarini ekdik.,heather,
lola,noun,A1,buvi ona,бабушка,A word used in the Philippines to address or refer to a grandmother.,ˈloʊlə,21140,people-family,My lola makes the best traditional food for our family gatherings.,Mening buvim oilaviy yig'inlarimiz uchun eng mazali an'anaviy taomlarni tayyorlaydi.,grandmother grandma,grandchild
roars,verb,B2,baqirmoq o‘kramoq,реветь,"To make a very loud, deep sound, especially as an animal like a lion.",ɹɔɹz,21146,animals,The lion roars loudly when it is hungry in the wild forest.,Arslon yovvoyi o‘rmonda och qolganida qattiq o‘kiradi.,bellows howls,whispers
sheila,noun,B2,ayol xonim,женщина,A word used in Australian English to refer to a woman.,ˈʃiːlə,21148,people-family,I met a friendly sheila who showed me the way to town.,Menga shaharga boradigan yo‘lni ko‘rsatgan bir xushmuomala ayol bilan tanishdim.,woman lady,bloke
pervert,verb,C1,buzmoq shaytonlatmoq,искажать,To change something good or true into something bad or harmful.,ˈpəː.vəːt,21150,ielts,He used his position to pervert the course of justice for money.,U o'z mansabidan adolat yo'lini buzish uchun pul evaziga foydalandi.,corrupt distort,restore
murmuring,noun,C1,shivirlash pichirlash,бормотание,"A soft, low, and continuous sound, often like people talking quietly.",ˈmɜːmərɪŋ,21154,ielts,I could hear the murmuring of students in the quiet library hallway.,Kutubxona yo'lagida talabalarning pichirlab gaplashayotganini eshitib turardim.,whispering muttering,
