headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
verdict,noun,C1,hukm,вердикт,The decision of a court.,ˈvɜːdɪkt,4100,ielts,The jury reached a verdict quickly.,Hakamlar hay'ati hukmga tez keldi.,judgement,
witness,noun,B2,guvoh,свидетель,A person who sees an event happen.,ˈwɪtnəs,4102,ielts,The witness described the accident.,Guvoh baxtsiz hodisani tasvirlab berdi.,,
anonymity,noun,C1,anonimlik nomsizlik,анонимность,The state of having a hidden identity.,ˌænəˈnɪməti,4104,ielts,Online anonymity encourages rudeness.,Onlayn anonimlik qo'pollikni rag'batlantiradi.,,
connectivity,noun,C1,ulanish aloqa,связность,The state of being connected to networks.,ˌkɒnekˈtɪvəti,4106,ielts,Rural areas need better connectivity.,Qishloq joylariga yaxshiroq internet aloqasi kerak.,,
cybercrime,noun,C1,kiberjinoyat,киберпреступность,Crime committed using computers.,ˈsaɪbəkraɪm,4108,ielts,Cybercrime costs billions each year.,Kiberjinoyat har yili milliardlab zarar keltiradi.,,
disinformation,noun,C1,dezinformatsiya,дезинформация,False information spread deliberately.,ˌdɪsɪnfəˈmeɪʃn,4110,ielts,Disinformation spreads before elections.,Dezinformatsiya saylovlar oldidan tarqaladi.,,
encryption,noun,C1,shifrlash,шифрование,Turning data into secret code.,ɪnˈkrɪpʃn,4112,ielts,Encryption protects private messages.,Shifrlash shaxsiy xabarlarni himoya qiladi.,,
hacker,noun,B2,xaker,хакер,A person who breaks into computer systems.,ˈhækə,4114,ielts,Hackers stole customer data.,Xakerlar mijozlar ma'lumotlarini o'g'irlashdi.,,
influencer,noun,C1,influenser,инфлюенсер,A person who affects buying choices online.,ˈɪnfluənsə,4116,ielts,Brands pay influencers for reviews.,Brendlar influenserlarga sharhlar uchun to'laydi.,,
misinformation,noun,C1,noto'g'ri ma'lumot,ложная информация,False information spread without bad intent.,ˌmɪsɪnfəˈmeɪʃn,4118,ielts,Health misinformation is dangerous.,Salomatlik haqidagi noto'g'ri ma'lumot xavfli.,,
podcast,noun,B2,podkast,подкаст,An audio programme you download or stream.,ˈpɒdkɑːst,4120,ielts,I listen to podcasts while commuting.,Ishga qatnashda podkast tinglayman.,,
tabloid,noun,C1,tabloid sariq matbuot,таблоид,A newspaper with sensational stories.,ˈtæblɔɪd,4122,ielts,Tabloids chase celebrity scandals.,Tabloidlar mashhurlar janjallarini quvadi.,,
viral,adjective,C1,internetda tez tarqalgan viral,вирусный,Spreading very quickly online.,ˈvaɪrəl,4124,ielts,The video went viral overnight.,Video bir kechada internetda tarqalib ketdi.,,
citizenship,noun,B2,fuqarolik,гражданство,The legal status of belonging to a country.,ˈsɪtɪzənʃɪp,4126,ielts,She applied for citizenship last year.,U o'tgan yili fuqarolikka ariza berdi.,,
cosmopolitan,adjective,C1,kosmopolit ko'p millatli,космополитичный,Containing people from many countries.,ˌkɒzməˈpɒlɪtən,4128,ielts,Istanbul is a cosmopolitan city.,Istanbul ko'p millatli shahar.,,
discrimination,noun,B2,kamsitish,дискриминация,Unfair treatment of a group.,dɪˌskrɪmɪˈneɪʃn,4130,ielts,Laws ban workplace discrimination.,Qonunlar ish joyidagi kamsitishni taqiqlaydi.,,equality
emigration,noun,C1,emigratsiya chet elga ko'chish,эмиграция,Leaving your country to live elsewhere.,ˌemɪˈɡreɪʃn,4132,ielts,Emigration of doctors worries the ministry.,Shifokorlar emigratsiyasi vazirlikni xavotirga solmoqda.,,immigration
ethnicity,noun,C1,etnik mansublik,этническая принадлежность,Belonging to a group with shared culture.,eθˈnɪsəti,4134,ielts,The census records ethnicity.,Aholi ro'yxati etnik mansublikni qayd etadi.,,
humanitarian,adjective,C1,insonparvarlik gumanitar,гуманитарный,Concerned with helping people's suffering.,hjuːˌmænɪˈteəriən,4136,ielts,Humanitarian aid reached the region.,Gumanitar yordam hududga yetib bordi.,,
multicultural,adjective,C1,ko'p madaniyatli,мультикультурный,Including many cultures.,ˌmʌltiˈkʌltʃərəl,4138,ielts,Students thrive in multicultural classes.,Talabalar ko'p madaniyatli sinflarda yaxshi rivojlanadi.,,
multilingual,adjective,C1,ko'p tilli,многоязычный,Speaking or using several languages.,ˌmʌltiˈlɪŋɡwəl,4140,ielts,Multilingual children switch languages easily.,Ko'p tilli bolalar tillarni oson almashtiradi.,,monolingual
patriotism,noun,C1,vatanparvarlik,патриотизм,Love of your country.,ˈpeɪtriətɪzəm,4142,ielts,True patriotism means honest work.,Chin vatanparvarlik — halol mehnat demak.,,
refugee,noun,B2,qochqin,беженец,A person forced to leave their country.,ˌrefjuˈdʒiː,4144,ielts,The camp shelters thousands of refugees.,Lager minglab qochqinlarga boshpana beradi.,,
segregation,noun,C1,ajratish segregatsiya,сегрегация,Keeping groups of people apart.,ˌseɡrɪˈɡeɪʃn,4146,ielts,School segregation deepens inequality.,Maktablardagi ajratish tengsizlikni chuqurlashtiradi.,,integration
adept,adjective,C1,mohir usta,искусный,Very skilled at something.,əˈdept,4148,ielts,She is adept at solving conflicts.,U nizolarni hal qilishda mohir.,skilled,clumsy
akin,adjective,C1,o'xshash yaqin,сродни,Similar in nature.,əˈkɪn,4150,ielts,Learning a language is akin to building a muscle.,Til o'rganish mushak chiniqtirishga o'xshaydi.,similar,
ascertain,verb,C1,aniqlab olmoq,устанавливать,To find out for certain.,ˌæsəˈteɪn,4152,ielts,Police tried to ascertain the facts.,Politsiya faktlarni aniqlashga urindi.,determine,
astute,adjective,C1,zukko farosatli,проницательный,Clever at judging situations.,əˈstjuːt,4154,ielts,An astute investor saw the trend early.,Zukko sarmoyador tendensiyani erta payqadi.,shrewd,naive
