headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
artefact,noun,C1,osori-atiqa buyum,артефакт,An object made by humans especially historical.,ˈɑːtɪfækt,4440,ielts,The museum displays Silk Road artefacts.,Muzey Ipak yo'li osori-atiqalarini namoyish etadi.,,
calligraphy,noun,C1,xattotlik,каллиграфия,The art of beautiful handwriting.,kəˈlɪɡrəfi,4442,ielts,Arabic calligraphy decorates the madrasah.,Arab xattotligi madrasani bezab turadi.,,
craftsmanship,noun,C1,hunarmandchilik mahorati,мастерство,Skill in making things by hand.,ˈkrɑːftsmənʃɪp,4444,ielts,The carpet shows fine craftsmanship.,Gilamda nozik hunarmandchilik mahorati aks etgan.,workmanship,
curator,noun,C1,muzey mutasaddisi kurator,куратор,A person in charge of a museum collection.,kjʊəˈreɪtə,4446,ielts,The curator explained each exhibit.,Kurator har bir eksponatni tushuntirdi.,,
folklore,noun,C1,xalq og'zaki ijodi folklor,фольклор,Traditional stories and customs of a community.,ˈfəʊklɔː,4448,ielts,Alpomish is central to Uzbek folklore.,Alpomish — o'zbek folklorining markazida.,,
genre,noun,B2,janr,жанр,A type of art music or literature.,ˈʒɒnrə,4450,ielts,Comedy is her favourite film genre.,Komediya — uning sevimli kino janri.,,
masterpiece,noun,B2,durdona shoh asar,шедевр,A work of outstanding skill.,ˈmɑːstəpiːs,4452,ielts,The novel is considered a masterpiece.,Roman durdona asar hisoblanadi.,,
mural,noun,C1,devoriy surat,фреска,A large painting on a wall.,ˈmjʊərəl,4454,ielts,A bright mural covers the school wall.,Yorqin devoriy surat maktab devorini qoplaydi.,,
ornament,noun,B2,bezak zeb-ziynat,украшение,An object used as decoration.,ˈɔːnəmənt,4456,ielts,Ceramic ornaments filled the shelves.,Javonlar sopol bezaklarga to'la edi.,decoration,
portrait,noun,B2,portret siymo,портрет,A painting or photo of a person.,ˈpɔːtrət,4458,ielts,The artist painted the poet's portrait.,Rassom shoirning portretini chizdi.,,
pottery,noun,B2,kulolchilik sopol buyumlar,керамика,Objects made from baked clay; the craft itself.,ˈpɒtəri,4460,ielts,Rishtan is famous for its pottery.,Rishton kulolchiligi bilan mashhur.,ceramics,
sculpture,noun,B2,haykal haykaltaroshlik,скульптура,Art made by shaping stone metal or wood.,ˈskʌlptʃə,4462,ielts,The park displays modern sculptures.,Bog'da zamonaviy haykallar namoyish etilgan.,statue,
artisan,noun,C1,hunarmand usta,ремесленник,A skilled worker who makes things by hand.,ˌɑːtɪˈzæn,4464,ielts,Local artisans sell silk and ceramics.,Mahalliy hunarmandlar ipak va sopol sotadilar.,craftsman,
monument,noun,B2,yodgorlik obida,памятник,A structure built to remember a person or event.,ˈmɒnjumənt,4466,ielts,The monument honours the war heroes.,Obida urush qahramonlari xotirasiga bag'ishlangan.,memorial,
mosaic,noun,C1,mozaika koshinkorlik,мозаика,A picture made from small coloured pieces.,məʊˈzeɪɪk,4468,ielts,Blue mosaics cover the dome.,Gumbazni ko'k mozaikalar qoplaydi.,,
manuscript,noun,C1,qo'lyozma,рукопись,A handwritten old document or an unpublished text.,ˈmænjuskrɪpt,4470,ielts,The library preserves ancient manuscripts.,Kutubxona qadimiy qo'lyozmalarni saqlaydi.,,
astronaut,noun,B2,kosmonavt astronavt,космонавт,A person who travels in space.,ˈæstrənɔːt,4472,ielts,The astronaut spent a year in orbit.,Kosmonavt orbitada bir yil o'tkazdi.,,
asteroid,noun,C1,asteroid,астероид,A rocky object orbiting the sun.,ˈæstərɔɪd,4474,ielts,A small asteroid passed near Earth.,Kichik asteroid Yer yaqinidan o'tdi.,,
bacteria,noun,B2,bakteriyalar,бактерии,Very small organisms some of which cause disease.,bækˈtɪəriə,4476,ielts,Some bacteria are good for digestion.,Ba'zi bakteriyalar hazm uchun foydali.,,
comet,noun,C1,kometa dumli yulduz,комета,An icy space object with a bright tail.,ˈkɒmɪt,4478,ielts,The comet appears every 76 years.,Kometa har 76 yilda ko'rinadi.,,
eclipse,noun,C1,tutilish,затмение,When one space object blocks another's light.,ɪˈklɪps,4480,ielts,Thousands watched the solar eclipse.,Minglab odamlar quyosh tutilishini tomosha qilishdi.,,
galaxy,noun,B2,galaktika,галактика,A huge group of stars.,ˈɡæləksi,4482,ielts,Our galaxy contains billions of stars.,Galaktikamizda milliardlab yulduzlar bor.,,
genome,noun,C1,genom,геном,The complete set of genes of a living thing.,ˈdʒiːnəʊm,4484,ielts,Scientists mapped the human genome.,Olimlar inson genomini xaritaga tushirishdi.,,
gene,noun,B2,gen,ген,The unit of heredity passed from parents.,dʒiːn,4486,ielts,Genes influence height and eye colour.,Genlar bo'y va ko'z rangiga ta'sir qiladi.,,
lunar,adjective,C1,oy bilan bog'liq,лунный,Relating to the moon.,ˈluːnə,4488,ielts,The lunar mission launched at dawn.,Oy missiyasi tongda uchirildi.,,solar
meteor,noun,C1,meteor,метеор,A piece of rock burning brightly in the sky.,ˈmiːtiə,4490,ielts,We watched the meteor shower at night.,Kechasi meteor yomg'irini tomosha qildik.,,
microscope,noun,B2,mikroskop,микроскоп,An instrument that makes tiny things look bigger.,ˈmaɪkrəskəʊp,4492,ielts,Students examined cells under a microscope.,Talabalar hujayralarni mikroskopda o'rganishdi.,,
molecule,noun,C1,molekula,молекула,The smallest unit of a chemical substance.,ˈmɒlɪkjuːl,4494,ielts,A water molecule has three atoms.,Suv molekulasida uchta atom bor.,,
neuron,noun,C1,neyron,нейрон,A nerve cell that carries signals.,ˈnjʊərɒn,4496,ielts,Learning creates new links between neurons.,O'rganish neyronlar orasida yangi bog'lanishlar hosil qiladi.,,
particle,noun,C1,zarra,частица,An extremely small piece of matter.,ˈpɑːtɪkl,4498,ielts,Dust particles float in the sunlight.,Chang zarralari quyosh nurida suzadi.,,
satellite,noun,B2,sun'iy yo'ldosh,спутник,An object sent into space to orbit Earth.,ˈsætəlaɪt,4500,ielts,Satellites make GPS possible.,Sun'iy yo'ldoshlar GPS'ni imkonli qiladi.,,
telescope,noun,B2,teleskop,телескоп,An instrument for seeing distant objects.,ˈtelɪskəʊp,4502,ielts,The telescope revealed Saturn's rings.,Teleskop Saturn halqalarini ko'rsatdi.,,
