headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
wake up,phrasal verb,A1,uyg'onmoq,просыпаться,To stop sleeping and open your eyes.,weɪk ʌp,11000,phrasal,I wake up at seven every morning.,Men har kuni ertalab yettida uyg'onaman.,,
grow up,phrasal verb,A2,ulg'aymoq katta bo'lmoq,вырастать,To change from a child into an adult.,ɡrəʊ ʌp,11002,phrasal,She grew up in a small village.,U kichkina qishloqda ulg'aygan.,,
sit down,phrasal verb,A1,o'tirmoq,садиться,To move your body into a sitting position.,sɪt daʊn,11004,phrasal,"Please sit down, the lesson is starting.","Marhamat o'tiring, dars boshlanyapti.",,stand up
stand up,phrasal verb,A1,o'rnidan turmoq,вставать,To rise to your feet from sitting.,stænd ʌp,11006,phrasal,Everyone stood up when the teacher entered.,O'qituvchi kirganda hamma o'rnidan turdi.,,sit down
slow down,phrasal verb,A2,sekinlashmoq,замедляться,To move or happen more slowly.,sləʊ daʊn,11008,phrasal,"Slow down, you're driving too fast.","Sekinlashing, juda tez haydayapsiz.",,speed up
hurry up,phrasal verb,A2,shoshilmoq,торопиться,To do something more quickly.,ˈhʌri ʌp,11010,phrasal,"Hurry up, or we'll miss the bus!","Shoshiling, aks holda avtobusga kechikamiz!",rush,
sign up,phrasal verb,B1,ro'yxatdan o'tmoq a'zo bo'lmoq,записаться,To put your name on a list to join something.,saɪn ʌp,11012,phrasal,I signed up for a swimming course.,Men suzish kursiga yozildim.,register,
turn on,phrasal verb,A2,yoqmoq,включать,To make a machine or light start working.,tɜːn ɒn,11014,phrasal,Turn on the light — it's getting dark.,Chiroqni yoqing — qorong'i tushyapti.,switch on,turn off
turn off,phrasal verb,A2,o'chirmoq,выключать,To make a machine or light stop working.,tɜːn ɒf,11016,phrasal,Don't forget to turn off the TV.,Televizorni o'chirishni unutmang.,switch off,turn on
write down,phrasal verb,A2,yozib olmoq,записывать,To write something on paper so you remember it.,raɪt daʊn,11018,phrasal,Write down my phone number.,Telefon raqamimni yozib oling.,note,
throw away,phrasal verb,B1,tashlab yubormoq,выбрасывать,To get rid of something you no longer need.,θrəʊ əˈweɪ,11020,phrasal,Don't throw away those old photos.,U eski suratlarni tashlab yubormang.,discard,keep
take care of,phrasal verb,B1,g'amxo'rlik qilmoq qaramoq,заботиться,To look after someone or something.,teɪk keər ɒv,11022,phrasal,She takes care of her younger brothers.,U ukalariga g'amxo'rlik qiladi.,look after,neglect
get rid of,phrasal verb,B1,qutulmoq xalos bo'lmoq,избавляться,To remove something unwanted.,ɡet rɪd ɒv,11024,phrasal,We finally got rid of the old sofa.,Nihoyat eski divandan qutuldik.,remove,
get on,phrasal verb,A2,chiqmoq minmoq,садиться (в транспорт),"To enter a bus, train or plane.",ɡet ɒn,11026,phrasal,We got on the bus at the main station.,Bosh bekatda avtobusga chiqdik.,board,get off
get off,phrasal verb,A2,tushmoq,выходить (из транспорта),"To leave a bus, train or plane.",ɡet ɒf,11028,phrasal,Get off at the next stop.,Keyingi bekatda tushing.,,get on
go on,phrasal verb,B1,davom etmoq,продолжаться,To continue happening or doing something.,ɡəʊ ɒn,11030,phrasal,The meeting went on for three hours.,Yig'ilish uch soat davom etdi.,continue,stop
go out,phrasal verb,A2,tashqariga chiqmoq sayrga chiqmoq,выходить (развлекаться),To leave home for entertainment.,ɡəʊ aʊt,11032,phrasal,We go out for dinner every Friday.,Har juma kechki ovqatga chiqamiz.,,stay in
go through,phrasal verb,B2,boshdan kechirmoq; ko'rib chiqmoq,переживать; просматривать,To experience something difficult; to examine carefully.,ɡəʊ θruː,11034,phrasal,She went through a difficult time last year.,U o'tgan yili og'ir davrni boshdan kechirdi.,experience,
go ahead,phrasal verb,B1,davom etavermoq boshlamoq,приступать,To start or continue with a plan.,ɡəʊ əˈhed,11036,phrasal,"Go ahead, we're all listening.","Boshlayvering, hammamiz eshityapmiz.",proceed,
check out,phrasal verb,B1,ko'rib chiqmoq; xonani topshirmoq,посмотреть; выехать из отеля,To look at something interesting; to leave a hotel.,tʃek aʊt,11038,phrasal,Check out this new café near the park.,Bog' yonidagi yangi kafega bir qarang.,,check in
eat out,phrasal verb,B1,tashqarida ovqatlanmoq,есть вне дома,To eat at a restaurant instead of at home.,iːt aʊt,11040,phrasal,We eat out once a week.,Haftada bir marta tashqarida ovqatlanamiz.,,
dress up,phrasal verb,B1,yasanmoq bashang kiyinmoq,наряжаться,To wear special or formal clothes.,dres ʌp,11042,phrasal,Everyone dressed up for the wedding.,To'y uchun hamma yasandi.,,dress down
fill out,phrasal verb,B1,to'ldirmoq (forma),заполнять (форму),To complete a form with information.,fɪl aʊt,11044,phrasal,Fill out this form and sign at the bottom.,Bu formani to'ldirib pastiga imzo cheking.,complete,
fill up,phrasal verb,B1,to'ldirmoq to'lmoq,наполнять,To make something completely full.,fɪl ʌp,11046,phrasal,He filled up the tank before the trip.,Safar oldidan bakni to'ldirdi.,,empty
get together,phrasal verb,B1,yig'ilmoq uchrashmoq,собираться вместе,To meet with people socially.,ɡet təˈɡeðə,11048,phrasal,The whole family gets together on holidays.,Bayramlarda butun oila yig'iladi.,gather,
give away,phrasal verb,B2,tekinga bermoq hadya qilmoq,отдавать даром,To give something to someone for free.,ɡɪv əˈweɪ,11050,phrasal,She gave away most of her books.,U kitoblarining ko'pini hadya qilib yubordi.,donate,
give back,phrasal verb,A2,qaytarib bermoq,возвращать,To return something to its owner.,ɡɪv bæk,11052,phrasal,Give back my pen when you finish.,Ishlatib bo'lgach ruchkamni qaytarib bering.,return,
hand in,phrasal verb,B1,topshirmoq,сдавать (работу),To give work to a teacher or boss.,hænd ɪn,11054,phrasal,Hand in your essays by Friday.,Insholaringizni jumagacha topshiring.,submit,
hand out,phrasal verb,B1,tarqatmoq,раздавать,To give something to each person in a group.,hænd aʊt,11056,phrasal,The teacher handed out the exam papers.,O'qituvchi imtihon qog'ozlarini tarqatdi.,distribute,
hang up,phrasal verb,B1,go'shakni qo'ymoq,вешать трубку,To end a phone call.,hæŋ ʌp,11058,phrasal,She said goodbye and hung up.,U xayrlashib go'shakni qo'ydi.,,
hold back,phrasal verb,B2,tiymoq ushlab turmoq,сдерживать,To stop yourself from showing a feeling or doing something.,həʊld bæk,11060,phrasal,He couldn't hold back his tears.,U ko'z yoshlarini tiya olmadi.,restrain,
join in,phrasal verb,B1,qo'shilmoq,присоединяться,To take part in an activity with others.,dʒɔɪn ɪn,11062,phrasal,Everyone joined in the singing.,Qo'shiq aytishga hamma qo'shildi.,participate,
keep on,phrasal verb,B1,davom ettirmoq to'xtamaslik,продолжать,To continue doing something.,kiːp ɒn,11064,phrasal,Keep on practising and you will improve.,Mashq qilishda davom eting — o'sasiz.,continue,give up
kick off,phrasal verb,B2,boshlanmoq boshlamoq,начинаться,To begin — especially an event or a match.,kɪk ɒf,11066,phrasal,The festival kicks off at noon on Saturday.,Festival shanba kuni tushda boshlanadi.,start,
leave out,phrasal verb,B2,tushirib qoldirmoq chetda qoldirmoq,пропускать,To not include someone or something.,liːv aʊt,11068,phrasal,You left out an important detail.,Muhim tafsilotni tushirib qoldirdingiz.,omit,include
look out,phrasal verb,B1,ehtiyot bo'lmoq,беречься,Used to warn someone about danger.,lʊk aʊt,11070,phrasal,"Look out, the floor is wet!","Ehtiyot bo'ling, pol ho'l!",watch out,
look up to,phrasal verb,B2,hurmat qilmoq havas qilmoq,уважать,To admire and respect someone.,lʊk ʌp tuː,11072,phrasal,Young players look up to the captain.,Yosh o'yinchilar sardorga havas qilishadi.,admire,look down on
look down on,phrasal verb,B2,mensimaslik past nazar bilan qaramoq,смотреть свысока,To think you are better than someone.,lʊk daʊn ɒn,11074,phrasal,Never look down on people with less money.,Kam pulli odamlarni hech qachon mensimay qaramang.,despise,look up to
make up for,phrasal verb,B2,o'rnini to'ldirmoq,компенсировать,To do something good to balance something bad.,meɪk ʌp fɔː,11076,phrasal,He bought flowers to make up for being late.,Kechikkanining o'rnini to'ldirish uchun gul oldi.,compensate,
mix up,phrasal verb,B1,adashtirmoq chalkashtirmoq,путать,To confuse two things or people.,mɪks ʌp,11078,phrasal,I always mix up the twins' names.,Egizaklarning ismlarini doim adashtiraman.,confuse,
move in,phrasal verb,B1,ko'chib kirmoq,въезжать,To start living in a new home.,muːv ɪn,11080,phrasal,We moved in last month.,O'tgan oy ko'chib kirdik.,,move out
move out,phrasal verb,B1,ko'chib chiqmoq,съезжать,To stop living in a home and leave it.,muːv aʊt,11082,phrasal,He moved out of his parents' house at twenty.,U yigirma yoshida ota-onasining uyidan ko'chib chiqdi.,,move in
pay off,phrasal verb,B2,o'zini oqlamoq; qarzni uzmoq,окупаться; погасить долг,To bring good results; to finish paying a debt.,peɪ ɒf,11084,phrasal,All those hours of study finally paid off.,Shuncha soatlik o'qish nihoyat o'zini oqladi.,,
pick out,phrasal verb,B2,tanlab olmoq,выбирать,To choose something from a group.,pɪk aʊt,11086,phrasal,She picked out a blue dress for the party.,U bazm uchun ko'k ko'ylak tanlab oldi.,choose,
pull over,phrasal verb,B2,chetga to'xtamoq,остановиться у обочины,To drive to the side of the road and stop.,pʊl ˈəʊvə,11088,phrasal,The police asked him to pull over.,Politsiya undan chetga to'xtashni so'radi.,,
