headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
undecided,adjective,B1,qat'iy qaror qilinmagan,нерешенный,Not yet having made a decision about something.,ˌʌndɪˈsaɪdɪd,3400,describing,I'm still undecided about which university to choose.,Men hali qaysi universitetni tanlash haqida qat'iy qaror qilmadim.,unsure uncertain,decided certain
indecisive,adjective,B2,ikkilanuvchan,нерешительный,Unable to make decisions quickly and confidently.,ˌɪndɪˈsaɪsɪv,6800,describing,He is too indecisive to choose a restaurant for dinner.,U kechki ovqat uchun restoran tanlashda juda ikkilanadi.,hesitant uncertain,decisive
unhappiness,noun,A2,baxtsizlik,несчастье,The state of feeling sad or not satisfied.,ʌnˈhæpinəs,3900,feelings,Losing his job caused a lot of unhappiness in the family.,Ishdan haydalishi oilada katta baxtsizlikka sabab bo'ldi.,sadness misery,happiness joy
angered,adjective,B1,g'azablangan,разгневанный,Made very angry by something.,ˈæŋɡərd,4600,feelings,The angered customer demanded to speak to the manager.,G'azablangan mijoz menejer bilan gaplashishni talab qildi.,furious enraged,calm
angrily,adverb,A2,g'azab bilan,сердито,In an angry way.,ˈæŋɡrəli,3100,feelings,She slammed the door angrily and walked away.,U g'azab bilan eshikni qarsillatib yopib ketib qoldi.,furiously,calmly
saddened,adjective,B1,xafa bo'lgan,опечаленный,Made to feel sad by something.,ˈsædənd,4700,feelings,We were saddened to hear about the accident.,Baxtsiz hodisa haqida eshitib xafa bo'ldik.,upset grieved,pleased
disappointing,adjective,B1,ko'ngilsiz,разочаровывающий,Failing to meet expectations and causing sadness.,ˌdɪsəˈpɔɪntɪŋ,3600,feelings,The film's ending was quite disappointing.,Filmning oxiri juda ko'ngilsiz edi.,unsatisfactory,satisfying
dissatisfied,adjective,B2,norozi,недовольный,Not pleased or satisfied with something.,ˌdɪsˈsætɪsfaɪd,4200,feelings,Many customers are dissatisfied with the new policy.,Ko'p mijozlar yangi qoida bilan norozi.,unhappy displeased,satisfied
dissatisfaction,noun,B2,noroziyat,недовольство,A feeling of not being pleased or satisfied.,ˌdɪsˌsætɪsˈfækʃən,7200,feelings,There is growing dissatisfaction among the staff.,Xodimlar orasida noroziyat kuchayib bormoqda.,displeasure,satisfaction
frustrating,adjective,B1,asabiylashtiruvchi,разочаровывающий,Causing feelings of annoyance because of being unable to change something.,frʌˈstreɪtɪŋ,3300,feelings,It's frustrating when the internet keeps disconnecting.,Internet doim uzilib qolishi asabiylashtiradi.,annoying irritating,satisfying
unexciting,adjective,B1,zerikarli,скучный,Not interesting or exciting.,ˌʌnɪkˈsaɪtɪŋ,5200,describing,The meeting was long and unexciting.,Yig'ilish uzun va zerikarli edi.,boring dull,exciting
embarrassment,noun,B1,noqulaylik,смущение,A feeling of shame or shyness in front of others.,ɪmˈbærəsmənt,3700,feelings,He turned red with embarrassment after tripping in class.,"U sinfda qoqilib tushgach, noqulaylikdan qizarib ketdi.",shame awkwardness,pride
unembarrassed,adjective,C1,uyalmagan,не смущенный,Not feeling ashamed or shy about something.,ˌʌnɪmˈbærəst,9500,feelings,She stayed calm and unembarrassed despite the mistake.,U xatosiga qaramay xotirjam va uyalmasdan qoldi.,unashamed,embarrassed
unkind,adjective,A2,beshafqat,недобрый,Not kind; unfriendly or slightly cruel.,ʌnˈkaɪnd,2900,feelings,It was unkind of him to laugh at her mistake.,Uning xatosiga kulishi beshafqatlik edi.,unfriendly cruel,kind
disagreeable,adjective,B2,noxush,неприятный,Unpleasant or unfriendly in manner.,ˌdɪsəˈɡriːəbl,6500,describing,He can be quite disagreeable when he's tired.,U charchaganida ancha noxush bo'lib qolishi mumkin.,unpleasant rude,agreeable pleasant
agreeable,adjective,B2,yoqimli,приятный,Pleasant and easy to deal with.,əˈɡriːəbl,4400,describing,"She has a warm, agreeable personality.","Uning iliq, yoqimli tabiati bor.",pleasant amiable,disagreeable
argumentative,adjective,B2,bahslashuvchan,спорный,Likely to argue and disagree with people.,ˌɑːrɡjəˈmentətɪv,6100,describing,He gets argumentative whenever politics comes up.,"Siyosat mavzusi chiqsa, u bahslashuvchan bo'lib qoladi.",quarrelsome combative,agreeable
observant,adjective,B2,ziyrak,наблюдательный,Quick to notice things; paying close attention.,əbˈzɜːrvənt,5300,describing,An observant student noticed the error in the textbook.,Ziyrak talaba darslikdagi xatoni payqadi.,alert attentive,careless
observable,adjective,B2,kuzatiladigan,наблюдаемый,Able to be seen or noticed.,əbˈzɜːrvəbl,7100,describing,There was an observable change in his mood.,Uning kayfiyatida kuzatiladigan o'zgarish bor edi.,noticeable visible,unnoticeable
identifiable,adjective,B2,aniqlanadigan,идентифицируемый,Able to be recognized or identified.,aɪˌdentɪˈfaɪəbl,6700,describing,The suspect was easily identifiable from the video.,Gumon qilinuvchi videodan osongina aniqlandi.,recognizable,unidentifiable
unidentified,adjective,B1,noma'lum,неопознанный,Not recognized or named; unknown.,ˌʌnaɪˈdentɪfaɪd,3500,describing,An unidentified man was seen near the building.,Bino yaqinida noma'lum erkak ko'rilgan.,unknown anonymous,identified
imaginative,adjective,B1,ijodkor,изобретательный,Having or showing a creative imagination.,ɪˈmædʒɪnətɪv,3200,describing,Children need imaginative play to develop their minds.,Bolalarga aqlini rivojlantirish uchun ijodkor o'yinlar kerak.,creative inventive,unimaginative
unimaginative,adjective,B2,ijodsiz,неизобретательный,Lacking creativity or original ideas.,ˌʌnɪˈmædʒɪnətɪv,7300,describing,The design was safe but unimaginative.,"Dizayn xavfsiz, ammo ijodsiz edi.",dull uncreative,imaginative
uncreative,adjective,B2,ijodiy bo'lmagan,неоригинальный,Lacking originality or new ideas.,ˌʌnkriˈeɪtɪv,6900,describing,The advertisement felt repetitive and uncreative.,Reklama takrorlanuvchan va ijodiy bo'lmagandek tuyuldi.,unoriginal dull,creative
