headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
accomplish,verb,B2,ado etmoq,выполнять,To finish something successfully.,əˈkʌmplɪʃ,1200,actions,She accomplished everything on her list.,U ro'yxatidagi hamma ishni ado etdi.,achieve,
acknowledge,verb,B2,e'tirof etmoq,признавать,To accept that something is true or exists.,əkˈnɒlɪdʒ,1205,actions,He acknowledged his mistake publicly.,U xatosini ochiq e'tirof etdi.,admit,deny
adapt,verb,B2,moslashmoq,адаптироваться,To change to suit a new situation.,əˈdæpt,1210,actions,Plants adapt to dry climates.,O'simliklar quruq iqlimga moslashadi.,adjust,
anticipate,verb,B2,oldindan ko'ra bilmoq,предвидеть,To expect something before it happens.,ænˈtɪsɪpeɪt,1215,actions,We anticipate strong demand for tickets.,Chiptalarga katta talabni kutmoqdamiz.,expect,
assess,verb,B2,baholamoq,оценивать,To judge the quality or value of something.,əˈses,1220,actions,Teachers assess students' progress monthly.,O'qituvchilar o'quvchilar taraqqiyotini har oy baholaydi.,evaluate,
assume,verb,B2,taxmin qilmoq,предполагать,To believe something without proof.,əˈsjuːm,1225,actions,Don't assume everyone agrees with you.,Hamma siz bilan rozi deb taxmin qilmang.,suppose,
bias,noun,B2,xolislik yo'qligi,предвзятость,An unfair preference for one side.,ˈbaɪəs,1230,basics,Good journalists avoid bias in reports.,Yaxshi jurnalistlar xabarlarda xolislikni saqlaydi.,prejudice,
boost,verb,B2,kuchaytirmoq,повышать,To increase or improve something.,buːst,1235,actions,Exercise boosts your energy.,Mashq quvvatingizni oshiradi.,increase,reduce
cease,verb,B2,to'xtatmoq,прекращать,To stop happening or doing something.,siːs,1240,actions,The factory ceased production last year.,Zavod o'tgan yili ishlab chiqarishni to'xtatdi.,stop,continue
coherent,adjective,B2,izchil,связный,Clear and logically connected.,kəʊˈhɪərənt,1245,describing,Her essay was coherent and convincing.,Uning inshosi izchil va ishonarli edi.,logical,confused
