headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
rational,adjective,C1,oqilona,рациональный,Based on reason rather than emotion.,ˈræʃnəl,2600,ielts,Make a rational decision not an emotional one.,Hissiy emas oqilona qaror qabul qiling.,logical,irrational
react,verb,B2,munosabat bildirmoq,реагировать,To behave in response to something.,riˈækt,2602,ielts,How did she react to the news?,U xabarga qanday munosabat bildirdi?,respond,
refine,verb,C1,takomillashtirmoq,совершенствовать,To improve something with small changes.,rɪˈfaɪn,2604,ielts,The team refined the design over months.,Jamoa dizaynni oylar davomida takomillashtirdi.,improve,
reflect,verb,B2,aks ettirmoq,отражать,To show or express something; to think deeply.,rɪˈflekt,2606,ielts,Prices reflect the quality of the goods.,Narxlar mahsulot sifatini aks ettiradi.,,
reform,noun,B2,islohot,реформа,A change made to improve a system.,rɪˈfɔːm,2608,ielts,Education reform is a national priority.,Ta'lim islohoti milliy ustuvorlik.,,
refute,verb,C1,rad etmoq,опровергать,To prove that something is wrong.,rɪˈfjuːt,2610,ielts,The data refutes the old theory.,Ma'lumotlar eski nazariyani rad etadi.,disprove,confirm
regime,noun,C1,tuzum rejim,режим,A system of government or management.,reɪˈʒiːm,2612,ielts,The new training regime improved results.,Yangi mashg'ulot rejimi natijalarni yaxshiladi.,,
region,noun,B2,hudud mintaqa,регион,A large area of land.,ˈriːdʒən,2614,ielts,The region is famous for its fruit.,Bu hudud mevasi bilan mashhur.,area,
register,verb,B2,ro'yxatdan o'tmoq,регистрироваться,To put a name on an official list.,ˈredʒɪstə,2616,ielts,Register for the exam before Friday.,Imtihonga jumagacha ro'yxatdan o'ting.,enrol,
regulate,verb,C1,tartibga solmoq,регулировать,To control something with rules.,ˈreɡjuleɪt,2618,ielts,The state regulates food safety.,Davlat oziq-ovqat xavfsizligini tartibga soladi.,control,
reinforce,verb,C1,mustahkamlamoq,укреплять,To make something stronger.,ˌriːɪnˈfɔːs,2620,ielts,Examples reinforce the explanation.,Misollar tushuntirishni mustahkamlaydi.,strengthen,weaken
reject,verb,B2,rad qilmoq,отвергать,To refuse to accept something.,rɪˈdʒekt,2622,ielts,The committee rejected the proposal.,Qo'mita taklifni rad qildi.,refuse,accept
rely,verb,B2,tayanmoq ishonmoq,полагаться,To depend on someone or something.,rɪˈlaɪ,2624,ielts,Farmers rely on seasonal rain.,Dehqonlar mavsumiy yomg'irga tayanadi.,depend,
remainder,noun,C1,qolgan qismi,остаток,The part that is left.,rɪˈmeɪndə,2626,ielts,She spent the remainder of the day reading.,U kunning qolgan qismini o'qish bilan o'tkazdi.,rest,
remedy,noun,C1,davo chora,средство,A cure or solution for a problem.,ˈremədi,2628,ielts,Honey is an old remedy for coughs.,Asal yo'talning qadimiy davosi.,cure,
renowned,adjective,C1,dong'i ketgan,знаменитый,Famous and respected.,rɪˈnaʊnd,2630,ielts,Samarkand is renowned for its architecture.,Samarqand me'morchiligi bilan dong'i ketgan.,famous,unknown
replicate,verb,C1,takrorlamoq,воспроизводить,To repeat something exactly.,ˈreplɪkeɪt,2632,ielts,Other labs failed to replicate the results.,Boshqa laboratoriyalar natijalarni takrorlay olmadi.,reproduce,
reproduce,verb,C1,ko'paymoq qayta yaratmoq,воспроизводить,To make a copy; to have offspring.,ˌriːprəˈdjuːs,2634,ielts,The painting is reproduced in the textbook.,Rasm darslikda qayta berilgan.,copy,
resemble,verb,B2,o'xshamoq,походить,To look or be like someone or something.,rɪˈzembl,2636,ielts,The lake resembles a mirror at dawn.,Tongda ko'l ko'zguga o'xshaydi.,,
reside,verb,C1,istiqomat qilmoq,проживать,To live in a particular place.,rɪˈzaɪd,2638,ielts,Many students reside near the campus.,Ko'p talabalar kampus yaqinida istiqomat qiladi.,live,
resist,verb,B2,qarshilik ko'rsatmoq,сопротивляться,To fight against or refuse something.,rɪˈzɪst,2640,ielts,It is hard to resist fresh bread.,Yangi nonga qarshilik qilish qiyin.,oppose,accept
restore,verb,B2,tiklamoq,восстанавливать,To bring back to a previous condition.,rɪˈstɔː,2642,ielts,The old mosque was carefully restored.,Eski masjid ehtiyotkorlik bilan tiklandi.,repair,
restrain,verb,C1,tiyib turmoq,сдерживать,To stop someone or something from acting.,rɪˈstreɪn,2644,ielts,She restrained her anger during the meeting.,U yig'ilishda g'azabini tiyib turdi.,control,release
retain,verb,C1,saqlab qolmoq,удерживать,To keep something.,rɪˈteɪn,2646,ielts,We retain only ten percent of what we hear.,Eshitganimizning atigi o'n foizini saqlab qolamiz.,keep,lose
retrieve,verb,C1,qaytarib olmoq,извлекать,To get something back.,rɪˈtriːv,2648,ielts,The app retrieves data from the server.,Ilova serverdan ma'lumot oladi.,recover,
revenue,noun,C1,daromad tushum,доход,Money that a business or government receives.,ˈrevənjuː,2650,ielts,Tax revenue funds public schools.,Soliq tushumlari davlat maktablarini moliyalashtiradi.,income,
reverse,verb,C1,teskarisiga o'zgartirmoq,обращать вспять,To change something to the opposite.,rɪˈvɜːs,2652,ielts,The court reversed its decision.,Sud qarorini teskarisiga o'zgartirdi.,overturn,
revise,verb,B2,qayta ko'rib chiqmoq,пересматривать,To change and improve something; to study again.,rɪˈvaɪz,2654,ielts,Revise your essay before submitting.,Inshoni topshirishdan oldin qayta ko'rib chiqing.,,
revive,verb,C1,jonlantirmoq,возрождать,To bring back to life or use.,rɪˈvaɪv,2656,ielts,The festival revived old traditions.,Festival eski an'analarni jonlantirdi.,restore,
rigorous,adjective,C1,qat'iy sinchkov,строгий,Careful thorough and strict.,ˈrɪɡərəs,2658,ielts,The data passed rigorous testing.,Ma'lumotlar qat'iy sinovdan o'tdi.,thorough,careless
robust,adjective,C1,mustahkam bardoshli,крепкий,Strong and unlikely to fail.,rəʊˈbʌst,2660,ielts,The economy remains robust.,Iqtisodiyot mustahkam bo'lib qolmoqda.,strong,fragile
rural,adjective,B2,qishloq joyidagi,сельский,Relating to the countryside.,ˈrʊərəl,2662,ielts,Rural schools need more teachers.,Qishloq maktablariga ko'proq o'qituvchi kerak.,,urban
scenario,noun,C1,ssenariy stsenariy,сценарий,A possible situation or sequence of events.,səˈnɑːriəʊ,2664,ielts,Consider the worst-case scenario.,Eng yomon ssenariyni ham hisobga oling.,,
sceptical,adjective,C1,shubha bilan qaraydigan,скептический,Doubting that something is true.,ˈskeptɪkl,2666,ielts,Scientists were sceptical of the claim.,Olimlar da'voga shubha bilan qarashdi.,doubtful,convinced
scheme,noun,C1,dastur reja,схема,An official plan or programme.,skiːm,2668,ielts,The city launched a bike-sharing scheme.,Shahar velosiped ijarasi dasturini boshladi.,programme,
scope,noun,C1,qamrov doira,охват,The range that something covers.,skəʊp,2670,ielts,The question is beyond the scope of this essay.,Savol bu insho qamrovidan tashqarida.,range,
scrutiny,noun,C1,sinchiklab tekshirish,тщательная проверка,Careful and detailed examination.,ˈskruːtəni,2672,ielts,The budget came under public scrutiny.,Byudjet jamoatchilik nazorati ostiga tushdi.,examination,
secure,verb,C1,qo'lga kiritmoq ta'minlamoq,обеспечивать,To get or protect something.,sɪˈkjʊə,2674,ielts,She secured a place at the university.,U universitetdan joy qo'lga kiritdi.,obtain,
segment,noun,C1,bo'lak segment,сегмент,One part of something divided.,ˈseɡmənt,2676,ielts,Young readers are a growing market segment.,Yosh kitobxonlar o'sib borayotgan bozor segmenti.,section,
sequence,noun,B2,ketma-ketlik,последовательность,The order in which things happen.,ˈsiːkwəns,2678,ielts,Follow the steps in the correct sequence.,Qadamlarni to'g'ri ketma-ketlikda bajaring.,order,
shift,noun,B2,o'zgarish siljish,сдвиг,A change in position or direction.,ʃɪft,2680,ielts,There has been a shift in public opinion.,Jamoatchilik fikrida o'zgarish yuz berdi.,change,
shrink,verb,B2,qisqarmoq kichraymoq,сокращаться,To become smaller.,ʃrɪŋk,2682,ielts,The lake is shrinking every year.,Ko'l har yili qisqarib bormoqda.,contract,expand
simulate,verb,C1,taqlid qilmoq modellashtirmoq,имитировать,To create conditions that copy reality.,ˈsɪmjuleɪt,2684,ielts,The software simulates real flight.,Dastur haqiqiy parvozni modellashtiradi.,imitate,
simultaneous,adjective,C1,bir vaqtdagi,одновременный,Happening at the same time.,ˌsɪmlˈteɪniəs,2686,ielts,The event had simultaneous translation.,Tadbirda sinxron tarjima bo'ldi.,,
sophisticated,adjective,C1,murakkab takomillashgan,сложный,Advanced and complicated; experienced.,səˈfɪstɪkeɪtɪd,2688,ielts,Modern phones are sophisticated computers.,Zamonaviy telefonlar murakkab kompyuterlardir.,advanced,simple
spectrum,noun,C1,doira spektr,спектр,A full range of different things.,ˈspektrəm,2690,ielts,Students come from a broad spectrum of backgrounds.,Talabalar turli muhitlardan kelgan.,range,
speculate,verb,C1,taxmin yuritmoq,спекулировать размышлять,To guess without full information.,ˈspekjuleɪt,2692,ielts,Experts speculate about the causes.,Mutaxassislar sabablar haqida taxmin yuritadi.,guess,
sphere,noun,C1,soha shar,сфера,An area of activity; a round object.,sfɪə,2694,ielts,She is respected in academic spheres.,U ilmiy sohalarda hurmatga ega.,domain,
stable,adjective,B2,barqaror,стабильный,Not likely to change or fail.,ˈsteɪbl,2696,ielts,The patient is in a stable condition.,Bemorning ahvoli barqaror.,steady,unstable
statistic,noun,B2,statistik ma'lumot,статистика,A fact shown in numbers.,stəˈtɪstɪk,2698,ielts,One statistic surprised everyone.,Bitta statistik ma'lumot hammani hayratda qoldirdi.,,
status,noun,B2,maqom holat,статус,Position or rank; the current situation.,ˈsteɪtəs,2700,ielts,Check the status of your application.,Arizangiz holatini tekshiring.,,
steady,adjective,B2,bir maromdagi,устойчивый,Developing at a regular rate.,ˈstedi,2702,ielts,The company shows steady growth.,Kompaniya bir maromda o'sishni ko'rsatmoqda.,constant,irregular
stereotype,noun,C1,qolip stereotip,стереотип,A fixed and oversimplified idea about a group.,ˈsteriətaɪp,2704,ielts,The film challenges old stereotypes.,Film eski qoliplarga qarshi chiqadi.,,
stimulate,verb,C1,rag'batlantirmoq,стимулировать,To encourage activity or growth.,ˈstɪmjuleɪt,2706,ielts,Games stimulate children's imagination.,O'yinlar bolalar tasavvurini rag'batlantiradi.,encourage,suppress
straightforward,adjective,B2,sodda tushunarli,простой,Easy to understand or do.,ˌstreɪtˈfɔːwəd,2708,ielts,The instructions are straightforward.,Ko'rsatmalar sodda va tushunarli.,simple,complicated
strive,verb,C1,intilmoq,стремиться,To try very hard to achieve something.,straɪv,2710,ielts,We strive for excellence in teaching.,Biz o'qitishda mukammallikka intilamiz.,endeavour,
subsidy,noun,C1,subsidiya,субсидия,Money given by government to support something.,ˈsʌbsədi,2712,ielts,Farmers receive subsidies for cotton.,Dehqonlar paxta uchun subsidiya oladi.,grant,
substantial,adjective,C1,salmoqli katta,существенный,Large in amount or importance.,səbˈstænʃl,2714,ielts,She made a substantial contribution.,U salmoqli hissa qo'shdi.,considerable,insignificant
substitute,noun,B2,o'rinbosar almashtiruvchi,заменитель,A person or thing that replaces another.,ˈsʌbstɪtjuːt,2716,ielts,Honey is a substitute for sugar.,Asal shakar o'rnini bosuvchi mahsulot.,replacement,
supplement,verb,C1,to'ldirmoq,дополнять,To add something extra to improve it.,ˈsʌplɪment,2718,ielts,He supplements his income with tutoring.,U daromadini repetitorlik bilan to'ldiradi.,,
suppress,verb,C1,bostirmoq,подавлять,To stop something by force; to hide feelings.,səˈpres,2720,ielts,She suppressed a smile during the meeting.,U yig'ilishda tabassumini bosdi.,restrain,express
surge,noun,C1,keskin o'sish,всплеск,A sudden large increase.,sɜːdʒ,2722,ielts,There was a surge in online sales.,Onlayn savdoda keskin o'sish bo'ldi.,rise,drop
surpass,verb,C1,ortda qoldirmoq,превосходить,To do better than something.,səˈpɑːs,2724,ielts,Sales surpassed all expectations.,Savdo barcha kutilganlardan oshdi.,exceed,
survive,verb,B2,omon qolmoq,выживать,To continue to live despite danger.,səˈvaɪv,2726,ielts,Only strong plants survive the drought.,Faqat kuchli o'simliklar qurg'oqchilikdan omon qoladi.,,perish
suspend,verb,C1,to'xtatib turmoq,приостанавливать,To stop something temporarily.,səˈspend,2728,ielts,The match was suspended due to rain.,O'yin yomg'ir tufayli to'xtatildi.,halt,resume
