headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
abstract,adjective,C1,mavhum,абстрактный,Based on ideas rather than real things.,ˈæbstrækt,2200,ielts,Beauty is an abstract concept.,Go'zallik mavhum tushuncha.,theoretical,concrete
access,noun,B2,kirish imkoni,доступ,The right or ability to use or enter something.,ˈækses,2202,ielts,Students have free access to the library.,Talabalar kutubxonadan bepul foydalanish imkoniga ega.,,
accumulate,verb,C1,to'planmoq,накапливать,To gradually collect more and more.,əˈkjuːmjəleɪt,2204,ielts,Dust accumulated on the shelves.,Javonlarda chang to'plandi.,gather,disperse
accurate,adjective,B2,aniq to'g'ri,точный,Correct in every detail.,ˈækjərət,2206,ielts,The forecast was surprisingly accurate.,Prognoz hayratlanarli darajada aniq chiqdi.,precise,inaccurate
adjust,verb,B2,moslashtirmoq,регулировать,To change something slightly to make it better.,əˈdʒʌst,2208,ielts,Adjust the chair to your height.,Stulni bo'yingizga moslang.,adapt,
allocate,verb,C1,ajratmoq,выделять,To officially give something for a purpose.,ˈæləkeɪt,2210,ielts,The budget allocates funds for schools.,Byudjet maktablarga mablag' ajratadi.,assign,
annual,adjective,B2,yillik,ежегодный,Happening once every year.,ˈænjuəl,2212,ielts,The annual report is published in March.,Yillik hisobot mart oyida chop etiladi.,yearly,
apparent,adjective,B2,ko'rinib turgan,очевидный,Easy to see or understand; seeming.,əˈpærənt,2214,ielts,The reason for the delay soon became apparent.,Kechikish sababi tez orada ayon bo'ldi.,obvious,hidden
assign,verb,B2,topshirmoq,назначать,To give someone a task or duty.,əˈsaɪn,2216,ielts,Each student was assigned a project.,Har bir talabaga loyiha topshirildi.,allocate,
attribute,verb,C1,bog'lamoq,приписывать,To say something is caused by a particular thing.,əˈtrɪbjuːt,2218,ielts,She attributes her success to hard work.,U muvaffaqiyatini mehnatga bog'laydi.,,
capable,adjective,B2,qodir,способный,Having the ability to do something.,ˈkeɪpəbl,2220,ielts,She is capable of solving hard problems.,U qiyin masalalarni yecha oladi.,able,incapable
capacity,noun,B2,sig'im qobiliyat,вместимость,The amount something can hold; ability.,kəˈpæsəti,2222,ielts,The hall has a capacity of 500.,Zal 500 kishilik sig'imga ega.,,
clarify,verb,B2,oydinlashtirmoq,разъяснять,To make something easier to understand.,ˈklærəfaɪ,2224,ielts,Could you clarify your last point?,Oxirgi fikringizni oydinlashtira olasizmi?,explain,confuse
