headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
aloof,adjective,C1,o'zini chetga olgan,отстраненный,not friendly or interested in others,əˈluːf,33100,feelings,He seemed aloof at the party.,U bazmda o'zini chetga olgandek ko'rindi.,distant | reserved,friendly
attentive,adjective,B2,e'tiborli,внимательный,carefully listening or watching,əˈtentɪv,33101,feelings,She was attentive during the presentation.,U taqdimot davomida e'tiborli edi.,alert | observant,distracted
baffled,adjective,B2,hayron va tushunmagan,озадаченный,unable to understand something,ˈbæfld,33102,feelings,I was baffled by his sudden decision.,Men uning to'satdan qaroridan hayron bo'ldim.,confused | puzzled,certain
boastful,adjective,B2,maqtanchoq,хвастливый,proudly talking too much about oneself,ˈbəʊstfl,33103,feelings,His boastful manner annoyed the team.,Uning maqtanchoq odati jamoani ranjitdi.,arrogant | vain,modest
courteous,adjective,B2,xushmuomala,учтивый,polite and respectful towards others,ˈkɜːtiəs,33104,feelings,The receptionist was courteous to every visitor.,Qabulxona xodimi har bir mehmonga xushmuomala edi.,polite | respectful,rude
delighted,adjective,B2,juda xursand,восхищенный,very pleased and happy,dɪˈlaɪtɪd,33105,feelings,We were delighted to hear the news.,Biz xabarni eshitib juda xursand bo'ldik.,pleased | happy,disappointed
energetic,adjective,B2,g'ayratli,энергичный,full of energy and enthusiasm,ˌenəˈdʒetɪk,33106,feelings,Her energetic approach inspired the group.,Uning g'ayratli yondashuvi guruhni ilhomlantirdi.,lively | active,lethargic
exasperated,adjective,C1,juda jahli chiqqan,раздраженный,very annoyed because of repeated problems,ɪɡˈzɑːspəreɪtɪd,33107,feelings,He was exasperated by the delayed train.,U kechikkan poyezd sabab juda jahli chiqdi.,frustrated | irritated,calm
hesitant,adjective,B2,ikkilanuvchi,нерешительный,slow to act because of uncertainty,ˈhezɪtənt,33108,feelings,She was hesitant to ask for help.,U yordam so'rashga ikkilandi.,uncertain | reluctant,decisive
irritated,adjective,B2,jahli chiqqan,раздраженный,slightly angry or annoyed,ˈɪrɪteɪtɪd,33109,feelings,I felt irritated by the constant noise.,Doimiy shovqindan jahlim chiqdi.,annoyed | bothered,pleased
puzzled,adjective,B2,hayratda qolgan,озадаченный,confused because something is difficult to understand,ˈpʌzld,33110,feelings,She looked puzzled by the question.,U savoldan hayratda qolgandek ko'rindi.,confused | baffled,clear
timid,adjective,B2,uyatchan,робкий,shy and lacking confidence,ˈtɪmɪd,33111,feelings,The timid child spoke very quietly.,Uyatchan bola juda sekin gapirdi.,shy | nervous,bold
uneasy,adjective,B2,bezovta,тревожный,worried or not fully comfortable,ʌnˈiːzi,33112,feelings,I felt uneasy about the unfamiliar street.,Men notanish ko'cha haqida bezovta bo'ldim.,anxious | worried,comfortable
astonished,adjective,B2,juda hayratlangan,изумленный,very surprised,əˈstɒnɪʃt,33113,feelings,They were astonished by the final score.,Ular yakuniy hisobdan juda hayratlandilar.,amazed | surprised,unmoved
bashful,adjective,B2,uyaluvchan,застенчивый,shy about speaking or meeting people,ˈbæʃfl,33114,feelings,The bashful student avoided eye contact.,Uyaluvchan talaba ko'z bilan qarashdan qochdi.,shy | timid,outgoing
bewildered,adjective,C1,gangib qolgan,растерянный,very confused and uncertain,biˈwɪldəd,33115,feelings,The instructions left us bewildered.,Ko'rsatmalar bizni gangib qoldirdi.,confused | lost,clear
doubtful,adjective,B2,shubhali,сомнительный,unlikely or not certain,ˈdaʊtfl,33116,feelings,It is doubtful that he will arrive today.,U bugun kelishi shubhali.,uncertain | unlikely,certain
enthusiastic,adjective,B2,ishtiyoqli,восторженный,showing strong interest and excitement,ɪnˌθjuːziˈæstɪk,33117,feelings,The volunteers were enthusiastic about the project.,Ko'ngillilar loyiha haqida juda ishtiyoqli edi.,eager | keen,uninterested
hopeful,adjective,B1,umidli,обнадеживающий,feeling or giving hope,ˈhəʊpfl,33118,feelings,We are hopeful about the results.,Biz natijalardan umidvormiz.,optimistic | positive,pessimistic
inquisitive,adjective,C1,qiziquvchan,любознательный,wanting to know more about things,ɪnˈkwɪzətɪv,33119,feelings,The inquisitive child asked many questions.,Qiziquvchan bola ko'p savol berdi.,curious | questioning,indifferent
joyful,adjective,B2,quvonchli,радостный,feeling great happiness,ˈdʒɔɪfl,33120,feelings,The joyful crowd sang after the match.,Quvonchli olomon o'yindan keyin kuyladi.,happy | cheerful,sad
offended,adjective,B2,xafa bo'lgan,оскорбленный,upset because someone was disrespectful,əˈfendɪd,33121,feelings,She felt offended by his comment.,U uning izohidan xafa bo'ldi.,hurt | insulted,pleased
optimistic,adjective,B2,ijobiy umidli,оптимистичный,expecting good things to happen,ˌɒptɪˈmɪstɪk,33122,feelings,He remains optimistic about the future.,U kelajak haqida ijobiy umidli bo'lib qolmoqda.,positive | hopeful,pessimistic
playful,adjective,B2,sho'x,игривый,full of fun and energy,ˈpleɪfl,33123,feelings,The puppy was playful all afternoon.,Kuchukcha tushdan keyin sho'x edi.,lively | fun,serious
skillful,adjective,B2,mohir,умелый,able to do something very well,ˈskɪlfl,33124,feelings,She is skillful at explaining difficult ideas.,U qiyin g'oyalarni tushuntirishda mohir.,capable | adept,unskilled
troubled,adjective,B2,xavotirli,обеспокоенный,worried or having serious problems,ˈtrʌbld,33125,feelings,He looked troubled after the meeting.,U uchrashuvdan keyin xavotirli ko'rindi.,worried | distressed,calm
appalled,adjective,C1,dahshatga tushgan,потрясенный,shocked and upset by something bad,əˈpɔːld,33126,feelings,We were appalled by the cruel treatment.,Biz shafqatsiz muomaladan dahshatga tushdik.,shocked | horrified,pleased
bemused,adjective,C1,hayron bo'lgan,озадаченный,slightly confused and surprised,biˈmjuːzd,33127,feelings,He looked bemused by the strange joke.,U g'alati hazildan hayron bo'lib ko'rindi.,puzzled | confused,understanding
chuffed,adjective,C1,juda mamnun,очень довольный,very pleased or proud,ˈtʃʌft,33128,feelings,She was chuffed with her exam result.,U imtihon natijasidan juda mamnun edi.,pleased | proud,disappointed
crestfallen,adjective,C1,ruhi tushgan,подавленный,disappointed and sad,ˈkrestfɔːlən,33129,feelings,He looked crestfallen after the rejection.,Rad javobidan keyin uning ruhi tushdi.,disappointed | dejected,cheerful
disheartened,adjective,C1,ko'ngli qolgan,обескураженный,losing confidence or hope,dɪsˈhɑːtnd,33130,feelings,The players felt disheartened after the loss.,O'yinchilar mag'lubiyatdan keyin ko'ngli qoldi.,discouraged | demoralized,encouraged
elated,adjective,C1,nihoyatda xursand,ликующий,extremely happy and excited,ɪˈleɪtɪd,33131,feelings,She was elated when she got the offer.,U taklifni olganida nihoyatda xursand bo'ldi.,overjoyed | thrilled,depressed
flustered,adjective,C1,shoshib gangigan,взволнованный,confused and nervous because of pressure,ˈflʌstəd,33132,feelings,I became flustered during the interview.,Men suhbat davomida shoshib gangib qoldim.,nervous | rattled,calm
