headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
hong,noun,C2,savdo kompaniyasi,торговая компания,"A company or establishment involved in foreign trade, particularly in a historical Chinese context.",hɒŋ,18002,work,The hong managed all the goods arriving from international trading ships.,Savdo kompaniyasi xalqaro kemalardan kelayotgan barcha mollarni boshqardi.,firm business,
christopher,noun,A1,Kristofer,Кристофер,A common male given name of Greek origin.,ˈkrɪstəfər,18004,people-family,Christopher is a very kind and helpful student in our class today.,Kristofer sinfimizdagi juda mehribon va yordamga tayyor o'quvchi.,,
wayne,noun,A1,Ueyn,Уэйн,A male given name that is also sometimes used as a surname.,weɪn,18010,people-family,Wayne has been working as a professional photographer for many years now.,Ueyn ko'p yillardan beri professional fotosuratchi bo'lib ishlaydi.,,
rhode,noun,B2,Rod,Род,A geographic name often associated with the state of Rhode Island.,rəʊd,18014,places,Rhode Island is the smallest state in the United States of America.,Rod-Aylend Amerika Qo'shma Shtatlaridagi eng kichik shtat hisoblanadi.,,
russell,noun,C1,familiya,Рассел,A common English surname often used for people or geographical landmarks.,ˈrʌsəl,18018,people-family,Bertrand Russell was a famous philosopher and mathematician from the United Kingdom.,Bertran Rassel Buyuk Britaniyalik taniqli faylasuf va matematik bo'lgan.,,
clinton,noun,C1,familiya,Клинтон,A surname frequently associated with political figures in the United States.,ˈklɪntən,18020,people-family,Bill Clinton served as the forty-second president of the United States.,Bill Klinton Amerika Qo'shma Shtatlarining qirq ikkinchi prezidenti bo'lib ishlagan.,,
alberta,noun,B2,viloyat hudud,Альберта,A large province located in the western part of the country of Canada.,ælˈbɜːrtə,18022,places,Alberta is well known for its vast oil reserves and beautiful mountains.,Alberta o'zining ulkan neft zaxiralari va go'zal tog'lari bilan mashhur.,,
cincinnati,noun,B2,shahar,Цинциннати,A major city located in the state of Ohio in the United States.,ˌsɪnsɪˈnæti,18024,places,The team played a very difficult baseball game in Cincinnati last night.,Kecha jamoa Sinsinnatida juda qiyin beysbol o'yinini o'tkazdi.,,
lisa,noun,A1,ism,Лиза,A female given name that is popular in many different English-speaking countries.,ˈliːsə,18026,people-family,Lisa is going to study at the university in London next year.,Liza kelgusi yili Londondagi universitetda o'qimoqchi.,,
vbulletin,noun,C2,dasturiy ta'minot,vBulletin,A popular software application used to create and manage internet discussion forums.,viːˈbʊlətɪn,18028,work,Many large websites used vBulletin to organize their community forum discussions online.,Ko'pgina yirik veb-saytlar o'z forum muhokamalarini tashkil qilish uchun vBulletin dan foydalangan.,forum software,
