headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
russian,adjective,A1,rus,русский,Relating to or coming from the country of Russia or its language.,ˈrʌʃən,12000,places,Many people in the capital city of Tashkent speak the Russian language.,Toshkent shahrida ko'pchilik rus tilida bemalol gaplasha oladi.,,
xbox,noun,A2,xbox,иксбокс,A popular home video game console created by the Microsoft company.,ˈeksˌbɒks,12002,home,My brother loves to play new video games on his Xbox console.,Akam o'zining Xbox konsolida yangi video o'yinlar o'ynashni juda yaxshi ko'radi.,console,
pennsylvania,noun,A2,pensilvaniya,Пенсильвания,A state located in the northeastern region of the United States.,ˌpensɪlˈveɪniə,12006,places,My cousin lives in a small town in the state of Pennsylvania.,Jiyanim Pensilvaniya shtatidagi kichik bir shaharchada yashaydi.,,
jackson,noun,A2,jekson,Джексон,A common surname or the name of several cities in the United States.,ˈdʒæksən,12008,places,We visited the city of Jackson during our summer road trip.,Yozgi sayohatimiz davomida Jekson shahrida bo'ldik.,,
russia,noun,A1,rossiya,Россия,A very large country stretching across eastern Europe and northern Asia.,ˈrʌʃə,12010,places,Russia is the largest country in the world by land area.,Rossiya yer maydoni bo'yicha dunyodagi eng katta davlat hisoblanadi.,,
indiana,noun,A2,indiana,Индиана,A state located in the Midwestern region of the United States.,ˌɪndiˈænə,12012,places,Many large corn fields can be found throughout the state of Indiana.,Indiana shtatining hamma joyida katta makkajo'xori dalalarini ko'rish mumkin.,,
wisconsin,noun,A2,viskonsin,Висконсин,A state in the upper Midwestern United States known for its dairy production.,wɪˈskɒnsɪn,12014,places,Wisconsin is very famous for producing high quality cheese and milk.,Viskonsin yuqori sifatli pishloq va sut mahsulotlari bilan juda mashhur.,,
atlanta,noun,A2,atlanta,Атланта,The capital city of the state of Georgia in the United States.,ətˈlæntə,12016,places,Atlanta is a major transportation hub for the southern United States.,Atlanta AQSH janubidagi yirik transport markazi hisoblanadi.,,
dakota,noun,A2,dakota,Дакота,The name used for two neighboring states in the northern United States.,dəˈkoʊtə,12018,places,North Dakota and South Dakota are beautiful states in the Midwest.,Shimoliy Dakota va Janubiy Dakota o'rta g'arbdagi go'zal shtatlardir.,,
dave,verb,C2,yengillatmoq bosmoq,облегчать,To make pain or a difficult feeling feel less severe or intense.,deɪv,12020,body-health,He took some medicine to dave the sharp pain in his head.,U boshidagi qattiq og'riqni bosish uchun dori ichdi.,alleviate soothe,aggravate
massachusetts,noun,B1,Massachusets shtati,Массачусетс,A state located in the northeastern region of the United States of America.,ˌmæsəˈtʃuːsɪts,12022,places,They moved to Massachusetts to study at a famous university there.,Ular u yerdagi mashhur universitetda o'qish uchun Massachusetsga ko'chib o'tishdi.,,
iowa,noun,B1,Ayova shtati,Айова,A state in the Midwestern United States known for its large farming industry.,ˈaɪəwə,12024,places,My brother has been living in Iowa for over five years.,Akam besh yildan ortiq vaqtdan beri Ayovada yashaydi.,,
maryland,noun,B1,Merilend shtati,Мэриленд,A state on the East Coast of the United States near the capital.,ˈmerələnd,12026,places,We took a train from Maryland to visit the national capital.,Biz poytaxtga tashrif buyurish uchun Merilenddan poyezdda yo'lga chiqdik.,,
dallas,noun,B1,Dallas shahri,Даллас,"A large and well-known city located in the state of Texas, USA.",ˈdæləs,12028,places,Dallas is a major center for business and culture in Texas.,Dallas Texasdagi biznes va madaniyatning yirik markazlaridan biri hisoblanadi.,,
tripadvisor,noun,A2,Tripadvisor sayti,Трипэдвайзор,"A website where people write reviews about hotels, restaurants, and tourist attractions.",ˈtrɪp.ædˌvaɪ.zər,12030,travel,I always check TripAdvisor before booking a hotel for my vacation.,Ta'til uchun mehmonxona bron qilishdan oldin har doim TripAdvisor'ni tekshiraman.,,
alaska,noun,B2,muzqaymoqli desert,запеченное мороженое,A dessert made of ice cream placed on sponge cake and covered with stiff egg whites.,əˈlæskə,12032,food-drink,We ordered a delicious baked alaska for dessert at the restaurant yesterday.,Kechagi restoranda shirinlikka juda mazali muzqaymoqli desert buyurtma qildik.,dessert,
kelly,noun,B2,och yashil rang,ярко-зеленый цвет,A very bright and vivid shade of green color.,ˈkeli,12034,describing,She wore a beautiful kelly green dress to the summer wedding party.,U yozgi to'y bazmiga juda chiroyli och yashil rangli ko'ylak kiyib bordi.,green,
joseph,noun,C2,ayollar choponi,женский дорожный плащ,A long outer garment with a cape worn by women for riding horses in earlier times.,ˈd͡ʒəʊsəf,12036,clothes,The museum displayed a vintage joseph worn by noblewomen during the eighteenth century.,Muzeyda o'n sakkizinchi asrda zodagon ayollar kiyadigan qadimiy chopon namoyish etildi.,coat,
philadelphia,noun,B2,Filadelfiya,Филадельфия,A large and historic city located in the northeastern part of the United States.,ˌfɪləˈdɛlfiə,12038,places,I am planning to visit the historic sites in Philadelphia this summer.,Yozda Filadelfiyadagi tarixiy joylarni ko'rib chiqishni rejalashtiryapman.,,
tennessee,noun,B2,Tennesi,Теннесси,A state situated in the southeastern region of the United States of America.,ˌtɛnəˈsiː,12040,places,My cousin moved to Tennessee to study music in the big city.,Jiyanim musiqani o'rganish uchun Tennesi shtatiga ko'chib o'tdi.,,
wales,noun,B1,Uels,Уэльс,"A country that is part of the United Kingdom, located on the island of Britain.",weɪlz,12042,places,The mountain landscapes in Wales are absolutely breathtaking and very green.,Uelsdagi tog'li manzaralar juda go'zal va yam-yashil.,,
davis,noun,B2,Devis,Дэвис,A common English surname or the name of several cities in the United States.,ˈdeɪvɪs,12044,places,Davis is a popular town known for its large university campus area.,Devis o'zining katta universitet shaharchasi bilan mashhur bo'lgan taniqli shahar.,,
oklahoma,noun,B2,Oklaxoma,Оклахома,A state in the central part of the United States with large plains.,ˌoʊkləˈhoʊmə,12046,places,The farmers in Oklahoma are known for growing large amounts of wheat.,Oklaxomalik fermerlar ko'p miqdorda bug'doy yetishtirishlari bilan tanilgan.,,
trackback,noun,C1,boglanish izi,трекбэк,A notification sent between websites to show that one page has linked to another.,ˈtrækˌbæk,12048,work,The blog system automatically updated the post with a new trackback link.,Blog tizimi xabarni yangi havola bilan avtomatik tarzda yangilab turdi.,pingback,
javascript,noun,B2,dasturlash tili,язык программирования,A common programming language used to make websites interactive and dynamic.,ˈdʒɑːvəˌskrɪpt,12050,work,You need to learn JavaScript to become a professional web developer today.,Professional veb-dasturchi bo'lish uchun JavaScript tilini o'rganishingiz kerak.,JS,
depending,adjective,B1,bog'liq qarashli,зависящий,Determined by or influenced by something else that happens or exists.,dɪˈpɛn.dɪŋ,12062,ielts,Our plans for the weekend are depending on the weather forecast.,Dam olish kuniga mo'ljallagan rejalarimiz ob-havo ma'lumotiga bog'liq.,contingent conditional,independent
