headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
assertive,adjective,B2,dadil,напористый,Confident and direct in stating opinions or claiming what one wants.,əˈsɜːrtɪv,5100,describing,She was assertive in the meeting and clearly stated what she needed.,U yig'ilishda dadil edi va nimaga muhtojligini aniq bildirdi.,confident forthright,passive
assertively,adverb,C1,dadil tarzda,напористо,In a confident and direct way when stating opinions or needs.,əˈsɜːrtɪvli,7600,describing,He spoke assertively without being rude to his colleagues.,U hamkasblariga qo'pol bo'lmasdan dadil tarzda gapirdi.,confidently firmly,passively
assertiveness,noun,C1,dadillik,напористость,The quality of confidently expressing opinions and needs.,əˈsɜːrtɪvnəs,8000,describing,The training course focused on building assertiveness in the workplace.,Trening kursi ish joyida dadillikni shakllantirishga qaratilgan edi.,confidence,passivity
confidently,adverb,B1,ishonch bilan,уверенно,In a way that shows belief in one's own abilities.,ˈkɒnfɪdəntli,3700,describing,She walked into the interview confidently and answered every question well.,U ishonch bilan intervyuga kirdi va har bir savolga yaxshi javob berdi.,assuredly boldly,nervously
engaging,adjective,B2,qiziqarli,увлекательный,Charming and attracting attention or interest.,ɪnˈɡeɪdʒɪŋ,4900,describing,The lecturer had an engaging style that kept students interested.,Ma'ruzachi talabalarni qiziqtiradigan uslubga ega edi.,interesting captivating,boring
engagingly,adverb,C1,qiziqarli tarzda,увлекательно,In a way that attracts and holds someone's attention or interest.,ɪnˈɡeɪdʒɪŋli,7900,describing,The author wrote engagingly about a subject most people find dull.,Muallif ko'pchilik zerikarli deb hisoblaydigan mavzu haqida qiziqarli tarzda yozdi.,interestingly,boringly
disengage,verb,B2,aloqani uzish,отключаться,"To stop being involved with something, or to release a mechanism.",ˌdɪsɪnˈɡeɪdʒ,6600,actions,He decided to disengage from the argument before it got worse.,U vaziyat yomonlashishidan oldin bahsdan chetlashishga qaror qildi.,withdraw detach,engage
disengaged,adjective,C1,aloqasi uzilgan,отстранённый,Not involved or interested in something happening around one.,ˌdɪsɪnˈɡeɪdʒd,7800,feelings,Many students seemed disengaged during the online classes.,Ko'plab talabalar onlayn darslarda beparvo ko'rinishardi.,detached uninvolved,engaged
motivating,adjective,B2,ilhomlantiruvchi,мотивирующий,Giving someone a strong reason or incentive to do something.,ˈmoʊtɪveɪtɪŋ,5000,feelings,The coach gave a motivating speech before the final match.,Murabbiy final o'yinidan oldin ilhomlantiruvchi nutq so'zladi.,inspiring encouraging,discouraging
uneducated,adjective,B1,savodsiz,необразованный,Not having received much formal schooling or training.,ʌnˈedʒukeɪtɪd,3500,school,His uneducated guess turned out to be surprisingly accurate.,Uning bilimsiz taxmini kutilmaganda aniq bo'lib chiqdi.,unschooled illiterate,educated
informatively,adverb,C1,ma'lumot beruvchi tarzda,информативно,In a way that provides useful facts or knowledge.,ɪnˈfɔːrmətɪvli,8000,describing,The guide spoke informatively about the history of the museum.,Gid muzey tarixi haqida ma'lumot beruvchi tarzda gapirdi.,instructively,confusingly
uninformed,adjective,B2,xabardor bo'lmagan,неосведомлённый,Lacking knowledge or information about a particular subject.,ˌʌnɪnˈfɔːrmd,5600,describing,It's easy to make uninformed decisions without checking the facts.,Faktlarni tekshirmasdan xabardor bo'lmagan qarorlar qabul qilish oson.,ignorant unaware,informed
misinform,verb,C1,noto'g'ri ma'lumot berish,дезинформировать,"To give someone false or inaccurate information, often unintentionally.",ˌmɪsɪnˈfɔːrm,7700,actions,The article misinformed readers about the actual cost of the project.,Maqola o'quvchilarga loyihaning haqiqiy narxi haqida noto'g'ri ma'lumot berdi.,mislead deceive,inform
formative,adjective,C1,shakllantiruvchi,формирующий,Having a strong and lasting influence on someone's development or character.,ˈfɔːrmətɪv,7300,school,Her formative years were spent in a small village in the mountains.,Uning shaxsini shakllantirgan yillari tog'lardagi kichik qishloqda o'tgan.,developmental,insignificant
