headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
biodegradable,adjective,C1,tabiiy parchalanadigan,биоразлагаемый,Able to decay naturally without harming nature.,ˌbaɪəʊdɪˈɡreɪdəbl,3900,ielts,Shops now use biodegradable bags.,Do'konlar endi tabiiy parchalanadigan xaltalardan foydalanadi.,,
compost,noun,C1,kompost chirindi,компост,Decayed plant material used to improve soil.,ˈkɒmpɒst,3902,ielts,Garden waste becomes useful compost.,Bog' chiqindilari foydali kompostga aylanadi.,,
deforestation,noun,C1,o'rmonlarning kesilishi,вырубка лесов,The cutting down of forests.,ˌdiːˌfɒrɪˈsteɪʃn,3904,ielts,Deforestation destroys animal habitats.,O'rmonlarning kesilishi hayvonlar yashash muhitini yo'q qiladi.,,reforestation
desertification,noun,C1,cho'llanish,опустынивание,The process by which land becomes desert.,dɪˌzɜːtɪfɪˈkeɪʃn,3906,ielts,Overgrazing speeds up desertification.,Haddan ortiq o'tlatish cho'llanishni tezlashtiradi.,,
disposable,adjective,B2,bir martalik,одноразовый,Made to be thrown away after use.,dɪˈspəʊzəbl,3908,ielts,Disposable cups create mountains of waste.,Bir martalik stakanlar chiqindi tog'larini hosil qiladi.,,reusable
dwindle,verb,C1,kamayib bormoq,истощаться,To become gradually smaller.,ˈdwɪndl,3910,ielts,Fish stocks have dwindled alarmingly.,Baliq zaxiralari xavotirli darajada kamaydi.,shrink,grow
endangered,adjective,B2,yo'qolib ketish xavfidagi,находящийся под угрозой,At risk of dying out.,ɪnˈdeɪndʒəd,3912,ielts,Snow leopards are an endangered species.,Qor qoploni yo'qolib ketish xavfidagi tur.,threatened,
extinction,noun,B2,yo'qolib ketish,вымирание,The dying out of a species.,ɪkˈstɪŋkʃn,3914,ielts,Many species face extinction.,Ko'plab turlar yo'qolib ketish arafasida.,,survival
geothermal,adjective,C1,geotermal,геотермальный,Relating to heat from inside the Earth.,ˌdʒiːəʊˈθɜːml,3916,ielts,Iceland uses geothermal energy widely.,Islandiya geotermal energiyadan keng foydalanadi.,,
greenhouse,noun,B2,issiqxona,теплица,A glass building for growing plants; (gas) trapping heat.,ˈɡriːnhaʊs,3918,ielts,Greenhouse gases warm the planet.,Issiqxona gazlari sayyorani isitadi.,,
landfill,noun,C1,chiqindixona,свалка,A place where waste is buried.,ˈlændfɪl,3920,ielts,Most plastic ends up in landfill.,Plastikning ko'p qismi chiqindixonaga tushadi.,dump,
degradation,noun,C1,yomonlashuv tanazzul,деградация,The process of becoming worse.,ˌdeɡrəˈdeɪʃn,3922,ielts,Soil degradation threatens farming.,Tuproq yomonlashuvi dehqonchilikka tahdid soladi.,,
logging,noun,C1,daraxt kesish,лесозаготовка,The business of cutting down trees.,ˈlɒɡɪŋ,3924,ielts,Illegal logging continues in the region.,Hududda noqonuniy daraxt kesish davom etmoqda.,,
ozone,noun,C1,ozon,озон,A gas layer that protects Earth from the sun.,ˈəʊzəʊn,3926,ielts,The ozone layer is slowly recovering.,Ozon qatlami asta-sekin tiklanmoqda.,,
pollutant,noun,C1,ifloslantiruvchi modda,загрязнитель,A substance that pollutes.,pəˈluːtənt,3928,ielts,Factories release pollutants into rivers.,Zavodlar daryolarga ifloslantiruvchi moddalar chiqaradi.,,
preservation,noun,B2,saqlash muhofaza,сохранение,The act of keeping something safe from harm.,ˌprezəˈveɪʃn,3930,ielts,The fund supports wildlife preservation.,Jamg'arma yovvoyi tabiatni muhofaza qilishni qo'llab-quvvatlaydi.,conservation,
rainforest,noun,B2,tropik o'rmon,тропический лес,A thick tropical forest with heavy rain.,ˈreɪnfɒrɪst,3932,ielts,Rainforests produce much of our oxygen.,Tropik o'rmonlar kislorodimizning katta qismini ishlab chiqaradi.,,
reforestation,noun,C1,o'rmonlarni qayta tiklash,лесовосстановление,Planting trees where forests were cut.,ˌriːˌfɒrɪˈsteɪʃn,3934,ielts,The reforestation project planted a million trees.,O'rmonlarni tiklash loyihasi million tup daraxt ekdi.,,deforestation
salinity,noun,C1,sho'rlanish,солёность,The amount of salt in water or soil.,səˈlɪnəti,3936,ielts,Rising salinity damages the fields.,Ortib borayotgan sho'rlanish dalalarga zarar yetkazadi.,,
sediment,noun,C1,cho'kindi,осадок,Material that settles at the bottom of water.,ˈsedɪmənt,3938,ielts,The dam traps river sediment.,To'g'on daryo cho'kindilarini ushlab qoladi.,,
smog,noun,C1,tutunli tuman smog,смог,Polluted air like fog over cities.,smɒɡ,3940,ielts,Winter smog covers the city.,Qishki smog shaharni qoplaydi.,,
turbine,noun,C1,turbina,турбина,A machine that spins to produce power.,ˈtɜːbaɪn,3942,ielts,Wind turbines line the hills.,Shamol turbinalari tepaliklar bo'ylab qad rostlagan.,,
uninhabitable,adjective,C1,yashab bo'lmaydigan,непригодный для жизни,Impossible to live in.,ˌʌnɪnˈhæbɪtəbl,3944,ielts,Heat made the region almost uninhabitable.,Issiqlik hududni deyarli yashab bo'lmaydigan holga keltirdi.,,habitable
