headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
analytically,adverb,C1,analitik tarzda,аналитически,In a way that involves careful and logical examination of something.,ˌænəˈlɪtɪkli,7400,describing,She approached the problem analytically rather than emotionally.,"U muammoga hissiy emas, balki analitik tarzda yondashdi.",logically systematically,emotionally
globally,adverb,B2,global miqyosda,глобально,In relation to the whole world; worldwide.,ˈɡloʊbəli,4200,describing,The company operates globally in over fifty countries.,Kompaniya ellikdan ortiq mamlakatda global miqyosda faoliyat yuritadi.,worldwide internationally,locally
creatively,adverb,B2,ijodiy tarzda,творчески,In a way that shows imagination and original ideas.,kriˈeɪtɪvli,5100,describing,The students were encouraged to think creatively about the assignment.,Talabalar topshiriq haqida ijodiy tarzda fikrlashga undaldi.,imaginatively inventively,unimaginatively
innovatively,adverb,C1,innovatsion tarzda,инновационно,In a new and original way that introduces fresh ideas.,ˈɪnəveɪtɪvli,7600,describing,The startup solved the problem innovatively using unfamiliar technology.,Startap muammoni notanish texnologiya yordamida innovatsion tarzda hal qildi.,inventively originally,conventionally
innovator,noun,C1,innovator,новатор,"A person who introduces new ideas, methods, or products.",ˈɪnəveɪtər,7300,work,She is considered one of the leading innovators in renewable energy.,U qayta tiklanadigan energiya sohasidagi yetakchi innovatorlardan biri hisoblanadi.,pioneer inventor,imitator
collaboratively,adverb,C1,hamkorlikda,совместно,In a way that involves working together with others toward a shared goal.,kəˈlæbəreɪtɪvli,7500,describing,The two departments worked collaboratively to finish the project on time.,Ikki bo'lim loyihani vaqtida tugatish uchun hamkorlikda ishladi.,jointly cooperatively,independently
collaborator,noun,B2,hamkor,соавтор,A person who works with someone else to produce or create something.,kəˈlæbəreɪtər,6900,work,He found a collaborator to help him write the research paper.,U ilmiy maqola yozishda yordam beradigan hamkor topdi.,partner co-worker,rival
persuasive,adjective,B2,ishontiruvchi,убедительный,Able to make people believe or do something through effective argument.,pərˈsweɪsɪv,4800,describing,She gave a persuasive speech that changed everyone's opinion.,U hammaning fikrini o'zgartirgan ishontiruvchi nutq so'zladi.,convincing compelling,unconvincing
persuasively,adverb,C1,ishontiruvchi tarzda,убедительно,In a manner that convinces people to believe or do something.,pərˈsweɪsɪvli,7800,describing,He argued persuasively for more funding in education.,U ta'lim uchun ko'proq mablag' ajratish haqida ishontiruvchi tarzda bahs yuritdi.,convincingly compellingly,unconvincingly
persuasiveness,noun,C1,ishontirish qobiliyati,убедительность,The quality of being able to convince people effectively.,pərˈsweɪsɪvnəs,8200,describing,The lawyer's persuasiveness won over the jury.,Advokatning ishontirish qobiliyati hakamlar hay'atini o'ziga jalb qildi.,eloquence conviction,ineptness
inaccurate,adjective,B1,noto'g'ri,неточный,Not correct or exact; containing errors.,ɪnˈækjərət,3600,describing,The weather forecast was inaccurate; it rained instead of being sunny.,Ob-havo bashorati noto'g'ri edi; quyoshli bo'lish o'rniga yomg'ir yog'di.,incorrect wrong,accurate
inaccuracy,noun,B2,noaniqlik,неточность,A mistake or error; the state of being incorrect.,ɪnˈækjərəsi,5700,describing,The report contained several inaccuracies that needed correcting.,Hisobotda tuzatishni talab qiladigan bir nechta noaniqliklar bor edi.,error mistake,accuracy
irrelevance,noun,C1,ahamiyatsizlik,неактуальность,The quality of not being connected to or important for the matter at hand.,ɪˈreləvəns,7900,describing,The judge dismissed the comment as an irrelevance to the case.,Sudya izohni ishga aloqasi yo'q deb rad etdi.,irrelevancy insignificance,relevance
insignificance,noun,C1,ahamiyatsizlik,незначительность,The quality of being too small or unimportant to be worth considering.,ˌɪnsɪɡˈnɪfɪkəns,8100,describing,He felt a sense of insignificance next to the towering mountains.,Baland tog'lar oldida u o'zini ahamiyatsizdek his qildi.,unimportance triviality,significance
inefficient,adjective,B2,samarasiz,неэффективный,Not achieving results with the minimum waste of time or resources.,ˌɪnɪˈfɪʃənt,5300,describing,The old machine was slow and inefficient compared to the new model.,Eski mashina yangi modelga nisbatan sekin va samarasiz edi.,wasteful ineffective,efficient
