headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
york,verb,C2,qusmoq qayt qilmoq,блевать,To be sick and empty the contents of your stomach through your mouth.,jɔː(ɹ)k,14000,body-health,He had too much to drink and ended up yorking in the street.,U ko'p ichib qo'ydi va ko'chada qusib qo'ydi.,vomit puke,
texas,noun,C2,kemaning yuqori qavati,верхняя палубная надстройка,The highest structure or cabin deck located on a steamboat.,ˈtɛk.səs,14002,travel,The passengers gathered on the texas to enjoy the view of the river.,Yo'lovchilar daryo manzarasidan zavqlanish uchun kemaning yuqori qavatiga yig'ilishdi.,,
washington,noun,C2,bayroq talashish o'yini,игра в захват флага,A team sport where players try to capture an object from the other side.,ˈwɒʃɪŋtən,14004,actions,The children were playing washington in the park all afternoon.,Bolalar tushdan keyin parkda bayroq talashish o'yinini o'ynashdi.,agawan-base,
sony,noun,C1,o'g'il bolaga murojaat,сынок,A friendly or informal way to address a young boy or man.,ˈsɒni,14006,people-family,"Listen here, sony, you need to work harder if you want success.","Quloq sol, o'g'lim, agar muvaffaqiyatga erishmoqchi bo'lsang, qattiqroq ishlashing kerak.",sonny boy,
japan,verb,C2,laklamoq jilolamoq,лакировать,"To cover an object with a hard, shiny black varnish or lacquer.",d͡ʒəˈpæn,14008,actions,The artisan decided to japan the wooden box for a better finish.,Usta chiroyliroq ko'rinishi uchun yog'och qutini laklashga qaror qildi.,varnish lacquer,
netherlands,noun,B2,orqa dumi,задница,A slang term used to refer to a person's buttocks.,ˈnɛðərləndz,14020,body-health,He fell down and landed right on his nether regions today.,U yiqilib tushdi va qoq dumba qismiga urilib oldi.,butt bottom,
austin,noun,B1,Ostin,Остин,The capital city of the U.S. state of Texas.,ˈɔːstɪn,14022,places,I am planning to visit the city of Austin next summer.,Kelasi yozda Ostin shahriga borishni rejalashtiryapman.,,
missouri,noun,B1,Missuri,Миссури,A state located in the Midwestern region of the United States.,mɪˈzʊəri,14026,places,My cousin lives in the state of Missouri near the river.,Jiyanim Missuri shtatida daryo yaqinida yashaydi.,,
andrew,noun,A1,Endryu,Эндрю,A common masculine given name of Greek origin.,ˈændruː,14028,people-family,Andrew went to the park to meet his friends today.,Endryu bugun do'stlari bilan uchrashish uchun parkka bordi.,,
brian,verb,C2,cho'g'lamoq isitmoq,поддерживать огонь,To maintain heat or light near the opening of an oven or fire.,ˈbraɪən,14030,actions,You need to brian the oven carefully to bake the bread.,Nonni pishirish uchun o'choq olovini yaxshilab ushlab turishing kerak.,stoke heat,
daniel,noun,B2,orqa dumg'aza,зад,A slang term often used to refer to a person's buttocks.,ˈdænjəl,14032,body-health,He landed on his daniel after slipping on the icy floor.,"Muzlab qolgan polda sirg'anib ketib, dumg'aza qismiga yiqildi.",rear bottom,
maine,noun,B1,Men shtati,штат Мэн,A state located in the northeastern region of the United States.,meɪn,14036,places,They decided to spend their summer vacation in the state of Maine.,Ular yozgi taʼtilni Men shtatida oʻtkazishga qaror qilishdi.,,
sydney,noun,A2,Sidney shahri,Сидней,"The largest and most well-known city in Australia, located on the coast.",ˈsɪdni,14040,places,Many tourists visit the famous opera house when they travel to Sydney.,Sidneyga borgan koʻplab sayyohlar mashhur opera teatrini tomosha qilishadi.,,
louisiana,noun,B1,Luiziana shtati,Луизиана,A state in the southern United States known for its unique culture and food.,luˌiːziˈænə,14042,places,New Orleans is the most famous city found in the state of Louisiana.,Nyu-Orlean Luiziana shtatidagi eng mashhur shahar hisoblanadi.,,
wilson,noun,A2,Vilson familiyasi,Уилсон,A common English surname or a given name used for people.,ˈwɪlsən,14044,people-family,Our new neighbor is a very friendly man named Mr. Wilson.,Yangi qoʻshnimiz janob Vilson ismli juda xushmuomala odam.,,
stephen,noun,A2,Stiven ismi,Стивен,A common masculine given name of Greek origin.,ˈstiːvən,14046,people-family,I have a close friend named Stephen who lives in London.,Londonda yashaydigan Stiven ismli yaqin doʻstim bor.,,
elizabeth,noun,A2,Elizabet ismi,Элизабет,A common feminine given name often associated with royalty.,ɪˈlɪzəbəθ,14048,people-family,Queen Elizabeth was a very influential leader for many decades.,Qirolicha Elizabet koʻp oʻn yillar davomida juda nufuzli rahbar boʻlgan.,,
jeff,noun,C1,arqon,веревка,"A thick, strong cord or line used in circus performances.",dʒef,14050,actions,The acrobat carefully climbed the jeff to reach the high platform.,Akrobat baland platformaga chiqish uchun arqon boʻylab ehtiyotkorlik bilan koʻtarildi.,rope cord,
sweden,noun,A1,shvetsiya,Швеция,A country located in Northern Europe.,ˈswiːdən,14052,places,My cousin went to Sweden for a holiday last winter season.,Amakim o'tgan qish ta'tilida Shvetsiyaga dam olgani bordi.,,
