headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
french,verb,B2,til bilan o'pishmoq,целоваться с языком,To kiss someone by inserting your tongue into their mouth.,fɹɛnt͡ʃ,9002,feelings,It was the first time they decided to french after the party.,Bu bazmdan keyin ular birinchi marta til bilan o'pishishga qaror qilishdi.,make-out kiss,
german,adjective,A1,olmon nemis,немецкий,Relating to Germany or its language and people.,ˈd͡ʒɜː.mən,9018,describing,I am currently learning to speak German at my local evening school.,Men hozir mahalliy kechki maktabda nemis tilini o'rganyapman.,deutsch,
iraq,noun,A2,iroq,Ирак,A country located in the Middle East region of Western Asia.,ɪˈrɑːk,9020,places,My friend traveled to Iraq last summer to visit historical city sites.,Do'stim o'tgan yozda tarixiy shahar joylarini ko'rish uchun Iroqqa sayohat qildi.,,
japanese,adjective,A1,yapon,японский,Relating to the country of Japan or its culture and language.,ˌdʒæp.əˈniːz,9022,describing,We really enjoy eating Japanese food like sushi at the new restaurant.,Biz yangi restoranda sushi kabi yapon taomlarini iste'mol qilishdan juda zavqlanamiz.,,
spanish,adjective,A1,ispan,испанский,"Relating to Spain, its people, or the Spanish language.",ˈspæn.ɪʃ,9024,describing,She listens to Spanish music every day to improve her listening skills.,U tinglash qobiliyatini yaxshilash uchun har kuni ispan musiqasini eshitadi.,castilian,
columbia,noun,B2,kolumbiya,Колумбия,A country in South America or a famous university in New York City.,kəˈlʌm.bi.ə,9026,places,Many students dream of studying at Columbia University in the United States.,Ko'pgina talabalar Qo'shma Shtatlardagi Kolumbiya universitetida o'qishni orzu qilishadi.,,
vegas,noun,C1,vodiylar o'tloqlar,долины луга,"A plural form of vega, meaning a large, open, and fertile river valley.",ˈveɪɡəz,9030,nature,The fertile vegas provide enough water for the local farmers to grow crops.,Serhosil vodiylar mahalliy fermerlarga ekin yetishtirish uchun yetarli suv bilan ta'minlaydi.,valleys meadows,
replies,verb,A2,javob beradi,отвечает,To say or write something as an answer to a question.,ɹɪˈplaɪz,9036,actions,She always replies to my messages very quickly after I send them.,U xabarlarimni yuborganimdan keyin ularga doim juda tez javob beradi.,answers responds,asks
jones,verb,C1,juda xohlash intiq bo'lish,сильно желать,To have a very strong desire or craving for a particular thing.,d͡ʒoʊnz,9044,feelings,I have been jonesing for a hot cup of coffee all morning.,Men butun ertalab bir finjon issiq qahvani juda xohlab o'tirdim.,crave desire,
began,verb,A1,boshladi boshlanishi,начал,To have started doing or experiencing something in the past.,bɪˈɡæn,9046,actions,The meeting began exactly at nine o'clock this morning for everyone.,Majlis bugun ertalab soat to'qqizda barcha uchun aniq boshlandi.,started,ended
ipod,noun,B1,ipod,айпод,A portable device used for storing and playing digital music files.,ˈaɪpɒd,9052,home,She listens to her favorite songs on her old iPod every day.,U har kuni o'zining eski iPod'ida sevimli qo'shiqlarini tinglaydi.,player,
motorola,noun,A2,Motorola,Моторола,A brand name for electronic communication devices like mobile phones and radios.,ˌməʊtəˈrəʊlə,9054,work,I bought a new Motorola smartphone for my father yesterday afternoon.,Men kecha tushdan keyin otam uchun yangi Motorola smartfonini sotib oldim.,,
oregon,noun,B1,Oregon,Орегон,A large state located in the northwestern part of the United States.,ˈɒrɪɡən,9056,places,My cousin moved to Oregon last summer to study at the university.,Jiyanim o'tgan yozda universitetda o'qish uchun Oregon shtatiga ko'chib o'tdi.,,
