headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
airport,noun,A2,aeroport,аэропорт,A place where planes take off and land.,ˈeəpɔːt,410,travel,We arrived at the airport early.,Biz aeroportga erta yetib keldik.,,
arrive,verb,A2,yetib kelmoq,прибывать,To reach a place at the end of a journey.,əˈraɪv,412,travel,The train will arrive at nine.,Poyezd soat to'qqizda keladi.,,leave
ticket,noun,A2,chipta,билет,A small paper that lets you travel or enter.,ˈtɪkɪt,415,travel,I bought two tickets for the bus.,Men avtobusga ikkita chipta oldim.,,
luggage,noun,A2,yuk,багаж,The bags you take when you travel.,ˈlʌɡɪdʒ,420,travel,Her luggage was very heavy.,Uning yuki juda og'ir edi.,baggage,
passport,noun,A2,pasport,паспорт,An official document for foreign travel.,ˈpɑːspɔːt,425,travel,Show your passport at the border.,Chegarada pasportingizni ko'rsating.,,
journey,noun,A2,sayohat,поездка,The act of travelling from one place to another.,ˈdʒɜːni,430,travel,The journey took six hours.,Sayohat olti soat davom etdi.,trip,
abroad,adverb,A2,chet elda,за границей,In or to a foreign country.,əˈbrɔːd,435,travel,They live abroad now.,Ular hozir chet elda yashaydi.,,home
traffic,noun,A2,tirbandlik,трафик,The cars moving on a road.,ˈtræfɪk,440,travel,There was heavy traffic this morning.,Bugun ertalab tirbandlik bor edi.,,
bridge,noun,A2,ko'prik,мост,A structure built over a river or road.,brɪdʒ,445,travel,We walked across the old bridge.,Biz eski ko'prikdan o'tdik.,,
corner,noun,A2,burchak,угол,The place where two lines or streets meet.,ˈkɔːnə,450,places,The shop is on the corner.,Do'kon burchakda joylashgan.,,
market,noun,A2,bozor,рынок,A place where people buy and sell goods.,ˈmɑːkɪt,455,places,She sells fruit at the market.,U bozorda meva sotadi.,,
library,noun,A2,kutubxona,библиотека,A place where you borrow and read books.,ˈlaɪbrəri,460,places,The library is open until eight.,Kutubxona soat sakkizgacha ochiq.,,
hospital,noun,A2,kasalxona,больница,A place where sick people are treated.,ˈhɒspɪtl,465,body-health,He works at the hospital.,U kasalxonada ishlaydi.,,
bank,noun,A2,bank,банк,A place that keeps and lends money.,bæŋk,470,places,I need to go to the bank.,Menga bankka borish kerak.,,
factory,noun,A2,zavod,завод,A building where goods are made.,ˈfæktri,475,work,The factory makes cars.,Zavod avtomobil ishlab chiqaradi.,,
meeting,noun,A2,uchrashuv,встреча,A time when people come together to talk.,ˈmiːtɪŋ,480,work,The meeting starts at ten.,Uchrashuv soat o'nda boshlanadi.,,
