headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,example_ru,synonyms,antonyms,word_family,common_mistake
bite your tongue,idiom,B2,tilini tishlamoq,прикусить язык,To stop yourself from saying something you would regret.,baɪt jɔː ˈtʌŋ,24001,idioms,I bit my tongue instead of arguing with my boss in the meeting.,Yig'ilishda boshlig'im bilan tortishish o'rniga tilimni tishladim.,"Я прикусил язык вместо того, чтобы спорить с начальником на встрече.",hold your tongue | keep quiet,speak your mind,bite / bit / bitten your tongue,The pronoun must match the subject: 'she bit her tongue'.
call the shots,idiom,B2,qaror qabul qiluvchi bo'lmoq,командовать,To be the person who makes the important decisions.,kɔːl ðə ˈʃɒts,24002,idioms,"Her father owns the company, but she calls the shots day to day.","Kompaniya otasiniki, lekin kundalik qarorlarni u qabul qiladi.","Компания принадлежит её отцу, но повседневно командует она.",be in charge | run the show,take orders,call / calling the shots,Always plural: 'the shots'.
clear the air,idiom,B2,kelishmovchilikni bartaraf etmoq,разрядить обстановку,To discuss a problem openly so bad feelings disappear.,klɪə ðiː ˈeə,24003,idioms,A short honest conversation cleared the air between the two teams.,Qisqa samimiy suhbat ikki jamoa o'rtasidagi kelishmovchilikni bartaraf etdi.,Короткий честный разговор разрядил обстановку между двумя командами.,talk things through | make peace,let it fester,clear / cleared the air,"Use 'the air', not 'air'."
come full circle,idiom,C1,aylanib yana boshiga qaytmoq,вернуться к началу,"To end up in the same situation you started in, after many changes.",kʌm fʊl ˈsɜːkl,24004,idioms,After years abroad he moved back to his village — life had come full circle.,Chet elda yillar o'tkazgach u qishlog'iga qaytdi — hayot aylanib yana boshiga qaytdi.,После лет за границей он вернулся в свою деревню — жизнь вернулась к началу.,go back to the start,move on,come / came full circle,"No article: 'full circle', not 'a full circle'."
eat humble pie,idiom,C1,xatosini tan olib uzr so'ramoq,признать свою неправоту,"To admit you were wrong and apologise, which feels humiliating.",iːt ˈhʌmbl paɪ,24005,idioms,"When the figures proved him wrong, he had to eat humble pie.","Raqamlar uning noto'g'ri ekanini isbotlagach, u xatosini tan olishga majbur bo'ldi.","Когда цифры доказали его неправоту, ему пришлось признать свою ошибку.",admit defeat | back down,stand your ground,eat / ate humble pie,No article before 'humble pie'.
get wind of,idiom,C1,shipshitib qolmoq,прослышать о,"To hear about something secret or private, usually by accident.",ɡet ˈwɪnd ɒv,24006,idioms,The press got wind of the merger before it was announced.,Matbuot qo'shilish haqida e'lon qilinishidan oldin shipshitib qoldi.,Пресса прослышала о слиянии до объявления.,hear about | find out,be kept in the dark,get / got wind of,Followed by a noun: 'got wind of the plan'.
give someone the benefit of the doubt,idiom,B2,gumon qilmay ishonmoq,поверить на слово,To choose to believe someone even though you are not sure they are right.,ˈbenɪfɪt əv ðə ˈdaʊt,24007,idioms,"He was late once, so I gave him the benefit of the doubt.","U bir marta kechikdi, shuning uchun men uni gumon qilmay ishondim.","Он опоздал один раз, и я поверил ему на слово.",trust | assume good faith,assume the worst,give / gave someone the benefit of the doubt,Keep 'the' before both 'benefit' and 'doubt'.
have a change of heart,idiom,B2,fikridan qaytmoq,передумать,To change your opinion or decision about something.,ə tʃeɪndʒ əv ˈhɑːt,24008,idioms,She had planned to resign but had a change of heart after the offer.,"U ishdan ketmoqchi edi, ammo taklifdan keyin fikridan qaytdi.","Она собиралась уволиться, но передумала после предложения.",think again | reconsider,stand firm,have / had a change of heart,'Heart' stays singular.
hit the ground running,idiom,C1,ishga darhol jadal kirishmoq,сразу активно взяться за дело,To start a new job or task quickly and energetically.,hɪt ðə ɡraʊnd ˈrʌnɪŋ,24009,idioms,She knew the industry well and hit the ground running in her first week.,U sohani yaxshi bilardi va birinchi haftadanoq ishga jadal kirishdi.,Она хорошо знала отрасль и сразу активно взялась за дело в первую неделю.,start strong | get going,take time to settle in,hit / hitting the ground running,"Keep the -ing form: 'running', not 'run'."
jump through hoops,idiom,C1,ortiqcha talablarga bo'ysunmoq,проходить через бюрократию,To do many difficult or annoying things in order to get something.,dʒʌmp θruː ˈhuːps,24010,idioms,We had to jump through hoops to get the visa approved.,Vizani tasdiqlatish uchun biz ko'plab ortiqcha talablarga bo'ysunishga majbur bo'ldik.,"Нам пришлось пройти через бюрократию, чтобы одобрили визу.",go through red tape,sail through,jump / jumping through hoops,Always plural: 'hoops'.
keep your options open,idiom,B2,tanlov imkoniyatini ochiq qoldirmoq,оставлять выбор открытым,To avoid committing so you can still choose later.,kiːp jɔː ˈɒpʃənz ˈəʊpən,24011,idioms,He applied to three universities to keep his options open.,U tanlov imkoniyatini ochiq qoldirish uchun uchta universitetga hujjat topshirdi.,"Он подал документы в три университета, чтобы оставить выбор открытым.",stay flexible | hedge,commit early,keep / kept your options open,Always plural: 'options'.
let bygones be bygones,idiom,C1,o'tganni o'tdi demoq,"кто старое помянет, тому глаз вон",To forgive an old quarrel and stop being angry about it.,let ˈbaɪɡɒnz biː ˈbaɪɡɒnz,24012,idioms,They agreed to let bygones be bygones and work together again.,"Ular o'tganni o'tdi deb, yana birga ishlashga kelishishdi.",Они решили забыть старое и снова работать вместе.,forgive and forget | move on,hold a grudge,let bygones be bygones,The word 'bygones' appears twice — that is the fixed form.
make a mountain out of a molehill,idiom,B2,ignadan tuya yasamoq,делать из мухи слона,To treat a small problem as if it were much bigger.,meɪk ə ˈmaʊntɪn aʊt əv ə ˈməʊlhɪl,24013,idioms,It was one typo — don't make a mountain out of a molehill.,Bu bitta xato edi — ignadan tuya yasamang.,Это была одна опечатка — не делайте из мухи слона.,overreact | blow out of proportion,play it down,make / making a mountain out of a molehill,"Keep both articles: 'a mountain', 'a molehill'."
