headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
interfere,verb,B2,aralashmoq xalaqit bermoq,вмешиваться,To get involved where you are not wanted.,ˌɪntəˈfɪə,3200,ielts,Noise interferes with concentration.,Shovqin diqqatga xalaqit beradi.,,
invade,verb,B2,bostirib kirmoq,вторгаться,To enter by force.,ɪnˈveɪd,3202,ielts,Weeds invaded the abandoned field.,Begona o'tlar tashlandiq dalani egallab oldi.,,retreat
irrigate,verb,C1,sug'ormoq,орошать,To supply land with water for crops.,ˈɪrɪɡeɪt,3204,ielts,Canals irrigate the cotton fields.,Kanallar paxta dalalarini sug'oradi.,water,
legacy,noun,C1,meros iz,наследие,Something left behind by a person or era.,ˈleɡəsi,3206,ielts,The games left a legacy of new stadiums.,O'yinlar yangi stadionlar merosini qoldirdi.,heritage,
legitimate,adjective,C1,qonuniy asosli,законный,Legal; fair and reasonable.,lɪˈdʒɪtɪmət,3208,ielts,Parents have legitimate concerns about screens.,Ota-onalarning ekranlar haqidagi xavotirlari asosli.,valid,illegal
liable,adjective,C1,javobgar moyil,ответственный,Legally responsible; likely to do something.,ˈlaɪəbl,3210,ielts,Drivers are liable for any damage.,Haydovchilar har qanday zarar uchun javobgar.,responsible,
liberate,verb,C1,ozod qilmoq,освобождать,To set free.,ˈlɪbəreɪt,3212,ielts,Technology liberates us from routine tasks.,Texnologiya bizni bir xil ishlardan ozod qiladi.,free,enslave
livestock,noun,B2,chorva,скот,Farm animals such as cows and sheep.,ˈlaɪvstɒk,3214,ielts,The family keeps livestock in the village.,Oila qishloqda chorva boqadi.,cattle,
manifest,verb,C1,namoyon bo'lmoq,проявляться,To show clearly.,ˈmænɪfest,3216,ielts,Stress can manifest as headaches.,Stress bosh og'rig'i sifatida namoyon bo'lishi mumkin.,display,
marine,adjective,B2,dengiz,морской,Relating to the sea.,məˈriːn,3218,ielts,Plastic harms marine life.,Plastik dengiz hayotiga zarar yetkazadi.,,
maximize,verb,C1,eng yuqoriga yetkazmoq,максимизировать,To increase as much as possible.,ˈmæksɪmaɪz,3220,ielts,Plan your day to maximize study time.,O'qish vaqtini oshirish uchun kuningizni rejalashtiring.,,minimize
metropolitan,adjective,C1,yirik shahar,столичный,Relating to a large city.,ˌmetrəˈpɒlɪtən,3222,ielts,The metropolitan area keeps expanding.,Yirik shahar hududi kengayishda davom etmoqda.,urban,rural
mineral,noun,B2,mineral ma'dan,минерал,A natural substance from the ground.,ˈmɪnərəl,3224,ielts,The mountains are rich in minerals.,Tog'lar ma'danlarga boy.,,
monopoly,noun,C1,monopoliya yakka hukmronlik,монополия,Complete control of a market by one company.,məˈnɒpəli,3226,ielts,The law prevents monopolies.,Qonun monopoliyalarning oldini oladi.,,competition
municipal,adjective,C1,shahar kommunal,муниципальный,Relating to a town's government.,mjuːˈnɪsɪpl,3228,ielts,Municipal services include water and roads.,Kommunal xizmatlarga suv va yo'llar kiradi.,,
navigate,verb,C1,yo'l topmoq boshqarmoq,ориентироваться,To find the way; to move through something complex.,ˈnævɪɡeɪt,3230,ielts,Sailors navigated by the stars.,Dengizchilar yulduzlarga qarab yo'l topishgan.,,
nominate,verb,C1,nomzod qilib ko'rsatmoq,номинировать,To officially suggest someone for a role or prize.,ˈnɒmɪneɪt,3232,ielts,She was nominated for the award.,U mukofotga nomzod qilib ko'rsatildi.,propose,
nourish,verb,C1,oziqlantirmoq,питать,To feed and help grow.,ˈnʌrɪʃ,3234,ielts,Healthy food nourishes the brain.,Sog'lom ovqat miyani oziqlantiradi.,feed,starve
nurture,verb,C1,tarbiyalamoq parvarishlamoq,взращивать,To care for and encourage growth.,ˈnɜːtʃə,3236,ielts,Good schools nurture talent.,Yaxshi maktablar iste'dodni tarbiyalaydi.,foster,neglect
obsolete,adjective,C1,eskirgan,устаревший,No longer used or useful.,ˌɒbsəˈliːt,3238,ielts,Fax machines are almost obsolete.,Faks apparatlari deyarli eskirgan.,outdated,modern
offspring,noun,C1,nasl avlod,потомство,The young of a person or animal.,ˈɒfsprɪŋ,3240,ielts,Birds protect their offspring fiercely.,Qushlar naslini qattiq himoya qiladi.,young,
orbit,noun,B2,orbita,орбита,The path of an object around a planet or star.,ˈɔːbɪt,3242,ielts,The satellite entered orbit successfully.,Sun'iy yo'ldosh orbitaga muvaffaqiyatli chiqdi.,,
organism,noun,B2,organizm tirik mavjudot,организм,A living thing.,ˈɔːɡənɪzəm,3244,ielts,Tiny organisms live in the soil.,Tuproqda mayda organizmlar yashaydi.,,
paradox,noun,C1,paradoks ziddiyat,парадокс,A statement that seems impossible but may be true.,ˈpærədɒks,3246,ielts,It's a paradox that busy people find more time.,Band odamlar ko'proq vaqt topishi — paradoks.,,
patent,noun,C1,patent,патент,The legal right to an invention.,ˈpætnt,3248,ielts,The inventor filed a patent.,Ixtirochi patent uchun ariza berdi.,,
pedestrian,noun,B2,piyoda,пешеход,A person walking in the street.,pəˈdestriən,3250,ielts,The street was closed to cars for pedestrians.,Ko'cha piyodalar uchun mashinalarga yopildi.,walker,
pension,noun,B2,pensiya nafaqa,пенсия,Money paid to retired people.,ˈpenʃn,3252,ielts,He lives on a small pension.,U kichik pensiya bilan kun kechiradi.,,
perish,verb,C1,halok bo'lmoq nobud bo'lmoq,погибать,To die or be destroyed.,ˈperɪʃ,3254,ielts,Many crops perished in the frost.,Ko'p ekinlar sovuqda nobud bo'ldi.,die,survive
pesticide,noun,C1,pestitsid zaharli kimyoviy modda,пестицид,A chemical that kills insects on crops.,ˈpestɪsaɪd,3256,ielts,Pesticides can harm bees.,Pestitsidlar asalarilarga zarar yetkazishi mumkin.,,
