headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
deter,verb,C1,to'xtatib qolmoq,удерживать,To discourage someone from doing something.,dɪˈtɜː,3000,ielts,Cameras deter shoplifters.,Kameralar o'g'rilarni to'xtatib qoladi.,discourage,encourage
devastate,verb,C1,vayron qilmoq,опустошать,To destroy completely.,ˈdevəsteɪt,3002,ielts,The earthquake devastated the region.,Zilzila hududni vayron qildi.,destroy,
devise,verb,C1,o'ylab topmoq,разрабатывать,To invent a plan or system.,dɪˈvaɪz,3004,ielts,They devised a new teaching method.,Ular yangi o'qitish usulini o'ylab topishdi.,design,
diagnose,verb,C1,tashxis qo'ymoq,диагностировать,To identify an illness or problem.,ˈdaɪəɡnəʊz,3006,ielts,The disease is hard to diagnose early.,Kasallikka erta tashxis qo'yish qiyin.,identify,
dialect,noun,C1,sheva lahja,диалект,A form of language spoken in one area.,ˈdaɪəlekt,3008,ielts,The region has its own dialect.,Hududning o'z shevasi bor.,,
dictate,verb,C1,buyurmoq aytib turmoq,диктовать,To give orders; to say words to be written.,dɪkˈteɪt,3010,ielts,Demand dictates the price.,Talab narxni belgilaydi.,,
dilemma,noun,C1,ikkilanish dilemma,дилемма,A difficult choice between two options.,dɪˈlemə,3012,ielts,She faced a dilemma: career or family.,U ikkilanishga duch keldi: martaba yoki oila.,,
diligent,adjective,C1,tirishqoq,прилежный,Working hard and carefully.,ˈdɪlɪdʒənt,3014,ielts,Diligent students review notes daily.,Tirishqoq talabalar yozuvlarini har kuni takrorlaydi.,hardworking,lazy
disperse,verb,C1,tarqalmoq,рассеиваться,To spread in different directions.,dɪˈspɜːs,3016,ielts,The crowd dispersed after the concert.,Konsertdan keyin olomon tarqaldi.,scatter,gather
displace,verb,C1,ko'chirib yubormoq,вытеснять,To force out of the usual place.,dɪsˈpleɪs,3018,ielts,The flood displaced thousands of families.,Toshqin minglab oilalarni ko'chirib yubordi.,,
dispose,verb,C1,yo'q qilmoq tashlamoq,избавляться,To get rid of something.,dɪˈspəʊz,3020,ielts,Dispose of batteries safely.,Batareyalarni xavfsiz yo'q qiling.,discard,keep
disrupt,verb,C1,izdan chiqarmoq,нарушать,To interrupt the normal course of something.,dɪsˈrʌpt,3022,ielts,The storm disrupted flights.,Bo'ron reyslarni izdan chiqardi.,interrupt,
dissolve,verb,B2,erimoq eritmoq,растворяться,To mix into a liquid and disappear.,dɪˈzɒlv,3024,ielts,Salt dissolves in water.,Tuz suvda eriydi.,,
divert,verb,C1,yo'naltirmoq chalg'itmoq,отводить,To change the direction of something.,daɪˈvɜːt,3026,ielts,Funds were diverted to education.,Mablag'lar ta'limga yo'naltirildi.,redirect,
