headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
paul,noun,C2,eski italyan kumush tangasi,старинная итальянская монета,An old type of silver coin that was used in Italy a long time ago.,pɔːl,19002,ielts,The antique dealer found a rare silver paul in the old collection.,Antikvariat sotuvchisi eski kolleksiyadan nodir kumush tanga topib oldi.,coin,
george,noun,A1,Jorj,Джордж,A common male name used in English-speaking countries.,dʒɔːdʒ,19008,people-family,I went to school with a boy named George for ten years.,Men Jorj ismli bola bilan o'n yil birga maktabda o'qiganman.,,
virginia,noun,A2,Virjiniya,Виргиния,The name of a state in the United States of America.,vəˈdʒɪnjə,19010,places,Many historical events took place in the state of Virginia.,Virjiniya shtatida juda ko'p tarixiy voqealar yuz bergan.,,
thomas,noun,A1,Tomas,Томас,A common male name used in English-speaking countries.,ˈtɒməs,19012,people-family,Thomas is my brother who works as an engineer in London.,Tomas Londonda muhandis bo'lib ishlaydigan akam.,,
charles,noun,A1,Charlz,Чарльз,A common male given name used in English-speaking countries.,tʃɑːlz,19016,people-family,I met a friendly man named Charles at the coffee shop today.,Bugun qahvaxonada Charlz ismli xushmuomala odam bilan tanishdim.,,
illinois,noun,A2,Illinoys,Иллинойс,A state located in the Midwestern region of the United States.,ɪlɪˈnɔɪ,19018,places,My cousin moved to Chicago in the state of Illinois last year.,Amakimning o'g'li o'tgan yili Illinoys shtatidagi Chikagoga ko'chib o'tdi.,,
zealand,noun,A2,Zelandiya,Зеландия,Part of the name of the country New Zealand in the South Pacific.,ˈziːlənd,19020,places,New Zealand is famous for its beautiful mountains and green hills.,Yangi Zelandiya o'zining go'zal tog'lari va yashil adirlari bilan mashhur.,,
scott,noun,A1,Skott,Скотт,A common male given name or surname of Scottish origin.,skɒt,19022,people-family,Scott is a very hardworking student who studies at the library daily.,Skott har kuni kutubxonada dars qiladigan juda tirishqoq talaba.,,
eric,noun,C2,tovon to'lovi,вира,An old payment made by a criminal to compensate the victim's family for harm.,ˈɛɹɪk,19026,ielts,"In ancient laws, the murderer had to pay an eric to the family.",Qadimgi qonunlarga ko'ra qotil jabrlanuvchi oilasiga tovon to'lashi kerak bo'lgan.,compensation atonement,
greece,noun,A1,gretsiya,Греция,"A country located in southern Europe, famous for its ancient history and islands.",ɡriːs,19030,places,We are planning to spend our summer vacation in Greece this year.,Bu yil yozgi ta'tilimizni Gretsiyada o‘tkazishni rejalashtiryapmiz.,,
swiss,adjective,A2,shveytsariya,швейцарский,Coming from or relating to the country of Switzerland.,swɪs,19032,places,He bought a very expensive Swiss watch while visiting Geneva last week.,O‘tgan hafta Jenevaga borganida u juda qimmat Shveytsariya soatini sotib oldi.,,
sarah,noun,A1,sara,Сара,A common female given name used in many Western countries.,ˈsɛərə,19034,people-family,Sarah is my best friend from university who lives in London now.,"Sara — universitetdagi eng yaqin dugonam, u hozir Londonda yashaydi.",,
clark,noun,B1,klark,Кларк,A surname or a given name often used for men.,klɑːk,19036,people-family,Mr. Clark is the manager who is responsible for our department today.,Janob Klark bugun bizning bo‘lim uchun javobgar bo‘lgan menejer.,,
simon,noun,A1,saymon,Саймон,A common male given name of Hebrew origin.,ˈsaɪmən,19040,people-family,Simon decided to start his own business after working for ten years.,Saymon o‘n yil ishlagandan so‘ng o‘z biznesini boshlashga qaror qildi.,,
cleveland,noun,B1,klivlend,Кливленд,A major city located in the state of Ohio in the United States.,ˈkliːvlənd,19042,places,He moved to Cleveland to find a better job in engineering industry.,U muhandislik sohasida yaxshiroq ish topish uchun Klivlendga ko‘chib o‘tdi.,,
matthew,noun,A1,Matyo,Матвей,A common male given name of Hebrew origin.,ˈmæθjuː,19044,people-family,My cousin Matthew is visiting us from London for the summer holiday.,Amakivachcham Matyo yozgi ta'til uchun Londondan biznikiga mehmon bo'lib kelyapti.,,
anthony,noun,A1,Entoni,Энтони,A common male given name.,ˈænθəni,19046,people-family,Anthony works as a manager at the large computer company in town.,Entoni shahardagi yirik kompyuter kompaniyasida menejer bo'lib ishlaydi.,,
melbourne,noun,A2,Melburn,Мельбурн,"The second largest city in Australia, located in the state of Victoria.",ˈmɛlbərn,19048,places,Many international students choose to study at the universities in Melbourne.,Ko'plab xalqaro talabalar Melburndagi universitetlarda o'qishni tanlashadi.,,
douglas,noun,A2,Duglas,Дуглас,A common male given name or surname of Scottish origin.,ˈdʌɡləs,19052,people-family,Douglas is a very experienced teacher who loves to help his students.,Duglas o'z o'quvchilariga yordam berishni yaxshi ko'radigan tajribali o'qituvchi.,,
jerry,noun,C2,tunak,ночной горшок,A container used as a toilet in a bedroom at night.,ˈdʒɛɹi,19060,home,"In the old days, people kept a metal jerry under their bed.",Eski zamonlarda odamlar karavotlari tagida tunak saqlashgan.,chamberpot,
kate,noun,C2,tuxumtomoq,вьюрок,A small bird that lives in cold northern forests during winter months.,keɪt,19064,animals,The kate migrates to warmer areas when the winter becomes very harsh.,Qish qattiq kelganda tuxumtomoq qushi iliqroq hududlarga ko'chib o'tadi.,brambling,
marie,noun,A1,Mari,Мари,A traditional female given name of French origin.,məˈriː,19070,people-family,Marie decided to study medicine at the local university next year.,Mari kelgusi yili mahalliy universitetda tibbiyot yo'nalishida o'qishga qaror qildi.,,
deutsch,adjective,B1,nemis,немецкий,"Relating to Germany, its people, or their official language.",dɔɪtʃ,19072,describing,He speaks fluent Deutsch and wants to work in Berlin soon.,U nemis tilida ravon gapiradi va yaqinda Berlinda ishlamoqchi.,german,
francis,noun,A1,Frensis,Фрэнсис,A common masculine given name found in many Western cultures.,ˈfrænsɪs,19076,people-family,Francis is planning to travel across Europe during his summer break.,Frensis yozgi ta'til paytida Yevropa bo'ylab sayohat qilishni rejalashtirmoqda.,,
swedish,adjective,A2,shved,шведский,"Relating to Sweden, its people, or its language.",ˈswɪdɪʃ,19080,travel,I am planning to learn how to speak the Swedish language properly.,Men shved tilini to'liq o'rganishni rejalashtiryapman.,,
glasgow,noun,B1,Glazgo,Глазго,A large and important city located in the west of Scotland.,ˈɡlɑːzɡəʊ,19084,places,We visited many historical museums during our short trip to Glasgow.,Glazgoga qilgan qisqa safarimiz davomida ko'plab tarixiy muzeylarni tomosha qildik.,,
vincent,noun,C2,qurbon aldangan odam,жертва обмана,A person who is easily tricked or cheated by others in a game.,ˈvɪnsənt,19090,ielts,He realized he was the vincent when he lost all his money.,"U barcha pulini yutqazgach, qurbon bo'lganini anglab yetdi.",dupe victim,
athens,noun,A2,afina,Афины,"The capital city of Greece, known for its ancient history and famous buildings.",ˈæθɪnz,19096,places,Many tourists travel to Athens every year to see the ancient ruins.,Ko'plab sayyohlar qadimiy xarobalarni ko'rish uchun har yili Afinaga borishadi.,,
lanka,noun,B2,orol mamlakat,Ланка,A common poetic or short name for the island nation of Sri Lanka.,ˈlæŋkə,19100,places,We are planning a relaxing holiday trip to beautiful tropical Lanka next winter.,Biz kelasi qishda go'zal tropik Lankaga dam olish safarini rejalashtiryapmiz.,,
berkeley,noun,B2,berkli,Беркли,"A world-famous public research university located in California, United States.",ˈbɜːrkli,19104,school,She received a scholarship to study engineering at UC Berkeley this autumn.,U shu kuzda Berkli universitetida muhandislik sohasida o'qish uchun grant yutib oldi.,,
lycos,noun,C1,internet kompaniyasi,компания Lycos,An internet brand that provides web services including search and email for global users.,ˈlaɪkɒs,19108,work,Lycos was one of the first popular search engines in the internet history.,Lycos internet tarixidagi ilk mashhur qidiruv tizimlaridan biri edi.,,
zdnet,noun,C1,texnologik yangiliklar sayti,сайт ZDNet,A business and technology news website providing professional analysis on modern digital trends.,ˈziː diː net,19110,work,I read the latest updates on software security using the ZDNet news portal.,Men dasturiy ta'minot xavfsizligi bo'yicha eng so'nggi yangiliklarni ZDNet portalidan o'qiyman.,,
juan,noun,C2,qism bob,цзюань,A section or chapter of a traditional Chinese book or manuscript.,dʒwɑːn,19112,ielts,The scholar spent all morning reading the first juan of the manuscript.,Olim ertalabdan beri qo'lyozmaning birinchi qismini o'qib o'tirdi.,chapter section,
phillips,noun,B2,xochsimon burama,крестовая отвертка,A type of screwdriver with a cross-shaped tip used for special screws.,ˈfɪlɪps,19116,home,You need a phillips screwdriver to open the back of this device.,Bu qurilmaning orqasini ochish uchun sizga xochsimon burama kerak bo'ladi.,cross-head,
kodak,noun,B1,fotoapparat,фотоаппарат,A well-known brand representing a camera used to take photographs.,ˈkoʊdæk,19118,actions,She used her old Kodak camera to take photos of the park.,U bog'ni suratga olish uchun eski fotoapparatidan foydalandi.,camera,
florence,noun,B2,Florentsiya,Флоренция,A historic and beautiful city in Italy famous for art and architecture.,ˈflɒrəns,19120,places,We are planning to visit the museums in Florence this summer.,Biz shu yoz Florentsiyadagi muzeylarni tomosha qilishni rejalashtiryapmiz.,,
salem,noun,B2,salom,приветствие,A greeting used to express friendship or welcome when meeting someone.,ˈseɪləm,19122,basics,He gave a friendly salem to his neighbors as they walked by.,U qo'shnilari yonidan o'tayotganda ularga samimiy salom berdi.,greeting,farewell
ruth,noun,C2,rahmdillik shafqat,сострадание,A feeling of deep pity or sorrow for the distress of others.,ɹuːθ,19140,ielts,He showed no ruth for the suffering of the defeated enemy army.,U mag'lub bo'lgan dushman qo'shinining azob-uqubatlariga hech qanday rahm-shafqat qilmadi.,pity compassion,cruelty
bolivia,noun,B1,boliviya,боливия,A country located in the central part of the South American continent.,bəˈlɪviə,19148,places,Many people visit Bolivia to see the beautiful mountain landscapes there.,Ko'plab sayyohlar Boliviya tog'larining go'zal manzaralarini ko'rish uchun u yerga borishadi.,,
kuwait,noun,B1,kuvayt,кувейт,A small country in the Middle East with significant oil resources.,kuˈweɪt,19150,places,Kuwait is known for its modern architecture and very hot weather.,Kuvayt o'zining zamonaviy me'morchiligi va juda issiq iqlimi bilan tanilgan.,,
emily,noun,A1,emili,эмили,A common female given name used in many English-speaking countries.,ˈɛmɪli,19152,people-family,My friend Emily is coming to visit us this coming weekend.,Dugonam Emili yaqin dam olish kunlari biznikiga mehmonga kelyapti.,,
