headword,pos,example_en,example_uz,example_ru
dwell on,phrasal verb,The report dwells on the risks but ignores the benefits.,"Hisobot xavflarga uzoq to'xtaladi, ammo afzalliklarni e'tiborsiz qoldiradi.","В отчёте подробно рассматриваются риски, но игнорируются преимущества."
dwell on,phrasal verb,She refused to dwell on why the plan had failed.,U reja nega muvaffaqiyatsiz bo'lgani haqida uzoq gapirishni istamadi.,"Она отказалась подробно обсуждать, почему план провалился."
follow through on,phrasal verb,The team followed through on every action point.,Jamoa har bir vazifani oxirigacha bajardi.,Команда довела до конца каждый пункт плана.
follow through on,phrasal verb,She needs to follow through on her decision to practise daily.,U har kuni mashq qilish qarorini amalga oshirishi kerak.,Ей нужно довести до конца решение заниматься каждый день.
build on,phrasal verb,We should build on the success of the pilot project.,Sinov loyihasining muvaffaqiyati asosida rivojlanishimiz kerak.,Нам следует развить успех пилотного проекта.
build on,phrasal verb,Her argument builds on recent research.,Uning dalili so'nggi tadqiqotlarga asoslanadi.,Её аргумент опирается на недавние исследования.
carry over,phrasal verb,Stress from work can carry over into family life.,Ishdagi stress oilaviy hayotga ham o'tishi mumkin.,Стресс на работе может переноситься в семейную жизнь.
carry over,phrasal verb,We carried the remaining tasks over to Monday.,Qolgan vazifalarni dushanbaga o'tkazdik.,Мы перенесли оставшиеся задачи на понедельник.
drum up,phrasal verb,They offered free trials to drum up interest.,Qiziqish uyg'otish uchun ular bepul sinov taklif qildi.,"Они предложили бесплатные пробные версии, чтобы вызвать интерес."
drum up,phrasal verb,The sales team travelled abroad to drum up new business.,Savdo jamoasi yangi mijozlar topish uchun xorijga bordi.,"Отдел продаж отправился за границу, чтобы привлечь новых клиентов."
pan out,phrasal verb,"If the trial pans out, we will expand the programme.","Sinov muvaffaqiyatli chiqsa, dasturni kengaytiramiz.","Если испытание пройдёт успешно, мы расширим программу."
pan out,phrasal verb,Nobody knew how the negotiations would pan out.,Muzokaralar qanday yakunlanishini hech kim bilmasdi.,"Никто не знал, чем закончатся переговоры."
tap into,phrasal verb,Small firms can tap into global markets online.,Kichik firmalar internet orqali global bozorlardan foydalana oladi.,Малые компании могут выйти на мировые рынки через интернет.
tap into,phrasal verb,We tapped into local knowledge before making the decision.,Qaror qilishdan oldin mahalliy bilim va tajribadan foydalandik.,Перед принятием решения мы воспользовались местными знаниями.
turn around,phrasal verb,A clear routine can turn your study habits around.,Aniq tartib o'qish odatlaringizni tubdan yaxshilashi mumkin.,Чёткий распорядок может полностью улучшить ваши учебные привычки.
turn around,phrasal verb,The team turned the match around in the final minutes.,Jamoa so'nggi daqiqalarda o'yin vaziyatini o'zgartirdi.,Команда переломила ход матча в последние минуты.
work around,phrasal verb,Flexible hours help parents work around school schedules.,Moslashuvchan ish vaqti ota-onalarga maktab jadvaliga moslashishga yordam beradi.,Гибкий график помогает родителям учитывать школьное расписание.
work around,phrasal verb,Do not ignore the issue; work around it safely.,"Muammoni e'tiborsiz qoldirmang, uni xavfsiz yo'l bilan chetlab hal qiling.",Не игнорируйте проблему — найдите безопасное обходное решение.
write off,phrasal verb,Analysts had written the product off too early.,Tahlilchilar mahsulotni juda erta umidsiz deb baholagan edi.,Аналитики слишком рано списали продукт со счетов.
write off,phrasal verb,The bank wrote off part of the debt.,Bank qarzning bir qismini hisobdan chiqardi.,Банк списал часть долга.
move the goalposts,idiom,It is hard to succeed when the goalposts keep moving.,"Talablar doim o'zgarib tursa, muvaffaqiyatga erishish qiyin.","Трудно добиться успеха, когда правила постоянно меняются."
move the goalposts,idiom,The examiner will not move the goalposts during the test.,Imtihonchi test davomida baholash mezonlarini o'zgartirmaydi.,Экзаменатор не станет менять критерии во время теста.
put your cards on the table,idiom,She put her cards on the table and asked for a promotion.,"U fikrini ochiq aytib, lavozim oshirishni so'radi.",Она открыто изложила свою позицию и попросила повышения.
