headword,pos,example_en,example_uz
airport,noun,The airport is far from the city.,Aeroport shahardan uzoq.
airport,noun,We waited two hours at the airport.,Aeroportda ikki soat kutdik.
arrive,verb,What time does the plane arrive?,Samolyot soat nechada keladi?
arrive,verb,They arrived late because of the traffic.,Ular tirbandlik sababli kech kelishdi.
ticket,noun,How much is a train ticket to Bukhara?,Buxoroga poyezd chiptasi qancha turadi?
ticket,noun,Keep your ticket until the end of the trip.,Chiptangizni safar oxirigacha saqlang.
luggage,noun,Put your luggage in the car.,Yukingizni mashinaga soling.
luggage,noun,My luggage is still at the airport.,Yukim hali ham aeroportda.
passport,noun,Don't forget your passport at home.,Pasportingizni uyda unutmang.
passport,noun,My passport expires next year.,Pasportimning muddati kelasi yil tugaydi.
journey,noun,The journey home was long and tiring.,Uyga qaytish safari uzoq va charchatuvchi bo'ldi.
journey,noun,We began our journey at dawn.,Safarimizni tongda boshladik.
abroad,adverb,She studies abroad in Germany.,U Germaniyada chet elda o'qiydi.
abroad,adverb,Have you ever travelled abroad?,Hech chet elga borganmisiz?
traffic,noun,There is a lot of traffic in the morning.,Ertalab tirbandlik ko'p.
traffic,noun,We were late because of the heavy traffic.,Qattiq tirbandlik tufayli kech qoldik.
bridge,noun,The bridge crosses a wide river.,Ko'prik keng daryodan o'tadi.
bridge,noun,Cars cannot use the old bridge.,Mashinalar eski ko'prikdan foydalana olmaydi.
corner,noun,Turn left at the next corner.,Keyingi burchakdan chapga buriling.
corner,noun,There is a small shop on the corner.,Burchakda kichik do'kon bor.
market,noun,The market is busy on Sundays.,Bozor yakshanba kunlari gavjum bo'ladi.
market,noun,Vegetables are cheaper at the market.,Bozorda sabzavotlar arzonroq.
library,noun,I return my books to the library on time.,Kitoblarimni kutubxonaga o'z vaqtida qaytaraman.
library,noun,The library is quiet and warm.,Kutubxona tinch va issiq.
hospital,noun,My sister works at a children's hospital.,Opam bolalar kasalxonasida ishlaydi.
hospital,noun,He stayed in hospital for a week.,U bir hafta kasalxonada yotdi.
bank,noun,The bank opens at nine o'clock.,Bank soat to'qqizda ochiladi.
bank,noun,I need to change money at the bank.,Bankda pul almashtirishim kerak.
factory,noun,Her father works in a car factory.,Uning otasi avtomobil zavodida ishlaydi.
