headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
god,noun,A2,xudo iloh,бог,A supreme being who is believed to have created and controls the world.,ɡɒd,20000,ielts,The most frequently used name for the Islamic god is Allah.,Islom dinida Xudoning eng ko'p ishlatiladigan nomi Allohdir.,deity,
hell,noun,B1,do'zax jahannam,ад,A place of suffering where evil people go after they die.,hɛl,20002,ielts,My new boss is making my job a living hell.,Yangi boshlig'im ishimni haqiqiy azobga aylantirib qo'ydi.,inferno,heaven
whoa,interjection,B1,to'xta hayronlik,ого,An expression used to show surprise or to tell someone to stop.,wəʊ,20012,feelings,"Whoa, are you really planning to travel across the country alone?","Oho, haqiqatan ham butun mamlakat bo'ylab yolg'iz sayohat qilmoqchimisan?",stop wait,
sighs,verb,B1,xo'rsinmoq oh tortmoq,вздыхать,"To breathe out loudly to express sadness, tiredness, or relief.",saɪz,20014,actions,She sighs deeply when she looks at all the unfinished work.,U tugallanmagan ishlarga qarab chuqur xo'rsinib qo'ydi.,gasp pant,
alright,adjective,A2,ma'qul yetarli,приемлемый,Satisfactory or in an acceptable condition.,ɔːlˈɹaɪt,20016,describing,It is alright if you finish the homework tomorrow instead of today.,Uyga vazifani bugun emas ertaga tugatsang ham mayli.,acceptable fine,bad
cannot,verb,A1,qila olmaslik bajara olmaslik,не мочь,To be unable to do something.,ˈkænɒt,20020,actions,I cannot open this heavy box because it is locked tight.,"Bu og'ir qutini ocha olmayapman, chunki u mahkam qulflangan.",can't,can
chuckles,noun,B1,qitiqlab kulish mayda kulgi,смешки,The sound of someone laughing quietly to themselves.,ˈtʃʌkəlz,20026,feelings,I could hear soft chuckles coming from the back of the room.,Xonaning orqa tomonidan mayin kulgi ovozlarini eshitdim.,giggle,
gentlemen,noun,B1,janoblar erkaklar,господа,A polite and formal way to refer to a group of men.,ˈd͡ʒɛn.təl.mɪn,20032,people-family,The gentlemen waited patiently for the meeting to start on time.,Janoblar yig'ilish o'z vaqtida boshlanishini sabr bilan kutishdi.,men,
darling,noun,B1,jonim azizim,дорогой,"A person whom you love very much, often used to address them.",ˈdɑːlɪŋ,20034,people-family,"Please pass me the salt, darling, it is right next to you.","Jonim, iltimos, tuzni uzatib yuboring, u aynan yoningizda.",babe sweetheart,
goodbye,interjection,A1,xayr xayr-xo'sh,до свидания,A word you say to someone when you are leaving or they are leaving.,ɡʊdˈbaɪ,20036,basics,"It is time for me to go now, goodbye everyone, see you.","Endi ketishim kerak, xayr hammaga, ko'rishguncha.",,hello
kidding,verb,B1,hazillashish,шутить,Saying something that is not true as a joke to be funny.,ˈkɪdɪŋ,20038,actions,I was only kidding when I said I would quit my job.,Ishdan bo'shayman deganimda shunchaki hazillashgan edim.,joking,
marry,verb,A2,uylanish turmushga chiqish,жениться,To become the husband or wife of someone in a legal ceremony.,ˈmæɹi,20040,people-family,They decided to marry after knowing each other for five years.,Ular besh yil tanish bo'lganlaridan so'ng turmush qurishga qaror qilishdi.,wed,divorce
swear,verb,B2,qasam ichmoq ont ichmoq,клясться,To make a very serious promise that you are telling the truth.,ˈswɛə(ɹ),20042,actions,The knight swore not to return until he had found the treasure.,Ritsar xazinani topmagunicha qaytmaslikka qasam ichdi.,pledge vow,
idiot,noun,B1,ahmoq nodon,идиот,A person who behaves in a very stupid way.,ˈɪdiət,20044,people-family,Only an idiot would fail to check the answers on this exam.,Faqat ahmoq odamgina imtihondagi javoblarni tekshirmaydi.,imbecile moron,
bastard,noun,C1,rasvo iflos,негодяй,"A very unpleasant, unkind, or rude person.",ˈbɑːs.təd,20046,people-family,Some bastard stole my bike while I was inside the shop.,Men do'konda bo'lganimda bir iflos velosipedimni o'g'irlab ketibdi.,asshole jerk,
screaming,adjective,B1,qichqirayotgan jarangdor,кричащий,"Making a very loud, sharp, and high noise.",ˈskɹiːmɪŋ,20048,describing,The children were screaming with excitement at the birthday party.,Tug'ilgan kun bazmida bolalar quvonchdan qichqirib yuborishdi.,shouting yelling,
mum,noun,A1,ona oyijon,мама,A child's word for their mother.,mʌm,20050,people-family,I am going to visit my mum this weekend for dinner.,Bu hafta oxiri kechki ovqatga onamnikiga boraman.,mother mommy,
mama,noun,A1,ona oyijon,мама,A way for young children to say mother.,məˈmɑː,20052,people-family,The baby reached out his small hands for his mama.,Chaqaloq kichkina qo'llarini onasiga uzatdi.,mom mommy,
lieutenant,noun,C2,leytenant yordamchi,лейтенант,A low-ranking officer in the army or a helpful assistant to someone.,lɛfˈtɛn.ənt,20054,work,The lieutenant followed the general's orders during the difficult mission.,Leytenant qiyin topshiriq vaqtida generalning buyruqlarini bajardi.,officer deputy,
bloody,adjective,B2,qonli qonga belangan,окровавленный,Covered with or full of blood.,ˈblʌ.diː,20056,body-health,He had a bloody nose after falling down in the street.,Ko'chada yiqilib tushgandan keyin burni qonab qoldi.,gory bloodied,
boyfriend,noun,A2,yigit sevgan yigit,парень,A male romantic partner whom you are dating.,ˈbɔɪˌfɹɛnd,20058,people-family,I was playing the drums and my boyfriend was playing the guitar.,"Men barabanda chalar edim, yigitim esa gitara chalardi.",,
laughter,noun,B1,kulgi,смех,The sound or act of laughing because something is funny.,ˈlɑːftə,20060,feelings,Their loud laughter betrayed their presence in the quiet room.,Ularning baland kulgisi sokin xonada borligini fosh qildi.,,
madam,noun,B1,xonim,мадам,A polite way to address a woman in a formal setting.,ˈmæd.əm,20064,people-family,Would madam like to order some tea and cake now?,"Xonim, hozir choy va tortga buyurtma berasizmi?",lady,
grunts,verb,B2,ingrash gʻingshirash,ворчать,"To make a short, low sound in the throat, often when annoyed.",ɡɹʌnts,20066,actions,He grunts when he has to lift the heavy boxes.,Og'ir qutilarni ko'tarishi kerak bo'lganda u g'ingshirab qo'yadi.,,
colonel,noun,B2,polkovnik,полковник,A high-ranking officer in the army or air force.,ˈkɜː.nl̩,20068,work,The colonel led his soldiers into the training base this morning.,Polkovnik bugun ertalab askarlarini mashg'ulot bazasiga olib kirdi.,,
owe,verb,A2,qarzdor bo'lmoq majbur bo'lmoq,быть должным,To have to pay someone back or do something for someone.,əʊ,20070,actions,I owe Kevin five dollars which he lent me last week.,Men o'tgan hafta Kevin qarzga bergan besh dollarni qaytarishim kerak.,,
aunt,noun,A1,xola ammaviy,тётя,The sister of your father or mother.,ɑːnt,20072,people-family,My aunt is coming to visit us for the weekend.,Xolam dam olish kunlari biznikiga mehmon bo'lib kelyapti.,,
gasps,verb,B1,nafasini yutmoq hansiramoq,ахать,"To take a quick, sudden breath because of surprise, shock, or pain.",ɡɑːsps,20076,body-health,She gasps in surprise when she sees the gift on the table.,"Stoldagi sovg‘ani ko‘rgach, u hayratdan nafasini yutib yubordi.",pants breathes,
crap,noun,B2,keraksiz narsa savsata,чепуха,Something that is of very bad quality or that is not true.,kɹæp,20082,describing,I do not want to watch this movie because it is complete crap.,"Bu kinoni ko‘rishni xohlamayman, chunki u butunlay savsata.",junk rubbish,
narrator,noun,B2,hikoyachi so‘zlovchi,рассказчик,"A person who tells a story, often in a book, movie, or documentary.",nəˈɹeɪtə,20084,ielts,The narrator of the documentary has a very deep and calm voice.,Hujjatli filmning hikoyachisi juda yo‘g‘on va xotirjam ovozga ega.,storyteller,
grunting,verb,B2,ingillash guldurash,хрюканье,To make a short low sound in the throat due to effort or pain.,ˈɡɹʌntɪŋ,20086,actions,The player kept grunting while he was lifting the heavy metal weights.,O‘yinchi og‘ir temir toshlarni ko‘tarayotganda tinmay ingillardi.,groaning snorting,
upstairs,adverb,A2,yuqori qavatga tepaga,наверху,To or on a higher floor of a building.,ˌʌpˈstɛɹz,20088,home,I am going upstairs to get some sleep after this long day.,Uzoq kundan keyin uxlab dam olish uchun yuqori qavatga chiqyapman.,above,downstairs
sergeant,noun,B2,serjant,сержант,A non-commissioned military officer of a rank above corporal.,ˈsɑː.d͡ʒənt,20090,work,The sergeant gave clear instructions to all the soldiers in the unit.,Serjant bo‘linmadagi barcha askarlarga aniq ko‘rsatmalar berdi.,sarge,
applause,noun,B2,qarsaklar olqish,аплодисменты,The sound of people clapping their hands to show they enjoyed something.,əˈplɔːz,20092,ielts,The audience gave a loud applause after the beautiful piano performance ended.,Chiroyli pianino ijrosi tugagach tomoshabinlar qattiq qarsak chalishdi.,acclaim approval,
stole,verb,A2,o‘g‘irladi,украл,The past tense of steal; to take something that is not yours.,stəʊl,20094,actions,Someone stole my bicycle while I was inside the shop buying food.,Men do‘konda oziq-ovqat sotib olayotganimda kimdir velosipedimni o‘g‘irlab ketdi.,robbed,
groans,verb,B2,ingrash oh tortish,стоны,"To make a long, low sound because of pain, sadness, or unhappiness.",ɡɹoʊnz,20096,body-health,The old man groans every time he tries to stand up from sitting.,Chol har safar o‘rnidan turishga uringanda ingrab qo‘yadi.,moans,
mommy,noun,A1,ona oyijon,мамочка,"A word for mother, used especially by young children.",ˈmɒm.i,20098,people-family,The little girl ran to her mommy to show her new doll.,Qizaloq yangi qo‘g‘irchog‘ini ko‘rsatish uchun oyijonisining oldiga yugurdi.,mama mom,
ridiculous,adjective,B2,kulgili bema’ni,нелепый,Very silly or unreasonable; something that makes you want to laugh.,ɹɪˈdɪk.jʊ.ləs,20100,describing,It is ridiculous to expect everyone to finish this huge task today.,Hamma odam bu ulkan ishni bugun tugatishini kutish juda bema’nilik.,silly absurd,serious
majesty,noun,C1,ulug'vorlik shavkat,величество,"The quality of being very impressive, grand, or powerful.",ˈmæd͡ʒ.əs.ti,20102,ielts,We were all amazed by the majesty of the snowy mountain peaks.,Biz qorli tog' cho'qqilarining ulug'vorligidan hayratda qoldik.,grandeur dignity,
