headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
carolina,noun,C1,Karolina,Каролина,A geographical name used for states in the United States of America.,ˌkærəˈlaɪnə,16000,places,They moved to South Carolina to enjoy the warm coastal climate.,Ular iliq qirg'oq iqlimidan bahramand bo'lish uchun Janubiy Karolinaga ko'chib o'tishdi.,,
william,noun,B1,Uilyam,Уильям,A common male given name of Germanic origin.,ˈwɪljəm,16002,people-family,William works as an engineer at a large technology company today.,Uilyam bugungi kunda yirik texnologiya kompaniyasida muhandis bo'lib ishlaydi.,,
mary,noun,A1,Meri,Мэри,A traditional female given name of Hebrew origin.,ˈmɛɚ.i,16006,people-family,Mary is my best friend and we go to school together.,Meri mening eng yaqin do'stim va biz birga maktabga boramiz.,,
francisco,noun,B1,Fransisko,Франциско,A common male given name in Spanish and Portuguese speaking countries.,frænˈsɪskoʊ,16012,people-family,Francisco enjoys playing football in the park every single Sunday morning.,Fransisko har yakshanba tongida bog'da futbol o'ynashni yoqtiradi.,,
chris,noun,A2,Kris,Крис,A short form of male or female names like Christopher or Christine.,krɪs,16014,people-family,Chris is coming over to my house to watch a movie.,Kris kino ko'rish uchun uyimga kelyapti.,,
honda,noun,C2,arqon halqasi sirtmoq,петля лассо,A small loop at the end of a rope used to form a large lasso.,ˈhɒndə,16016,animals,The cowboy adjusted the honda to make sure his rope opened easily.,Chorvador arqonini osonroq yozilishi uchun sirtmoqni to'g'rilab oldi.,loop eyelet,
pmid,noun,C2,tibbiy identifikator,идентификатор статьи в PubMed,A unique identification number assigned to each medical article in the PubMed database.,piː em aɪ diː,16022,work,You can find the full research paper using its unique PMID number.,To'liq ilmiy maqolani uning noyob PMID raqami orqali topishingiz mumkin.,id reference,
medline,noun,C2,tibbiy ma'lumotlar bazasi,медицинская база данных,A large database of references and abstracts on life sciences and biomedical topics.,ˈmedlaɪn,16024,work,The study was published in a journal indexed within the Medline database.,Tadqiqot Medline bazasida indekslangan jurnalda chop etildi.,database repository,
alex,noun,A1,aleks ismi,Алекс,A popular given name often used as a shortened form of Alexander or Alexandra.,ˈælɪks,16030,people-family,Alex works as a software engineer at a large technology company downtown.,Aleks shahar markazidagi yirik texnologiya kompaniyasida dasturchi bo'lib ishlaydi.,,
steven,noun,C2,ovoz sado,голос,"The sound made by a person's voice, especially when it is loud or distinct.",ˈstiːvən,16032,ielts,The bird filled the morning air with a sweet and clear steven.,Qush tonggi havoni shirali va tiniq ovozi bilan to'ldirdi.,voice cry,silence
kent,noun,C2,choʻpon tayogʻi,посох пастуха,A long stick used by shepherds to help them walk or guide sheep.,kɛnt,16036,nature,The old shepherd leaned heavily on his kent as he walked home.,"Chol uyga qaytayotganda choʻpon tayogʻiga tayanib, sekin yurib bordi.",staff crook,
anna,noun,C2,eski hind tangasi,анна,A historical unit of currency that was used in India and Pakistan long ago.,ˈænə,16038,ielts,My grandfather found an old anna coin in his wooden box today.,Bobom bugun yog'och qutisidan qadimiy anna tangasini topib oldi.,coin currency,
bulgaria,noun,A2,Bolgariya,Болгария,A country located in Southeast Europe on the coast of the Black Sea.,bʌlˈɡɛəriə,16042,places,Many tourists enjoy visiting the beautiful sandy beaches of Bulgaria in summer.,Ko'plab sayyohlar yozda Bolgariyaning go'zal qumli sohillarida dam olishni xush ko'rishadi.,,
tokyo,noun,A2,Tokio,Токио,"The capital city of Japan, which is a very large and busy modern city.",ˈtəʊkiəʊ,16044,places,"Tokyo is famous for its bright lights, tall buildings, and delicious food.","Tokio o'zining yorqin chiroqlari, baland binolari va mazali taomlari bilan mashhur.",,
thai,adjective,A2,taylandlik,тайский,"Relating to the country of Thailand, its people, or its language.",taɪ,16048,travel,I really love eating spicy Thai food at the local night market.,Men mahalliy tungi bozorda achchiq tayland taomlarini yeyishni juda yaxshi ko'raman.,,
cyprus,noun,A2,kipr,кипр,An island country located in the eastern Mediterranean Sea.,ˈsaɪ.prəs,16050,places,We are planning to spend our summer vacation on the island of Cyprus.,Biz yozgi ta'tilimizni Kipr orolida o'tkazishni rejalashtiryapmiz.,,
cuba,noun,A2,kuba,куба,A large island nation located in the Caribbean Sea.,ˈkjuː.bə,16052,places,Many people travel to Cuba to enjoy the beautiful beaches and old cars.,Ko'p odamlar chiroyli sohillar va eski mashinalardan zavqlanish uchun Kubaga sayohat qilishadi.,,
kenya,noun,A2,Keniya,Кения,A country in East Africa known for its wildlife and beautiful national parks.,ˈkenjə,16054,places,Many tourists visit Kenya to see wild animals in their natural habitat.,Ko'plab sayyohlar yovvoyi tabiatni ko'rish uchun Keniyaga tashrif buyurishadi.,,
memphis,noun,B1,Memfis,Мемфис,A large city located in the state of Tennessee in the United States.,ˈmemfɪs,16056,places,They are planning to travel to Memphis for their summer vacation this year.,Ular bu yil yozgi ta'til uchun Memfisga borishni rejalashtirishmoqda.,,
harvard,noun,B2,Garvard,Гарвард,"A famous and highly respected private university located in Massachusetts, USA.",ˈhɑːrvərd,16058,school,She worked very hard to get accepted into Harvard University last year.,U o'tgan yili Garvard universitetiga kirish uchun juda qattiq ishladi.,,
ottawa,noun,B1,Ottava,Оттава,The capital city of Canada.,ˈɒtəwə,16062,places,We visited the beautiful city of Ottawa during our trip to Canada.,Kanadaga safarimiz davomida biz go'zal Ottava shahriga tashrif buyurdik.,,
alice,noun,A1,Alisa,Алиса,A common feminine first name.,ˈælɪs,16068,people-family,Alice is reading a very interesting book in the garden right now.,Alisa hozir bog'da juda qiziqarli kitob o'qiyapti.,,
dealtime,noun,B2,narxlar taqqoslash xizmati,сервис сравнения цен,An online service used to compare prices of products from different stores.,ˈdiːlˌtaɪm,16070,work,I used Dealtime to find the best price for my new laptop.,Men yangi noutbukim uchun eng yaxshi narxni topish maqsadida narxlar taqqoslash xizmatidan foydalandim.,price-comparison,
mercedes,noun,A1,mersedes,мерседес,A type of expensive luxury car produced by a German company.,mɜːˈseɪdiːz,16072,travel,He drives a black Mercedes to work every single morning.,U har kuni ertalab ishga qora mersedesda boradi.,car vehicle,
romania,noun,A1,ruminiya,румыния,A country located in Southeast Europe.,rəʊˈmeɪniə,16074,places,My friend is planning to visit Romania for her summer vacation.,Dostim yozgi tatilda Ruminiyaga bormoqchi.,,
ncaa,noun,C1,AQSH talabalar sporti assotsiatsiyasi,Национальная ассоциация студенческого спорта,An organization that regulates student athletics in universities and colleges across the United States.,ˌen siː siː ˈeɪ,16076,ielts,The NCAA tournament is a major event for college basketball players in America.,NCAA turniri Amerikadagi talaba basketbolchilar uchun juda muhim musobaqa hisoblanadi.,,
