headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
april,noun,A1,aprel,апрель,The fourth month of the year in the calendar.,ˈeɪprəl,7002,time,The weather is often quite nice and mild in April.,Aprel oyida ob-havo ko'pincha juda yoqimli va mayin bo'ladi.,,
california,noun,A2,kaliforniya,Калифорния,A large and famous state located on the west coast of the United States.,ˌkælɪˈfɔːrnjə,7010,places,Many people travel to California to see the famous Hollywood movie studios.,Ko'plab odamlar mashhur Gollivud kino studiyalarini ko'rish uchun Kaliforniyaga sayohat qilishadi.,,
australia,noun,A1,avstraliya,Австралия,A large country that is also an island continent in the southern hemisphere.,ɒˈstreɪliə,7012,places,I hope to visit Australia next year to see the amazing wild animals.,Kelgusi yili ajoyib yovvoyi hayvonlarni ko'rish uchun Avstraliyaga borishni umid qilaman.,,
europe,noun,A1,yevropa,Европа,A continent with many different countries between Asia and the Atlantic Ocean.,ˈjʊərəp,7014,places,We are planning a trip to Europe to see many beautiful old cities.,Biz ko'plab go'zal qadimiy shaharlarni ko'rish uchun Yevropaga sayohat rejalashtiryapmiz.,,
tips,noun,B1,maslahatlar maslahat,советы,Helpful pieces of advice or information about how to do something well.,tɪps,7016,actions,My teacher gave me some useful tips on how to improve my English.,O'qituvchim menga ingliz tilimni yaxshilash bo'yicha foydali maslahatlar berdi.,advice hints,
india,noun,A1,hindiston,Индия,A very large country in South Asia with a long and rich history.,ˈɪndiə,7018,places,India is famous for its delicious spicy food and beautiful ancient buildings.,Hindiston o'zining mazali achchiq taomlari va go'zal qadimiy binolari bilan mashhur.,,
listings,noun,B2,ro'yxatlar e'lonlar,списки,"Lists of items, such as houses for sale or products in a shop.",ˈlɪstɪŋz,7020,work,I checked the property listings online to find a house for my family.,Oilam uchun uy topish maqsadida internetdagi ko'chmas mulk e'lonlarini ko'rib chiqdim.,records entries,
michael,noun,A1,maykl,Майкл,A common male name used in many English-speaking countries around the world.,ˈmaɪkəl,7022,people-family,My friend Michael is coming over to my house for dinner tonight.,Do'stim Maykl bugun kechki ovqatga uyimga kelyapti.,,
sunday,noun,A1,yakshanba,воскресенье,The day of the week that comes after Saturday and before Monday.,ˈsʌndeɪ,7026,time,We usually go to the park for a picnic every Sunday afternoon.,Biz odatda har yakshanba tushdan keyin sayr qilish uchun bog'ga boramiz.,,
according,adjective,B2,mos keluvchi muvofiq,соответствующий,Being in agreement with something else or matching in harmony.,əˈkɔː.dɪŋ,7028,ielts,The evidence must be according to the rules set by the committee.,Dalillar qo'mita tomonidan belgilangan qoidalarga mos bo'lishi kerak.,agreeing consistent,conflicting
british,adjective,A2,britaniyalik ingliz,британский,Relating to Great Britain or the United Kingdom.,ˈbrɪtɪʃ,7030,places,My cousin moved to London to study at a British university.,Jiyanim Britaniya universitetida o'qish uchun Londonga ko'chib o'tdi.,uk english,
lead,noun,B2,qo'rg'oshin,свинец,"A soft, heavy, grey metal that is used in construction and batteries.",lɛd,7034,nature,The old water pipes in the building were made of lead.,Binodagi eski suv quvurlari qo'rg'oshindan yasalgan edi.,metal element,
peter,verb,C1,tugamoq qisqarmoq,иссякать,To gradually become smaller or less until nothing is left.,ˈpiːtə,7036,actions,The mountain path began to peter out as we climbed higher up.,Biz balandroqqa chiqqanimiz sari tog' yo'li asta-sekin tugab qoldi.,dwindle diminish,increase
thus,adverb,B2,shunday qilib shuning uchun,таким образом,As a result or because of what has just been mentioned.,ˈðʌs,7038,ielts,"He did not study for the exam; thus, he failed the test.",U imtihonga tayyorlanmadi; shuning uchun u testdan o'ta olmadi.,therefore consequently,
prev,adjective,B1,oldingi avvalgi,предыдущий,Coming before the one you are looking at now.,priːv,7044,describing,You can go back to the prev page by clicking this button.,Ushbu tugmani bosish orqali oldingi sahifaga qaytishingiz mumkin.,previous former,next
character,noun,B1,belgi xarakter,характер,The combination of qualities or features that makes a person or thing different.,ˈkæ.ɹɪk.tə,7048,ielts,She has a very strong character and always stands up for herself.,U juda kuchli xarakterga ega va har doim o'zini himoya qiladi.,nature personality,
Ohio,noun,A2,Ogayo,Огайо,A state located in the Midwestern region of the United States.,oʊˈhaɪ.oʊ,7052,places,My cousin moved to Ohio to study engineering at the university.,Jiyanim universitetda muhandislik o'qish uchun Ogayoga ko'chib o'tdi.,,
Angeles,noun,A1,Anjelos,Анхелес,"Part of the name of a major city in California, USA.",ˈæn.dʒə.ləs,7056,places,"Many famous actors and filmmakers live in Los Angeles, California today.",Bugungi kunda ko'plab mashhur aktyor va rejissyorlar Kaliforniyaning Los-Anjeles shahrida yashaydi.,,
Australian,adjective,A2,avstraliyalik,австралийский,Relating to Australia or the people who live in that country.,ɒˈstreɪ.li.ən,7058,places,We met an Australian couple while traveling through Europe last summer.,O'tgan yili Yevropa bo'ylab sayohat qilayotganimizda avstraliyalik juftlik bilan tanishdik.,,
difference,noun,A2,farq o'zgarish,различие,The way in which two or more people or things are not the same.,ˈdɪf(ə)ɹəns,7060,describing,Can you see the big difference between these two blue shirts?,Siz bu ikki ko'k ko'ylak o'rtasidagi katta farqni ko'ra olasizmi?,distinction disparity,sameness
correct,adjective,A1,to'g'ri aniq,правильный,Accurate or having no mistakes; true.,kəˈɹɛkt,7062,basics,Please give the correct answer to the question on the board.,Iltimos doskadagi savolga to'g'ri javob bering.,right accurate,incorrect
nation,noun,B2,millat xalq,нация,"A large group of people who share the same culture, language, or history.",ˈneɪʃən,7064,ielts,The leaders of every nation met to discuss the world climate crisis.,Har bir millat rahbarlari dunyo iqlim inqirozini muhokama qilish uchun uchrashdilar.,country state,
piece,noun,A2,bo'lak parcha,кусок,A small amount or part that has been separated from a larger whole.,piːs,7066,basics,I would like to eat another small piece of this chocolate cake.,Men bu shokoladli tortdan yana bir kichik bo'lak yemoqchiman.,part portion,
sheet,noun,A2,varaq qog'oz,лист,"A thin, flat piece of paper or cloth used for writing or bedding.",ʃiːt,7068,home,Please take a clean sheet of paper and write your name down.,"Iltimos, toza qog'oz varag'ini oling va ismingizni yozing.",,
firm,noun,B2,firma korxona,фирма,A business organization or company where people work together to earn money.,fɜɹm,7070,work,She works for a large legal firm in the city center today.,U bugungi kunda shahar markazidagi yirik yuridik firmada ishlaydi.,business company,
older,adjective,A1,kattaroq,старше,Having lived for a longer time or existing for more years than another.,ˈəʊldə,7072,people-family,My older brother is currently studying at the university in the capital.,Mening akam hozirda poytaxtdagi universitetda o'qiyapti.,elder senior,younger
regulations,noun,B2,qoidalar nizom,правила,Official rules made by an authority to control how something should be done.,ˌɹɛɡjəˈleɪʃənz,7074,ielts,We must follow the safety regulations to keep everyone in the building.,Binodagi har bir kishini xavfsiz saqlash uchun xavfsizlik qoidalariga amal qilishimiz kerak.,rules laws,
species,noun,B2,tur xil,вид,A group of living things that are similar and can breed together.,ˈspiːʃiːz,7076,nature,There are many endangered species of animals living in the deep forest.,Chuqur o'rmonda yashovchi hayvonlarning ko'plab yo'qolib borayotgan turlari mavjud.,type kind,
jump,verb,A1,sakramoq,прыгать,To push yourself into the air using your legs.,d͡ʒʌmp,7078,actions,The excited dog started to jump when its owner came home.,Xursand it egasi uyga kelganida sakray boshladi.,leap bound,
module,noun,B2,modul qism,модуль,A part of a larger system or course that can work independently.,ˈmɒd͡ʒuːl,7080,ielts,This university course is divided into six different study modules.,Bu universitet kursi oltita alohida o'quv moduliga bo'lingan.,component unit,
certificate,noun,A2,sertifikat guvohnoma,сертификат,An official paper that shows you have completed a course or achieved something.,səˈtɪf.ɪ.kɪt,7082,school,She received a certificate for completing the advanced English language course.,U ilg'or ingliz tili kursini tamomlagani uchun sertifikat oldi.,diploma credential,
minister,noun,B2,vazir ruhoniy,министр,A person in charge of a government department or a church leader.,ˈmɪn.əˌstɚ,7084,ielts,The health minister announced new rules for hospitals across the country.,Sog'liqni saqlash vaziri mamlakat bo'ylab shifoxonalar uchun yangi qoidalarni e'lon qildi.,official politician,
motion,noun,B2,harakat,движение,The act of moving or the way that someone moves.,ˈməʊ.ʃən,7086,ielts,The slow motion of the clouds was very relaxing to watch.,Bulutlarning sekin harakatini tomosha qilish juda maroqli edi.,move movement,rest
fashion,noun,A2,moda uslub,мода,"A popular style of clothes, hair, or behavior at a certain time.",ˈfæʃən,7088,clothes,She loves to follow the latest fashion trends from Paris magazines.,U Parij jurnallaridagi eng so'nggi moda yo'nalishlariga ergashishni yaxshi ko'radi.,style trend,
directions,noun,A2,ko'rsatmalar yo'l-yo'riqlar,инструкции,Instructions that tell you how to get somewhere or how to do something.,dɪˈɹɛk.ʃənz,7090,travel,Please read the directions carefully before you start building the furniture.,Mebellarni yig'ishni boshlashdan oldin iltimos ko'rsatmalarni diqqat bilan o'qing.,instructions guidelines,
visitors,noun,A1,mehmonlar tashrif buyuruvchilar,посетители,People who go to see a person or a place.,ˈvɪzɪtɚz,7092,people-family,The museum welcomed many visitors during the sunny summer weekend.,Muzey quyoshli yoz dam olish kunlarida ko'plab mehmonlarni kutib oldi.,guests,hosts
documentation,noun,B2,hujjatlar hujjatlashtirish,документация,Official papers or documents that provide information or evidence about something.,ˌdɒkjʊmɛnˈteɪʃən,7094,work,Please read all the documentation before you start using the software.,Dasturdan foydalanishni boshlashdan oldin barcha hujjatlarni o'qib chiqing.,records papers,
forest,noun,A2,o'rmon,лес,A large area of land with many trees and plants growing close together.,ˈfɒɹɪst,7096,nature,We went for a long walk in the forest this morning.,Bugun ertalab biz o'rmonda uzoq sayr qildik.,woodland woods,
coverage,noun,B2,qamrov,охват,The amount or way that a news organization reports on an event.,ˈkʌv.(ə.)ɹɪdʒ,7098,ielts,The news coverage of the international event was very detailed today.,Xalqaro voqeaning yangiliklar qamrovi bugun juda batafsil edi.,reporting scope,
couple,noun,A1,juftlik er-xotin,пара,Two people or things that are together or are considered as a group.,ˈkʌp.əl,7100,people-family,A young couple sat on the bench talking quietly together.,"Yosh juftlik o'rindiqda o'tirib, sekin gaplashishardi.",pair,
chance,noun,A2,imkoniyat imkon,шанс,A possibility that something will happen.,t͡ʃæns,7102,ielts,I think there is a good chance that it will rain tomorrow.,"O'ylashimcha, ertaga yomg'ir yog'ishi uchun yaxshi imkoniyat bor.",opportunity possibility,
vision,noun,B2,ko'rish qobiliyati qarash,зрение,The ability to see or the physical sense of sight.,ˈvɪʒ.ən,7104,body-health,He has excellent vision and can see things from far away.,Uning ko'rish qobiliyati a'lo va uzoqdagi narsalarni ham ko'ra oladi.,sight eyesight,
discuss,verb,A2,muhokama qilmoq,обсуждать,To talk about a subject with others to share ideas or opinions.,dɪˈskʌs,7106,actions,The students met to discuss their new school project together.,O'quvchilar yangi maktab loyihalarini muhokama qilish uchun uchrashdilar.,debate talk,
automotive,adjective,B2,avtomobil,автомобильный,Relating to motor vehicles like cars and trucks.,ˌɔːtəˈməʊtɪv,7108,work,The automotive industry is one of the largest employers in the world.,Avtomobil sanoati dunyodagi eng yirik ish beruvchilardan biridir.,motor vehicular,
naked,adjective,B1,yalangoch yalang,голый,Not wearing any clothes.,ˈneɪkɪd,7110,body-health,He was as naked as the day he was born.,U tug'ilgan kunidek yalangoch edi.,bare uncovered,clothed
goal,noun,A2,maqsad gol,цель,Something that you hope to achieve in the future.,ɡəʊl,7112,ielts,His main goal is to become a successful YouTuber one day.,Uning asosiy maqsadi bir kun kelib muvaffaqiyatli YouTuber bo'lishdir.,aim objective,
successful,adjective,A2,muvaffaqiyatli omadli,успешный,Having achieved what you wanted or hoped for.,səkˈsɛs.fəl,7114,ielts,She is a very successful businesswoman in our local community.,U mahalliy jamiyatimizdagi juda muvaffaqiyatli ishbilarmon ayoldir.,effective fruitful,unsuccessful
sold,verb,A2,sotildi sotilgan,проданный,"Past tense and past participle of sell, meaning to exchange for money.",səʊld,7116,actions,The farmer sold all his apples at the market this morning.,Fermer bugun ertalab bozorda barcha olmalarini sotdi.,,bought
communities,noun,B1,jamiyatlar jamoalar,сообщества,Groups of people living in the same place or having shared interests.,kəˈmjuːnɪtiz,7118,ielts,Local communities are working together to improve the city park area.,Mahalliy jamoalar shahar bog'i hududini yaxshilash uchun hamkorlik qilmoqda.,societies groups,
