headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
multi,noun,C1,ko'p turli,мульти,A prefix meaning many or involving several different things at the same time.,ˈmʌl.ti,15000,ielts,The school offers a multi media approach to learning new languages.,Maktab yangi tillarni o'rganish uchun ko'p tarmoqli yondashuvni taklif qiladi.,many multiple,single
indian,adjective,A1,hind,индийский,Relating to the country of India or its people and culture.,ˈɪn.di.ən,15002,travel,We went to a great Indian restaurant for dinner last night.,Kecha kechki ovqat uchun juda yaxshi hind restorani borib keldik.,,
colorado,noun,C2,o'rtacha tamaki,сигара среднего цвета и крепости,A type of cigar that has a medium-brown color and moderate strength.,ˌkɒləˈrɑːdəʊ,15004,food-drink,The shop owner recommended a colorado for my relaxing evening smoke.,Do'kon egasi oqshomgi dam olish uchun menga colorado sigarasini tavsiya qildi.,,
johnson,noun,C1,erkaklar a'zosi,член,A informal and sometimes vulgar word used to refer to the male reproductive organ.,ˈd͡ʒɑnsən,15006,body-health,"The speaker used an informal term, referring to his johnson jokingly.",Notiq hazil tariqasida erkaklar a'zosini anglatuvchi norasmiy so'zni ishlatdi.,penis phallus,
kansas,noun,A2,Kanzas,Канзас,A large state located in the central part of the United States of America.,ˈkænzəs,15008,places,My brother lives in the state of Kansas in the United States.,Akam Amerika Qo'shma Shtatlarining Kanzas shtatida yashaydi.,,
israel,noun,A2,Isroil,Израиль,A country located in the Middle East along the Mediterranean Sea.,ˈɪzreɪəl,15010,places,We are planning a trip to Israel for our summer vacation.,Biz yozgi ta'tilimiz uchun Isroilga sayohat qilishni rejalashtiryapmiz.,,
louis,noun,C2,lui,луидор,An old French gold coin featuring the portrait of a king.,ˈluːi,15012,ielts,The museum display case held an ancient gold louis from France.,Muzeydagi vitrinada Fransiyadan keltirilgan qadimiy oltin lui turardi.,gold coin,
taylor,noun,B1,tikuvchi chevar,портной,"A person whose job is making, repairing, or adjusting men's clothing professionally.",ˈteɪlə,15014,work,I went to the local taylor to have my new suit adjusted perfectly.,Yangi kostyumimni to'g'irlatish uchun mahalliy tikuvchiga bordim.,seamster clothier,
perl,noun,C1,dasturlash tili,язык программирования perl,A high-level programming language used for text processing and web development tasks.,pɜːl,15016,ielts,The senior developer used Perl to automate the data processing tasks quickly.,Katta dasturchi ma'lumotlarni qayta ishlashni avtomatlashtirish uchun Perl tilidan foydalandi.,,
mens,noun,B1,erkaklar,мужской,Relating to or intended for use by adult males.,mɛnz,15018,clothes,This shop has a large collection of stylish mens clothing items.,Bu do'konda erkaklar uchun zamonaviy kiyimlar to'plami juda ko'p.,male gentlemen,womens
