headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
rights,noun,B1,huquqlar,права,Legal or social entitlements that allow people to do something or be treated fairly.,ɹaɪts,5000,ielts,Every citizen has the right to live freely in their own country.,Har bir fuqaro o‘z mamlakatida erkin yashash huquqiga ega.,entitlements,
user,noun,A2,foydalanuvchi ishlatuvchi,пользователь,"A person who uses a product, service, or computer system.",ˈjuːzə,5002,school,The website requires every new user to create a personal password today.,Veb-sayt har bir yangi foydalanuvchidan shaxsiy parol yaratishni talab qiladi.,consumer,
said,adjective,B2,yuqorida tilga olingan ko‘rsatilgan,вышеупомянутый,Already mentioned or named previously in a formal document or speech.,sɛd,5004,ielts,The said person was seen leaving the building late last night.,Yuqorida tilga olingan shaxs kecha kechasi binodan chiqib ketayotgani ko‘rildi.,aforesaid mentioned,
set,verb,A2,qo‘ymoq joylashtirmoq,класть,To place something in a particular position or place.,sɛt,5006,actions,Please set the plates on the dining table before we eat dinner.,"Iltimos, kechki ovqatni yeyishimizdan oldin likopchalarni ovqat stoliga qo‘ying.",put lay,pick up
general,adjective,B1,umumiy,общий,"Affecting or concerning all or most people, places, or things.",ˈd͡ʒɛn.(ə.)ɹəl,5008,describing,The general public wants to know more about the new government policy.,Umumiy jamoatchilik yangi hukumat siyosati haqida ko‘proq bilishni istaydi.,common universal,specific
university,noun,A2,universitet,университет,A place of higher education where students study for degrees.,junɪˈvɜːsəti,5010,school,She decided to study medicine at the local university next autumn.,U keyingi kuzda mahalliy universitetda tibbiyot sohasida o‘qishga qaror qildi.,college,
january,noun,A1,yanvar,январь,"The first month of the year, which comes after December.",ˈdʒænjuəri,5012,time,January is usually the coldest month of the year in this region.,Yanvar odatda bu mintaqadagi yilning eng sovuq oyi hisoblanadi.,,
mail,noun,A2,pochta xat,почта,Letters and packages that are sent to people through a public postal service.,meɪl,5014,work,Don't forget to pick up the mail on your way.,Yo'l-yo'lakay pochtangizni olib ketishni unutmang.,post,email
full,adjective,A1,to'la to'liq,полный,Containing as much as possible; having no empty space left.,fʊl,5016,describing,The jugs were full to the point of overflowing.,Ko'zalar toshib ketguncha to'la edi.,filled complete,empty
program,noun,B1,dastur reja,программа,"A planned series of future events, activities, or instructions for a computer.",ˈpɹəʊ̯ˌɡɹæm,5018,ielts,Our program for today’s exercise class includes swimming and jogging.,Bugungi mashg'ulotlar dasturimizga suzish va yugurish kiradi.,plan schedule,
life,noun,A1,hayot umr,жизнь,The period between birth and death of a living person or organism.,ˈlaɪ̯f,5020,basics,I want my kids to live a good life.,Farzandlarim yaxshi hayot kechirishini xohlayman.,existence,death
games,noun,A1,o'yinlar,игры,"Activities that you play for fun, usually according to specific rules.",ɡeɪmz,5022,basics,We played several card games during our long trip.,Uzoq safarimiz davomida biz bir nechta karta o'yinlarini o'ynadik.,sports matches,
way,noun,A1,yo'l usul,путь,"A method or style of doing something, or the route to a place.",weɪ,5024,places,You're going about it the wrong way.,Siz bu ishni noto'g'ri usulda qilyapsiz.,method manner,
management,noun,B2,boshqaruv rahbariyat,управление,The act of controlling or organizing a business or a group of people.,ˈmæn.ɪd͡ʒ.mənt,5026,work,Excellent time management helped her succeed in all facets of her life.,Vaqtni a'lo darajada boshqarish unga hayotning barcha jabhalarida muvaffaqiyatga erishishga yordam berdi.,administration leadership,
part,noun,A2,qism bo'lak,часть,"Some, but not all, of a whole object or group.",pɑːt,5028,describing,She took a small part of the cake to her room.,U tortning kichik bir qismini xonasiga olib kirdi.,portion piece,whole
great,adjective,A1,ajoyib a'lo,замечательный,"Very good, excellent, or wonderful.",ˈɡɹeɪt,5030,describing,We had a great time at the park yesterday afternoon.,Kecha tushdan keyin bog'da ajoyib vaqt o'tkazdik.,excellent wonderful,bad
united,adjective,B2,birlashgan yagona,объединенный,Joined together as a single group or entity to achieve a goal.,juːˈnaɪtɪd,5032,ielts,A united effort is needed to solve the environmental problem.,Ekologik muammoni hal qilish uchun birlashgan harakat kerak.,combined integrated,disunited
real,adjective,A2,haqiqiy chin,настоящий,"Actually existing; not fake, artificial, or imaginary.",ɹiːl,5034,describing,"She carries a bag made of real leather, not plastic.",U plastmassadan emas balki haqiqiy charmdan tikilgan sumka ko'tarib yuradi.,genuine authentic,fake
item,noun,B1,buyum narsa,предмет,"A single, separate object or thing.",ˈaɪ.təm,5036,home,Please write down every item you need for the kitchen.,Iltimos oshxona uchun kerakli har bir buyumni yozib chiqing.,object thing,
international,adjective,B2,xalqaro baynalminal,международный,Involving more than one country or nation.,ˌɪn.təˈnæʃ.(ə.)n(ə)l,5038,ielts,The university attracts many international students every single year.,Universitet har yili ko'plab xalqaro talabalarni o'ziga jalb qiladi.,global worldwide,national
center,noun,A2,markaz o'rta,центр,The middle point or part of something.,ˈsɛn.təː,5040,places,The city center is very crowded during the weekend evenings.,Shahar markazi dam olish kunlari kechqurunlari juda gavjum bo'ladi.,middle heart,edge
store,noun,A1,do'kon,магазин,A building or place where you can buy things.,stɔː,5042,places,I went to the store to buy some fresh milk.,Men yangi sut sotib olish uchun do'konga bordim.,shop market,
comments,noun,B1,izohlar fikrlar,комментарии,Words or sentences that express an opinion or reaction.,ˈkɑmɛnts,5044,work,She left some positive comments about the new project report.,U yangi loyiha hisoboti haqida ijobiy izohlar qoldirdi.,remarks feedback,
made,verb,A1,qilingan yasalgan,сделанный,"The past form of make, meaning to create or build something.",meɪd,5046,basics,She made a delicious cake for her friend's birthday party yesterday.,U kecha do'stining tug'ilgan kuni uchun mazali tort tayyorladi.,built created,
development,noun,B2,rivojlanish taraqqiyot,развитие,"The process of growing, improving, or changing into a more advanced state.",dɪˈvɛl.əp.mənt,5048,ielts,Technological development has changed how we communicate in the modern world.,Texnologik rivojlanish zamonaviy dunyoda muloqot qilish usulimizni o'zgartirdi.,growth progress,
report,noun,B1,hisobot xabar,отчет,A document or statement that gives information about a specific subject.,ɹɪˈpɔːt,5050,work,The manager asked for a detailed report on the project sales.,Menejer loyiha savdolari bo'yicha batafsil hisobot so'radi.,account record,
member,noun,A2,a'zo qatnashchi,член,"A person, animal, or group that is part of a larger organization.",ˈmɛmbə,5052,people-family,He is a long-time member of the local tennis club.,U mahalliy tennis klubining uzoq yillik a'zosi.,participant partner,
details,noun,A2,tavsilotlar tafsilotlar,подробности,Small facts or pieces of information about something.,ˈdiːteɪlz,5054,describing,Please provide more details about the travel plans for next week.,"Iltimos, keyingi hafta uchun sayohat rejalari haqida batafsilroq ma'lumot bering.",specifics particulars,
line,noun,A1,chiziq qator,линия,"A long, thin mark on a surface or a row of people.",laɪn,5056,basics,Please stand in a straight line while waiting for the bus.,"Avtobus kutayotganda, iltimos, to'g'ri qatorda turing.",row stripe,
terms,noun,B2,shartlar atamalar,условия,The conditions that must be accepted for an agreement to exist.,tɜːmz,5058,ielts,We must agree on the terms of the contract before signing.,Shartnomani imzolashdan oldin biz uning shartlariga rozi bo'lishimiz kerak.,conditions provisions,
before,preposition,A1,oldin ilgari,до,At an earlier time or in front of something.,bɪˈfɔː,5060,time,You should wash your hands before you eat your dinner.,Kechki ovqatni yeyishdan oldin qo'lingizni yuvishingiz kerak.,previously ahead,after
